,Rangers scored,Rangers received,Kilmarnock scored,Kilmarnock received,Celtic scored,Celtic received,Dundee United scored,Dundee United received,Hibernian scored,Hibernian received,Motherwell scored,Motherwell received,St Mirren scored,St Mirren received,Aberdeen scored,Aberdeen received,Hearts scored,Hearts received,Falkirk scored,Falkirk received,Hamilton scored,Hamilton received,St Johnstone scored,St Johnstone received
0,2.3333333333333335,1.0,1.3333333333333333,1.0,2.3333333333333335,0.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,2.0,0.6666666666666666,2.0,1.3333333333333333,1.0,0.6666666666666666,1.0,1.3333333333333333,0.6666666666666666,0.0,1.3333333333333333,0.3333333333333333,2.0,,
1,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.0,2.6666666666666665,1.0,0.3333333333333333,0.0,2.0,1.6666666666666667,1.3333333333333333,2.0,1.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,2.0,0.3333333333333333,1.6666666666666667,,
2,3.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.6666666666666665,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,1.0,1.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,2.6666666666666665,,
3,2.0,0.6666666666666666,0.6666666666666666,2.0,2.3333333333333335,1.0,1.0,0.6666666666666666,1.0,1.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,0.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,2.3333333333333335,1.6666666666666667,2.6666666666666665
4,1.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0,0.3333333333333333,0.0,1.0,1.0,0.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,1.0,2.0
5,0.0,0.0,0.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.0,1.0,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,1.3333333333333333,1.0,0.0,0.0,1.0,0.6666666666666666,1.0,2.3333333333333335
6,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.0,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,2.0
7,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.6666666666666667
8,1.6666666666666667,1.0,1.0,1.0,1.0,1.0,1.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333,1.0,2.6666666666666665,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.3333333333333333
9,2.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.0,2.0,2.0,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,1.3333333333333333,1.0,1.6666666666666667,1.6666666666666667
10,2.0,0.6666666666666666,0.6666666666666666,2.0,2.6666666666666665,1.3333333333333333,1.3333333333333333,1.0,1.0,0.3333333333333333,2.0,1.6666666666666667,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.6666666666666667,0.0,0.3333333333333333,1.3333333333333333,2.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.6666666666666667
11,2.6666666666666665,0.3333333333333333,0.0,2.6666666666666665,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333,0.3333333333333333,1.0,2.0,2.0,1.3333333333333333,1.3333333333333333,2.0,1.3333333333333333
12,1.6666666666666667,0.6666666666666666,0.3333333333333333,2.3333333333333335,2.3333333333333335,2.0,2.0,1.0,1.0,0.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,2.0,1.3333333333333333,0.6666666666666666,1.0,1.0,1.6666666666666667,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333
13,2.0,0.6666666666666666,0.6666666666666666,1.6666666666666667,2.3333333333333335,1.0,2.3333333333333335,1.6666666666666667,1.6666666666666667,0.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,1.6666666666666667,1.0,1.3333333333333333,1.0,1.0
