,0,1,2,3,4,5,6,7,8,9,10,11
0,Rangers,Kilmarnock,Celtic,Dundee United,Hibernian,Motherwell,St Johnstone,St Mirren,Aberdeen,Hearts,Falkirk,Hamilton
1,Celtic,Rangers,Hibernian,Motherwell,Dundee United,Aberdeen,Kilmarnock,St Mirren,St Johnstone,Hearts,Falkirk,Hamilton
2,Rangers,Celtic,Dundee United,Hibernian,Motherwell,Aberdeen,St Mirren,Kilmarnock,St Johnstone,Hearts,Falkirk,Hamilton
3,Rangers,Celtic,Dundee United,Motherwell,Hibernian,Aberdeen,St Mirren,Hearts,Kilmarnock,St Johnstone,Hamilton,Falkirk
4,Celtic,Rangers,Hibernian,Motherwell,Aberdeen,Dundee United,St Mirren,Kilmarnock,Hearts,Hamilton,St Johnstone,Falkirk
5,Celtic,Rangers,Hibernian,Dundee United,Aberdeen,Motherwell,Hearts,Kilmarnock,St Mirren,Hamilton,Falkirk,St Johnstone
6,Celtic,Rangers,Hibernian,Dundee United,Motherwell,Aberdeen,St Mirren,Hearts,Kilmarnock,St Johnstone,Hamilton,Falkirk
7,Rangers,Celtic,Hibernian,Dundee United,Motherwell,Aberdeen,St Mirren,Hearts,Kilmarnock,St Johnstone,Hamilton,Falkirk
8,Celtic,Rangers,Hibernian,Dundee United,Motherwell,St Mirren,Aberdeen,Kilmarnock,Hearts,St Johnstone,Hamilton,Falkirk
9,Celtic,Rangers,Hibernian,Motherwell,Dundee United,St Mirren,Aberdeen,Hearts,Kilmarnock,St Johnstone,Hamilton,Falkirk
10,Rangers,Celtic,Hibernian,Dundee United,Motherwell,Aberdeen,St Mirren,Hearts,St Johnstone,Kilmarnock,Hamilton,Falkirk
11,Rangers,Celtic,Hibernian,Dundee United,Motherwell,Aberdeen,St Mirren,St Johnstone,Hearts,Kilmarnock,Hamilton,Falkirk
12,Rangers,Celtic,Hibernian,Dundee United,Motherwell,Aberdeen,Hearts,St Johnstone,St Mirren,Hamilton,Kilmarnock,Falkirk
13,Rangers,Celtic,Hibernian,Dundee United,Motherwell,Aberdeen,Hearts,St Johnstone,St Mirren,Hamilton,Kilmarnock,Falkirk
14,Rangers,Celtic,Hibernian,Dundee United,Motherwell,Aberdeen,Hamilton,Hearts,St Mirren,St Johnstone,Kilmarnock,Falkirk
15,Rangers,Celtic,Hibernian,Dundee United,Motherwell,Aberdeen,Hearts,St Johnstone,Hamilton,St Mirren,Kilmarnock,Falkirk
16,Rangers,Celtic,Hibernian,Dundee United,Hearts,Motherwell,St Johnstone,Aberdeen,St Mirren,Hamilton,Kilmarnock,Falkirk
17,Rangers,Celtic,Hibernian,Dundee United,Hearts,St Johnstone,Motherwell,Hamilton,Aberdeen,St Mirren,Kilmarnock,Falkirk
18,Rangers,Celtic,Hibernian,Dundee United,St Johnstone,Hearts,Motherwell,Aberdeen,St Mirren,Hamilton,Kilmarnock,Falkirk
19,Rangers,Celtic,Dundee United,Hibernian,St Johnstone,Hearts,Motherwell,Aberdeen,St Mirren,Hamilton,Kilmarnock,Falkirk
20,Rangers,Celtic,Dundee United,Hibernian,Motherwell,Hearts,St Johnstone,Aberdeen,St Mirren,Hamilton,Kilmarnock,Falkirk
21,Rangers,Celtic,Hibernian,Dundee United,Motherwell,St Johnstone,Hearts,Aberdeen,St Mirren,Hamilton,Kilmarnock,Falkirk
22,Rangers,Celtic,Hibernian,Dundee United,Motherwell,St Johnstone,Hearts,Aberdeen,St Mirren,Hamilton,Kilmarnock,Falkirk
23,Rangers,Celtic,Hibernian,Dundee United,Motherwell,St Johnstone,Hearts,Aberdeen,Hamilton,Kilmarnock,St Mirren,Falkirk
24,Rangers,Celtic,Hibernian,Dundee United,Motherwell,St Johnstone,Hearts,Aberdeen,Kilmarnock,Hamilton,St Mirren,Falkirk
25,Rangers,Celtic,Hibernian,Dundee United,Motherwell,St Johnstone,Hearts,Aberdeen,Kilmarnock,Hamilton,St Mirren,Falkirk
26,Rangers,Celtic,Dundee United,Hibernian,Motherwell,St Johnstone,Hearts,Aberdeen,Kilmarnock,Hamilton,St Mirren,Falkirk
27,Rangers,Celtic,Dundee United,Hibernian,Motherwell,St Johnstone,Hearts,Aberdeen,Kilmarnock,Hamilton,St Mirren,Falkirk
28,Rangers,Celtic,Dundee United,Hibernian,Motherwell,Hearts,St Johnstone,Aberdeen,Hamilton,Kilmarnock,St Mirren,Falkirk
29,Rangers,Celtic,Dundee United,Motherwell,Hibernian,Hearts,St Johnstone,Aberdeen,Hamilton,St Mirren,Kilmarnock,Falkirk
30,Rangers,Celtic,Dundee United,Hibernian,Motherwell,Hearts,St Johnstone,Aberdeen,Hamilton,St Mirren,Kilmarnock,Falkirk
31,Rangers,Celtic,Dundee United,Hibernian,Motherwell,Hearts,St Johnstone,Aberdeen,Hamilton,Kilmarnock,St Mirren,Falkirk
32,Rangers,Celtic,Dundee United,Hibernian,Motherwell,Hearts,St Johnstone,Hamilton,Aberdeen,Kilmarnock,St Mirren,Falkirk
