,Chelsea scored,Chelsea received,Aston Villa scored,Aston Villa received,Bolton scored,Bolton received,Blackburn scored,Blackburn received,Hull scored,Hull received,Middlesbrough scored,Middlesbrough received,West Ham scored,West Ham received,Arsenal scored,Arsenal received,Liverpool scored,Liverpool received,Man United scored,Man United received,Newcastle scored,Newcastle received,Everton scored,Everton received,Fulham scored,Fulham received,Tottenham scored,Tottenham received,Wigan scored,Wigan received,Sunderland scored,Sunderland received,West Brom scored,West Brom received,Man City scored,Man City received,Stoke scored,Stoke received,Portsmouth scored,Portsmouth received
0,4,0,4,2,3,1,3,2,2,1,2,1,2,1,1,0,1,0,1,1,1,1,2,3,1,2,1,2,1,2,0,1,0,1,2,4,1,3,0,4
1,1,0,2,3,0,1,1,1,1,1,1,2,0,3,0,1,2,1,1,0,1,0,2,1,1,0,1,2,0,1,2,1,1,2,3,0,3,2,0,1
2,1,1,0,0,0,0,1,4,0,5,2,1,4,1,3,0,0,0,3,0,0,3,0,3,0,3,1,1,5,0,0,3,0,0,3,0,1,2,3,0
3,3,1,2,1,1,2,0,4,2,1,1,2,2,3,4,0,2,1,1,2,1,2,3,2,2,1,1,2,1,1,1,1,3,2,1,3,2,3,2,1
4,1,1,2,1,1,3,1,0,2,2,0,2,3,1,3,1,0,0,1,1,1,3,2,2,0,1,0,0,0,0,2,0,1,2,6,0,0,0,0,6
5,2,0,2,1,0,2,2,1,2,1,0,1,2,1,1,2,2,0,2,0,1,2,0,2,1,2,0,2,2,1,1,2,1,0,1,2,0,2,2,0
6,2,0,0,2,3,1,0,2,1,0,1,0,1,3,1,1,3,2,2,0,2,2,2,2,0,1,0,1,0,1,1,1,1,0,2,3,1,2,2,1
7,5,0,0,0,0,0,0,0,1,0,0,5,0,1,3,1,3,2,4,0,2,2,1,3,0,0,1,2,2,3,0,0,0,4,2,2,2,1,0,0
8,0,1,4,0,0,2,1,1,3,0,1,1,0,2,2,0,1,0,1,1,1,2,1,1,1,1,2,0,0,4,2,1,0,3,3,0,0,3,1,1
9,3,0,3,2,0,1,2,3,0,3,2,0,0,2,4,4,1,0,2,0,2,1,1,0,2,0,4,4,0,2,0,1,1,2,0,2,1,0,0,1
10,5,0,0,2,2,0,2,2,3,4,1,1,1,1,1,2,1,2,4,3,2,0,1,0,0,1,2,1,2,1,0,5,2,2,0,2,2,1,1,2
11,2,0,1,2,1,0,0,2,0,1,2,1,1,3,2,1,3,0,1,2,1,2,3,1,2,1,2,1,0,0,1,2,0,3,1,2,0,0,2,1
