,Lyon scored,Lyon received,Bordeaux scored,Bordeaux received,Lorient scored,Lorient received,Sochaux scored,Sochaux received,Lille scored,Lille received,Nancy scored,Nancy received,Le Mans scored,Le Mans received,Lens scored,Lens received,Toulouse scored,Toulouse received,Auxerre scored,Auxerre received,Valenciennes scored,Valenciennes received,Sedan scored,Sedan received,Marseille scored,Marseille received,Paris SG scored,Paris SG received,St Etienne scored,St Etienne received,Rennes scored,Rennes received,Monaco scored,Monaco received,Troyes scored,Troyes received,Nice scored,Nice received,Nantes scored,Nantes received
0,3,1,2,0,3,2,2,1,2,1,1,0,1,0,1,0,0,2,1,1,1,1,0,0,0,0,2,3,1,2,1,2,0,1,0,1,0,1,1,3
1,1,1,1,0,0,1,1,1,4,0,3,1,2,2,0,4,1,1,1,1,0,0,1,3,2,0,0,0,2,1,0,2,1,2,2,2,1,1,1,1
2,2,1,1,2,1,1,1,1,0,1,0,1,3,2,1,1,1,0,0,3,2,3,1,1,3,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1
3,4,1,0,3,3,1,3,2,3,0,1,0,0,2,2,3,2,1,0,1,3,1,1,2,2,0,2,3,3,2,1,3,2,1,1,2,1,4,1,3
4,2,0,3,2,1,1,1,2,1,1,2,2,1,1,3,0,2,2,2,1,0,3,2,2,3,1,1,3,2,2,2,1,1,2,0,2,2,3,1,1
5,3,1,1,2,1,3,0,3,1,3,0,0,2,1,3,0,3,1,3,2,1,0,1,2,2,1,2,1,2,3,0,0,1,2,2,0,0,2,0,1
6,4,1,2,1,0,0,2,2,1,4,0,0,2,2,1,0,0,0,2,2,0,2,2,2,1,2,0,0,0,0,0,0,0,1,1,2,2,0,2,1
7,1,0,0,2,0,0,0,1,1,0,2,1,1,2,1,2,0,3,1,0,2,0,1,0,3,0,0,1,1,0,0,1,2,1,0,0,0,1,0,1
8,2,1,1,0,0,3,2,0,1,1,0,0,0,0,1,1,3,0,1,3,0,3,2,4,1,1,4,2,1,2,3,1,0,1,1,1,3,0,0,2
9,4,1,1,2,0,1,2,1,1,0,1,0,0,2,2,2,3,1,0,0,3,1,2,2,1,4,0,0,2,0,1,0,1,3,1,3,0,1,0,1
10,1,0,3,1,1,0,2,1,1,1,0,1,1,1,1,0,1,2,0,1,0,1,1,3,1,2,1,0,1,3,0,1,0,1,3,1,2,1,1,0
11,0,1,1,2,1,0,1,0,3,0,2,1,3,2,3,1,0,3,2,3,0,3,1,1,0,1,1,3,3,0,1,0,0,0,0,1,0,0,1,1
12,2,1,0,0,2,0,0,0,1,0,0,2,1,1,0,0,3,1,0,0,1,2,1,3,0,1,1,1,2,2,0,0,4,0,0,4,0,0,2,2
13,1,0,2,0,2,2,0,0,0,0,1,0,1,1,2,0,0,1,1,0,0,1,0,1,1,0,0,2,2,1,1,1,2,2,0,1,1,2,0,2
14,1,0,1,0,1,3,3,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,2,2,1,1,1,1,0,1,0,1,1,1,1,1,2,2,1,1
15,1,0,0,3,0,2,1,0,3,1,1,3,0,1,3,0,0,0,0,0,0,3,1,2,0,1,0,0,2,0,2,0,3,0,2,1,0,0,0,2
