,Lyon scored,Lyon received,Bordeaux scored,Bordeaux received,Sochaux scored,Sochaux received,Lille scored,Lille received,Nancy scored,Nancy received,Le Mans scored,Le Mans received,Lens scored,Lens received,Toulouse scored,Toulouse received,Auxerre scored,Auxerre received,Marseille scored,Marseille received,Paris SG scored,Paris SG received,St Etienne scored,St Etienne received,Rennes scored,Rennes received,Monaco scored,Monaco received,Troyes scored,Troyes received,Nice scored,Nice received,Nantes scored,Nantes received,Lorient scored,Lorient received,Valenciennes scored,Valenciennes received,Sedan scored,Sedan received
0,4.0,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,2.6666666666666665,2.0,2.0,2.0,1.0,3.3333333333333335,2.3333333333333335,1.0,1.6666666666666667,2.6666666666666665,2.6666666666666665,1.0,1.6666666666666667,1.3333333333333333,1.0,2.0,0.3333333333333333,2.3333333333333335,1.0,1.0,2.0,2.0,1.6666666666666667,1.3333333333333333,2.3333333333333335,0.6666666666666666,0.6666666666666666,1.6666666666666667,,,,,,
1,3.0,2.0,1.0,0.3333333333333333,1.3333333333333333,1.0,3.3333333333333335,0.6666666666666666,2.0,2.0,1.0,3.3333333333333335,1.0,1.6666666666666667,1.6666666666666667,2.0,2.6666666666666665,0.6666666666666666,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,2.0,2.3333333333333335,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667,,,,,,
2,3.6666666666666665,1.0,1.0,1.0,1.3333333333333333,1.0,2.0,1.0,1.6666666666666667,1.3333333333333333,2.0,4.0,1.3333333333333333,2.0,1.0,1.0,1.6666666666666667,1.3333333333333333,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.0,1.0,1.0,1.6666666666666667,,,,,,
3,2.3333333333333335,1.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.3333333333333333,2.3333333333333335,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.0,1.0,2.6666666666666665,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.6666666666666667,2.3333333333333335,0.0,1.0,1.0,2.0,1.0,0.6666666666666666,2.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.6666666666666666,2.0,1.0,1.6666666666666667,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,1.0,2.0
4,2.6666666666666665,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.0,1.0,1.3333333333333333,1.6666666666666667,2.0,1.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,1.6666666666666667,2.6666666666666665,0.3333333333333333,1.3333333333333333,2.0,2.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,2.6666666666666665,1.0,1.6666666666666667,1.6666666666666667,1.0,1.6666666666666667,2.3333333333333335,1.3333333333333333,1.6666666666666667
5,3.0,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.3333333333333333,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.0,0.6666666666666666,1.0,1.3333333333333333,2.6666666666666665,1.0,2.3333333333333335,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.6666666666666667,2.3333333333333335,2.3333333333333335,2.3333333333333335,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,1.0,3.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0
6,3.0,0.6666666666666666,2.0,1.6666666666666667,1.0,2.3333333333333335,1.0,2.6666666666666665,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.3333333333333333,2.3333333333333335,0.0,1.6666666666666667,1.0,2.3333333333333335,1.6666666666666667,2.0,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,1.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.6666666666666667,1.6666666666666667,2.0
7,2.6666666666666665,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,2.0,1.0,2.3333333333333335,0.6666666666666666,0.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.0,1.3333333333333333,2.0,1.3333333333333333,2.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.0,0.3333333333333333,1.0,1.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,1.3333333333333333,1.3333333333333333
8,2.3333333333333335,0.6666666666666666,1.0,1.0,1.3333333333333333,1.0,1.0,1.6666666666666667,0.6666666666666666,0.3333333333333333,1.0,1.3333333333333333,1.0,1.0,1.0,1.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.0,1.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.0,1.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,2.0
9,2.3333333333333335,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.0,1.3333333333333333,0.6666666666666666,1.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.0,0.6666666666666666,0.0,1.3333333333333333,0.0,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.6666666666666667,2.0
