,Goztep scored,Goztep received,Karagumruk scored,Karagumruk received,Besiktas scored,Besiktas received,Galatasaray scored,Galatasaray received,Alanyaspor scored,Alanyaspor received,Antalyaspor scored,Antalyaspor received,Hatayspor scored,Hatayspor received,Erzurum BB scored,Erzurum BB received,Fenerbahce scored,Fenerbahce received,Kayserispor scored,Kayserispor received,Konyaspor scored,Konyaspor received,Rizespor scored,Rizespor received,Ankaragucu scored,Ankaragucu received,Kasimpasa scored,Kasimpasa received,Gaziantep scored,Gaziantep received,Trabzonspor scored,Trabzonspor received,Genclerbirligi scored,Genclerbirligi received,Buyuksehyr scored,Buyuksehyr received,Sivasspor scored,Sivasspor received,Yeni Malatyaspor scored,Yeni Malatyaspor received,Denizlispor scored,Denizlispor received
10,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
11,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
12,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
13,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
14,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
15,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
16,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
17,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
18,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
19,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
20,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
21,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
22,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
23,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
24,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
25,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
26,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
27,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
28,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
29,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
30,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
31,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
32,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
33,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
34,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
35,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
36,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
37,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
38,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
39,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
40,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
41,6,2,5,2,4,2,5,1,4,0,3,1,2,0,3,3,2,1,1,2,0,0,1,4,1,2,2,1,3,5,1,3,0,2,0,4,2,3,1,4,1,5
