,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,Goztep,Karagumruk,Besiktas,Galatasaray,Alanyaspor,Antalyaspor,Hatayspor,Erzurum BB,Fenerbahce,Kayserispor,Konyaspor,Rizespor,Ankaragucu,Kasimpasa,Gaziantep,Trabzonspor,Genclerbirligi,Buyuksehyr,Sivasspor,Yeni Malatyaspor,Denizlispor
1,Galatasaray,Alanyaspor,Goztep,Karagumruk,Besiktas,Antalyaspor,Hatayspor,Fenerbahce,Kasimpasa,Erzurum BB,Sivasspor,Kayserispor,Konyaspor,Gaziantep,Trabzonspor,Genclerbirligi,Yeni Malatyaspor,Denizlispor,Ankaragucu,Rizespor,Buyuksehyr
2,Galatasaray,Alanyaspor,Goztep,Karagumruk,Besiktas,Antalyaspor,Hatayspor,Fenerbahce,Kasimpasa,Erzurum BB,Sivasspor,Kayserispor,Konyaspor,Gaziantep,Trabzonspor,Genclerbirligi,Yeni Malatyaspor,Denizlispor,Ankaragucu,Rizespor,Buyuksehyr
3,Galatasaray,Alanyaspor,Goztep,Karagumruk,Besiktas,Antalyaspor,Hatayspor,Fenerbahce,Kasimpasa,Erzurum BB,Sivasspor,Kayserispor,Konyaspor,Gaziantep,Trabzonspor,Genclerbirligi,Yeni Malatyaspor,Denizlispor,Ankaragucu,Rizespor,Buyuksehyr
4,Galatasaray,Alanyaspor,Goztep,Karagumruk,Besiktas,Antalyaspor,Hatayspor,Fenerbahce,Kasimpasa,Erzurum BB,Sivasspor,Kayserispor,Konyaspor,Gaziantep,Trabzonspor,Genclerbirligi,Yeni Malatyaspor,Denizlispor,Ankaragucu,Rizespor,Buyuksehyr
5,Galatasaray,Alanyaspor,Goztep,Karagumruk,Besiktas,Antalyaspor,Hatayspor,Fenerbahce,Kasimpasa,Erzurum BB,Sivasspor,Kayserispor,Konyaspor,Gaziantep,Trabzonspor,Genclerbirligi,Yeni Malatyaspor,Denizlispor,Ankaragucu,Rizespor,Buyuksehyr
6,Galatasaray,Alanyaspor,Goztep,Karagumruk,Besiktas,Antalyaspor,Hatayspor,Fenerbahce,Kasimpasa,Erzurum BB,Sivasspor,Kayserispor,Konyaspor,Gaziantep,Trabzonspor,Genclerbirligi,Yeni Malatyaspor,Denizlispor,Ankaragucu,Rizespor,Buyuksehyr
7,Galatasaray,Alanyaspor,Goztep,Karagumruk,Besiktas,Antalyaspor,Hatayspor,Fenerbahce,Kasimpasa,Erzurum BB,Sivasspor,Kayserispor,Konyaspor,Gaziantep,Trabzonspor,Genclerbirligi,Yeni Malatyaspor,Denizlispor,Ankaragucu,Rizespor,Buyuksehyr
8,Galatasaray,Alanyaspor,Goztep,Karagumruk,Besiktas,Antalyaspor,Hatayspor,Fenerbahce,Kasimpasa,Erzurum BB,Sivasspor,Kayserispor,Konyaspor,Gaziantep,Trabzonspor,Genclerbirligi,Yeni Malatyaspor,Denizlispor,Ankaragucu,Rizespor,Buyuksehyr
9,Galatasaray,Alanyaspor,Goztep,Karagumruk,Besiktas,Antalyaspor,Hatayspor,Fenerbahce,Kasimpasa,Erzurum BB,Sivasspor,Kayserispor,Konyaspor,Gaziantep,Trabzonspor,Genclerbirligi,Yeni Malatyaspor,Denizlispor,Ankaragucu,Rizespor,Buyuksehyr
