league_name,home_team_name,away_team_name,home_team_rank,away_team_rank,home_team_scored,away_team_scored,home_team_received,away_team_received,home_att,away_att,home_def,away_def,home_mid,away_mid,home_odds_n,draw_odds_n,away_odds_n,result
italy,Udinese,Lazio,8,20,1,1,1.333333333,2.333333333,69,78,60,75,66,73,0.474899729,0.296038038,0.229062233,1
italy,Ascoli,Parma,11,13,1.333333333,1.333333333,1,3,60,69,52,71,52,72,0.365352894,0.32103494,0.313612166,1
italy,Fiorentina,Livorno,19,4,2,1.333333333,1.333333333,1,80,59,71,73,74,55,0.543354098,0.280803152,0.17584275,1
italy,Juventus,Inter,1,3,1.666666667,0.333333333,0.666666667,0.666666667,90,89,86,80,86,81,0.435570668,0.314050952,0.250378379,1
italy,Lecce,Cagliari,12,16,1.333333333,1.333333333,0.333333333,2,72,72,64,59,67,62,0.415095749,0.312335113,0.272569138,1
italy,Messina,Sampdoria,14,2,1,2.666666667,2.333333333,1,71,77,65,67,59,69,0.329880129,0.319595631,0.35052424,2
italy,Milan,Reggina,18,15,2,0.333333333,1,1,90,64,90,66,87,63,0.780969479,0.156193896,0.062836625,1
italy,Palermo,Empoli,5,10,1.666666667,2,2,1,63,66,69,58,69,59,0.589394904,0.268810877,0.141794219,X
italy,Roma,Siena,9,7,2,1.333333333,2.666666667,1.666666667,86,73,77,74,77,69,0.608049803,0.254638697,0.1373115,2
italy,Juventus,Messina,1,14,1.666666667,0.333333333,1,2.666666667,90,71,86,65,86,59,0.772969825,0.16174682,0.065283355,1
italy,Siena,Udinese,8,5,3,2.333333333,2,1.333333333,73,69,74,60,69,66,0.347273513,0.312846398,0.339880088,2
italy,Ascoli,Sampdoria,10,3,1.666666667,1.333333333,2,1.666666667,60,77,52,67,52,69,0.275923724,0.309129445,0.414946831,1
italy,Cagliari,Milan,16,18,0,1.666666667,2,0.333333333,72,90,59,90,62,87,0.14744655,0.268316314,0.584237136,2
italy,Empoli,Roma,9,11,1.333333333,0.666666667,0.666666667,1.333333333,66,86,58,77,59,77,0.284227108,0.305102545,0.410670346,1
italy,Inter,Livorno,2,7,2,0.666666667,1.333333333,2.666666667,89,59,80,73,81,55,0.719558411,0.189015344,0.091426245,1
italy,Lazio,Fiorentina,20,19,1.666666667,1.666666667,1,1.333333333,78,80,75,71,73,74,0.356627122,0.309130966,0.334241912,1
italy,Palermo,Chievo,4,6,2,2.666666667,1.333333333,1,63,67,69,64,69,65,0.528169134,0.293682729,0.178148137,X
italy,Parma,Treviso,13,17,1,2,0.333333333,1,69,51,71,57,72,61,0.537505584,0.295510455,0.16698396,X
italy,Reggina,Lecce,12,14,1.666666667,0.666666667,1,1,64,72,66,64,63,67,0.424789779,0.304792667,0.270417554,1
italy,Fiorentina,Parma,19,13,1,1.333333333,1,2,80,69,71,71,74,72,0.612919312,0.247680834,0.139399854,1
italy,Messina,Ascoli,14,10,0.666666667,2,2,1,71,60,65,52,59,52,0.472420257,0.299589926,0.227989818,X
italy,Chievo,Cagliari,3,16,1.333333333,1,0.333333333,2.333333333,67,72,64,59,65,62,0.523150615,0.290920041,0.185929344,1
italy,Lecce,Juventus,15,1,1,1.666666667,2,0,72,90,64,86,67,86,0.13199557,0.252074874,0.615929556,2
italy,Livorno,Reggina,4,12,1,2.666666667,1,1,59,64,73,66,55,63,0.499643937,0.294898541,0.205457522,1
italy,Milan,Palermo,18,7,2,0.666666667,1.666666667,2,90,63,90,69,87,69,0.669954362,0.222588919,0.107456719,1
italy,Roma,Lazio,11,20,1,1.666666667,0.666666667,1.333333333,86,78,77,75,77,73,0.377124004,0.317555055,0.305320941,X
italy,Sampdoria,Siena,5,9,2.666666667,2,2.666666667,2.666666667,77,73,67,74,69,69,0.545489786,0.27921204,0.175298174,X
italy,Treviso,Empoli,17,6,0.666666667,1,1.666666667,1,51,66,57,58,61,59,0.395218616,0.31530477,0.289476614,2
italy,Udinese,Inter,8,2,2,1,2,0.666666667,69,89,60,80,66,81,0.256474256,0.300864032,0.442661712,2
italy,Ascoli,Udinese,10,8,2,1,2,1,60,69,52,60,52,66,0.281147952,0.307779664,0.411072384,X
italy,Cagliari,Livorno,16,5,0.666666667,1.666666667,0.666666667,2,72,59,59,73,62,55,0.387360287,0.312782301,0.299857412,X
italy,Empoli,Milan,8,18,1.333333333,1.333333333,2.333333333,0.666666667,66,90,58,90,59,87,0.144011672,0.272826133,0.583162195,2
italy,Inter,Roma,2,9,2.666666667,1,1.333333333,1.333333333,89,86,80,77,81,77,0.571168961,0.27013599,0.158695049,2
italy,Juventus,Sampdoria,1,6,2,0,1.333333333,2.333333333,90,77,86,67,86,69,0.658500645,0.231882278,0.109617077,1
italy,Lazio,Chievo,20,4,1.333333333,1,2,1.666666667,78,67,75,64,73,65,0.475303623,0.29635051,0.228345867,X
italy,Palermo,Lecce,3,17,2,1.333333333,0,2.666666667,63,72,69,64,69,67,0.589554384,0.2652274,0.145218215,1
italy,Parma,Messina,13,14,1,2,0.666666667,1,69,71,71,65,72,59,0.474260093,0.294866058,0.230873849,X
italy,Reggina,Treviso,12,15,1,1,1.333333333,1.333333333,64,51,66,57,63,61,0.521447449,0.285423867,0.193128685,2
italy,Siena,Fiorentina,11,19,1.666666667,2.666666667,2,0.666666667,73,80,74,71,69,74,0.318910055,0.303409957,0.377679988,2
italy,Milan,Juventus,18,1,2.333333333,0.666666667,2,0,90,90,90,86,87,86,0.380493508,0.318563065,0.300943427,1
italy,Sampdoria,Inter,7,2,1.666666667,2.333333333,1.666666667,1.666666667,77,89,67,80,69,81,0.282314443,0.298557192,0.419128365,X
italy,Chievo,Empoli,5,10,2,1.666666667,1.666666667,2,67,66,64,58,65,59,0.485788771,0.301786097,0.212425133,X
italy,Fiorentina,Cagliari,19,16,2.666666667,0.666666667,1,1.666666667,80,72,71,59,74,62,0.652199586,0.232608522,0.115191893,1
italy,Lecce,Messina,17,13,0,2.666666667,1.333333333,0.666666667,72,71,64,65,67,59,0.432861006,0.303612367,0.263526627,2
italy,Livorno,Parma,3,14,1.333333333,0.333333333,0.666666667,2.333333333,59,69,73,71,55,72,0.51500625,0.282780335,0.202213415,1
italy,Reggina,Lazio,12,20,0.666666667,1,1,1.333333333,64,78,66,75,63,73,0.341317581,0.311449836,0.347232584,1
italy,Roma,Ascoli,6,11,2,1.333333333,1,1.333333333,86,60,77,52,77,52,0.614540869,0.250641842,0.134817289,1
italy,Treviso,Siena,15,9,1,1.333333333,1.333333333,1.666666667,51,73,57,74,61,69,0.357899174,0.310110917,0.331989909,2
italy,Udinese,Palermo,8,4,0.333333333,0.666666667,1.333333333,0.666666667,69,63,60,69,66,69,0.459191149,0.297345088,0.243463763,X
italy,Empoli,Reggina,10,12,1.666666667,2,0.666666667,1,66,64,58,66,59,63,0.465907889,0.314216948,0.219875163,1
italy,Lazio,Inter,20,2,0.666666667,1,1.333333333,1.666666667,78,89,75,80,73,81,0.267819175,0.300928689,0.431252136,X
italy,Ascoli,Fiorentina,11,19,0.666666667,1.666666667,2,0.333333333,60,80,52,71,52,74,0.250958368,0.303123871,0.445917761,2
italy,Cagliari,Treviso,16,15,0.666666667,1,0.666666667,0.666666667,72,51,59,57,62,61,0.484158888,0.298252575,0.217588537,X
italy,Juventus,Livorno,1,5,2,1,1,1.333333333,90,59,86,73,86,55,0.726926933,0.186995687,0.08607738,1
italy,Messina,Roma,14,4,1,1,2.333333333,1,71,86,65,77,59,77,0.281694687,0.30536651,0.412938803,2
italy,Milan,Udinese,18,10,3.666666667,1,0.666666667,2,90,69,90,60,87,66,0.673831828,0.219279947,0.106888225,1
italy,Palermo,Sampdoria,8,6,1,0.666666667,1.333333333,1.333333333,63,77,69,67,69,69,0.425392001,0.307959843,0.266648157,2
italy,Parma,Lecce,13,17,1,1,0,2.333333333,69,72,71,64,72,67,0.508228213,0.287365208,0.20440658,1
italy,Siena,Chievo,9,3,0.333333333,1,1.666666667,1.333333333,73,67,74,64,69,65,0.396983433,0.311180097,0.29183647,2
italy,Roma,Juventus,4,1,2.333333333,1,2,1,86,90,77,86,77,86,0.292087897,0.306075204,0.401836899,2
italy,Udinese,Messina,9,14,0.666666667,1.666666667,0.666666667,1,69,71,60,65,66,59,0.560379334,0.278178049,0.161442618,1
italy,Chievo,Ascoli,5,11,1.333333333,1,0.666666667,1.666666667,67,60,64,52,65,52,0.545928681,0.285962643,0.168108676,X
italy,Fiorentina,Milan,19,18,2.333333333,0.666666667,3,1.666666667,80,90,71,90,74,87,0.305745575,0.305402041,0.388852384,1
italy,Inter,Parma,2,13,1.333333333,0.666666667,0.666666667,1.333333333,89,69,80,71,81,72,0.702558378,0.202534613,0.094907009,1
italy,Lecce,Siena,16,10,1,1.333333333,0.333333333,1.333333333,72,73,64,74,67,69,0.382587436,0.30702805,0.310384514,1
italy,Livorno,Empoli,3,8,1.333333333,1,1.666666667,1.333333333,59,66,73,58,55,59,0.479856348,0.307544296,0.212599356,1
italy,Reggina,Cagliari,12,17,1.333333333,1.333333333,0.666666667,1.666666667,64,72,66,59,63,62,0.469738237,0.298711995,0.231549769,1
italy,Sampdoria,Lazio,4,20,2,0.666666667,0,1,77,78,67,75,69,73,0.475490717,0.301763941,0.222745342,1
italy,Treviso,Palermo,15,7,0.666666667,1,0.666666667,1.333333333,51,63,57,69,61,69,0.255034408,0.308346685,0.436618907,X
italy,Livorno,Chievo,3,5,1.333333333,1,1.333333333,1,59,67,73,64,55,65,0.418416993,0.316245402,0.265337605,X
italy,Milan,Lecce,18,17,2.666666667,1.666666667,1.333333333,1.333333333,90,72,90,64,87,67,0.773609982,0.156269216,0.070120802,1
italy,Ascoli,Palermo,11,8,0.666666667,1.333333333,1,1.666666667,60,63,52,69,52,69,0.327706461,0.315519817,0.356773722,X
italy,Cagliari,Sampdoria,15,5,1,1,1.333333333,0.666666667,72,77,59,67,62,69,0.303115629,0.303623644,0.393260726,1
italy,Empoli,Lazio,9,20,1.666666667,1.666666667,1,1.333333333,66,78,58,75,59,73,0.405361018,0.318209586,0.276429396,2
italy,Juventus,Treviso,1,16,3.333333333,0.666666667,1,1.666666667,90,51,86,57,86,61,0.799687447,0.146234679,0.054077874,1
italy,Messina,Inter,14,2,0.333333333,1.666666667,1.333333333,0.333333333,71,89,65,80,59,81,0.198426117,0.282308579,0.519265304,2
italy,Parma,Udinese,13,6,1,1.333333333,1.333333333,2,69,69,71,60,72,66,0.347919038,0.307033637,0.345047325,2
italy,Roma,Fiorentina,7,19,1.333333333,1.666666667,2,0.666666667,86,80,77,71,77,74,0.380807579,0.300670599,0.318521822,X
italy,Siena,Reggina,10,12,0,1.333333333,1,1.333333333,73,64,74,66,69,63,0.463914207,0.301222964,0.234862829,X
italy,Chievo,Milan,4,18,0.666666667,0.333333333,2.666666667,1.666666667,67,90,64,90,65,87,0.178341125,0.286284437,0.535374439,1
italy,Inter,Ascoli,2,12,1.666666667,0.333333333,0.666666667,1,89,60,80,52,81,52,0.750761749,0.176764717,0.072473534,1
italy,Fiorentina,Juventus,19,1,1.666666667,1.333333333,3,1,80,90,71,86,74,86,0.297562814,0.305397801,0.397039385,2
italy,Lazio,Siena,20,11,2,2,0.666666667,2,78,73,75,74,73,69,0.509780931,0.289194759,0.20102431,1
italy,Lecce,Roma,17,6,2,1.333333333,1.333333333,2.333333333,72,86,64,77,67,77,0.280584774,0.297450526,0.4219647,X
italy,Palermo,Cagliari,8,14,1.666666667,1.666666667,1.666666667,1.666666667,63,72,69,59,69,62,0.554761224,0.278810409,0.166428367,X
italy,Reggina,Parma,10,15,1.666666667,0.666666667,0.666666667,2,64,69,66,71,63,72,0.474260725,0.297621469,0.228117806,1
italy,Sampdoria,Empoli,5,9,1.333333333,0.666666667,0.666666667,2.333333333,77,66,67,58,69,59,0.536482662,0.28228538,0.181231958,1
italy,Treviso,Messina,16,13,1,1.666666667,0.333333333,1,51,71,57,65,61,59,0.375489214,0.31694283,0.307567957,X
italy,Udinese,Livorno,7,3,1,1,1.333333333,0,69,59,60,73,66,55,0.495629673,0.294406727,0.2099636,2
italy,Fiorentina,Treviso,19,16,1.666666667,1.333333333,1,1.666666667,80,51,71,57,74,61,0.713732311,0.196758637,0.089509052,1
italy,Siena,Empoli,9,11,1,1,0.666666667,2,73,66,74,58,69,59,0.43066748,0.308665361,0.260667159,1
italy,Ascoli,Reggina,12,10,0.666666667,1,1,0.666666667,60,64,52,66,52,63,0.416550014,0.313674419,0.269775567,X
italy,Inter,Milan,2,19,2,1,1.666666667,2,89,90,80,90,81,87,0.355849468,0.311014859,0.333135673,1
italy,Juventus,Cagliari,1,16,3,0.666666667,1.333333333,2,90,72,86,59,86,62,0.779916296,0.157331818,0.062751886,1
italy,Livorno,Lazio,3,20,1.333333333,0.333333333,2.333333333,2,59,78,73,75,55,73,0.451817274,0.304849745,0.24333298,1
italy,Messina,Chievo,13,5,1,0.666666667,0.666666667,1,71,67,65,64,59,65,0.363345185,0.316182218,0.320472597,1
italy,Parma,Sampdoria,15,4,1,1.666666667,1,1,69,77,71,67,72,69,0.296768521,0.30138492,0.40184656,X
italy,Roma,Palermo,7,6,1.333333333,1.666666667,1.666666667,1.333333333,86,63,77,69,77,69,0.480668501,0.299558532,0.219772967,2
italy,Udinese,Lecce,8,14,1,1.666666667,1.666666667,1.666666667,69,72,60,64,66,67,0.558692549,0.272485138,0.168822314,2
italy,Lazio,Juventus,20,1,2.333333333,2,3,0.666666667,78,90,75,86,73,86,0.171310224,0.28762085,0.541068926,X
italy,Treviso,Lecce,16,17,0.666666667,0.666666667,1.666666667,1.666666667,51,72,57,64,61,67,0.374192442,0.308847118,0.31696044,1
italy,Cagliari,Ascoli,14,12,1.333333333,2.333333333,0.666666667,1.333333333,72,60,59,52,62,52,0.487271306,0.308724928,0.204003766,1
italy,Chievo,Udinese,4,8,1.333333333,1,0.333333333,2,67,69,64,60,65,66,0.399786943,0.306315629,0.293897428,1
italy,Empoli,Fiorentina,10,19,0.333333333,1.333333333,1,1,66,80,58,71,59,74,0.244364761,0.30190217,0.453733069,X
italy,Milan,Messina,18,13,2.333333333,1.666666667,0.666666667,1.333333333,90,71,90,65,87,59,0.756323376,0.170379244,0.07329738,1
italy,Palermo,Livorno,6,3,1.333333333,1.666666667,2,0.333333333,63,59,69,73,69,55,0.452298897,0.307921001,0.239780102,2
italy,Reggina,Inter,11,2,1,2,2.666666667,0.666666667,64,89,66,80,63,81,0.163414898,0.278766591,0.557818511,2
italy,Sampdoria,Roma,5,7,1.333333333,0.666666667,1.333333333,1.666666667,77,86,67,77,69,77,0.411858711,0.303173773,0.284967515,X
italy,Siena,Parma,9,15,1.666666667,1.666666667,1.333333333,1.666666667,73,69,74,71,69,72,0.466679684,0.297652138,0.235668179,X
italy,Ascoli,Treviso,12,16,0.666666667,1.333333333,0.666666667,0.666666667,60,51,52,57,52,61,0.444829967,0.311610665,0.243559368,1
italy,Fiorentina,Palermo,19,8,1,0.333333333,0.666666667,1.333333333,80,63,71,69,74,69,0.532943463,0.283587148,0.183469388,1
italy,Inter,Empoli,2,10,3.666666667,1,0.666666667,2,89,66,80,58,81,59,0.766944273,0.164079593,0.068976135,1
