,Ajax scored,Ajax received,AZ Alkmaar scored,AZ Alkmaar received,Groningen scored,Groningen received,Feyenoord scored,Feyenoord received,Twente scored,Twente received,PSV Eindhoven scored,PSV Eindhoven received,Vitesse scored,Vitesse received,Nijmegen scored,Nijmegen received,Roda JC scored,Roda JC received,Heerenveen scored,Heerenveen received,Willem II scored,Willem II received,Sparta scored,Sparta received,Heracles scored,Heracles received,Excelsior scored,Excelsior received,Utrecht scored,Utrecht received,NAC Breda scored,NAC Breda received,VVV Venlo scored,VVV Venlo received,Graafschap scored,Graafschap received
0,8,1,4,0,3,0,3,0,2,0,2,0,2,1,1,1,1,1,0,0,0,0,1,2,0,2,0,2,0,3,0,3,0,4,1,8
1,4,1,0,1,0,2,5,0,2,2,5,0,1,0,0,5,2,1,1,4,2,2,2,2,1,2,1,3,2,2,0,5,3,1,2,0
2,2,2,3,0,2,2,2,0,0,0,0,0,1,0,0,1,5,3,3,3,0,2,3,3,1,4,0,3,2,2,4,1,3,5,2,2
3,1,0,2,2,0,2,3,1,3,1,1,0,0,1,0,1,1,3,5,2,1,3,2,2,0,1,2,5,2,0,1,0,2,3,3,2
4,3,2,2,3,3,1,0,4,3,0,4,0,0,2,0,3,0,1,2,3,1,0,1,1,1,1,1,3,3,2,3,1,1,3,2,0
5,6,1,1,2,1,0,2,0,0,0,1,1,4,2,1,0,3,3,0,2,0,1,0,1,2,1,3,3,2,4,1,1,1,6,0,0
6,2,2,2,2,2,2,1,0,0,1,3,0,0,1,0,2,1,0,9,0,0,3,2,2,0,9,2,0,2,1,1,0,1,2,0,1
7,0,0,0,1,1,0,1,0,0,1,3,1,2,2,0,0,1,1,1,0,0,0,0,4,2,2,0,1,1,1,0,0,1,3,4,0
8,1,0,3,2,1,5,0,2,2,0,4,1,1,0,5,1,1,0,4,0,0,1,1,4,1,1,1,1,0,1,2,3,0,4,0,1
9,4,2,4,0,0,0,2,0,3,0,1,2,0,0,0,4,2,4,2,1,1,2,3,4,0,3,4,3,0,1,1,0,2,1,0,2
10,2,2,1,1,1,5,2,2,1,1,1,1,0,1,3,0,5,1,1,0,1,4,0,2,0,3,1,1,4,1,1,1,2,0,1,1
11,4,1,2,0,3,2,2,3,1,1,4,1,1,4,2,3,0,0,2,3,0,2,1,1,0,0,1,4,3,2,0,0,0,0,3,2
12,1,3,1,2,1,0,6,0,2,1,1,0,2,3,0,1,3,2,1,0,6,0,1,7,0,6,0,6,7,1,3,1,0,1,0,1
13,3,2,2,1,2,4,0,0,2,2,2,4,2,2,0,1,4,2,4,2,2,3,1,0,2,0,0,3,1,2,3,0,0,0,0,2
14,0,2,2,2,1,0,2,2,1,1,2,0,3,0,1,1,2,3,5,1,0,1,3,2,1,3,0,3,3,1,1,5,1,1,1,1
15,1,2,1,1,2,1,2,0,2,1,4,1,0,2,0,2,1,1,1,2,1,2,0,1,1,2,2,1,1,4,1,0,2,0,2,1
16,2,2,2,1,2,1,2,0,2,2,1,2,2,1,2,2,1,0,0,1,0,1,0,2,1,0,1,4,4,1,1,2,2,2,1,2
17,2,2,1,0,3,1,1,1,2,0,2,0,2,2,0,3,2,1,1,1,3,0,1,3,0,1,1,2,2,2,0,2,2,2,0,2
18,6,1,1,6,3,2,0,1,2,2,1,0,3,0,2,2,1,1,2,2,1,1,0,2,2,0,2,3,2,2,0,0,0,0,0,3
19,1,1,0,4,1,3,1,2,3,1,1,1,2,0,1,1,1,3,4,0,0,1,6,1,0,2,2,1,3,1,1,0,1,1,1,6
20,2,0,1,2,5,1,3,1,1,3,3,1,0,4,1,5,1,2,5,1,4,0,1,3,2,0,0,2,0,2,2,1,1,5,2,1
21,2,2,0,3,1,1,1,1,1,2,2,1,2,2,2,0,0,2,3,0,3,0,2,1,5,0,1,2,0,2,2,0,0,5,0,3
