,Barcelona scored,Barcelona received,Real Madrid scored,Real Madrid received,Huesca scored,Huesca received,Sevilla scored,Sevilla received,Ath Bilbao scored,Ath Bilbao received,Sociedad scored,Sociedad received,Levante scored,Levante received,Ath Madrid scored,Ath Madrid received,Girona scored,Girona received,Valencia scored,Valencia received,Espanol scored,Espanol received,Valladolid scored,Valladolid received,Celta scored,Celta received,Leganes scored,Leganes received,Eibar scored,Eibar received,Vallecano scored,Vallecano received,Getafe scored,Getafe received,Alaves scored,Alaves received,Betis scored,Betis received,Villarreal scored,Villarreal received
0,3,0,2,0,2,1,4,1,2,1,2,1,3,0,1,1,0,0,1,1,1,1,0,0,1,1,1,2,1,2,1,4,0,2,0,3,0,3,1,2
1,1,0,4,1,2,2,0,0,2,2,2,2,1,2,1,0,1,4,0,2,2,0,0,1,2,1,2,2,0,2,0,1,2,0,0,0,0,0,0,0
2,8,2,4,1,2,8,0,1,1,1,1,2,2,2,0,2,1,0,2,2,1,2,0,0,2,0,1,4,2,1,1,1,0,0,2,1,1,0,0,1
3,2,1,1,1,0,1,0,2,1,1,1,2,0,1,1,1,3,2,0,0,1,0,0,1,2,3,0,1,1,1,1,0,2,0,1,0,0,0,1,0
4,2,2,1,0,0,1,6,2,2,2,1,0,2,6,2,0,2,2,0,0,0,1,3,3,3,3,0,1,1,0,1,5,0,2,5,1,2,2,0,0
5,1,2,0,3,0,3,3,0,0,3,2,2,1,2,3,0,0,1,1,1,1,0,2,1,1,1,2,1,0,1,2,2,1,1,1,1,1,0,3,0
6,1,1,0,0,1,1,3,1,1,1,0,1,2,1,0,0,1,1,1,0,2,2,1,0,1,1,0,1,1,3,2,2,1,1,1,2,1,0,0,1
7,1,1,0,1,0,1,2,1,1,3,3,1,1,0,1,0,2,3,1,1,3,1,1,0,1,2,1,0,3,2,0,1,0,1,1,0,0,1,1,3
8,4,2,1,2,0,2,2,4,1,1,0,0,2,1,1,1,0,0,1,1,2,0,1,0,0,1,1,1,1,1,1,2,2,1,1,0,0,1,1,1
9,5,1,1,5,1,2,2,1,0,0,0,2,2,0,2,0,2,1,0,0,1,1,1,1,4,0,0,2,0,4,1,2,2,0,2,1,0,2,1,2
