,Paris SG scored,Paris SG received,Toulouse scored,Toulouse received,Nancy scored,Nancy received,Sochaux scored,Sochaux received,Caen scored,Caen received,Montpellier scored,Montpellier received,Auxerre scored,Auxerre received,Lorient scored,Lorient received,Lille scored,Lille received,Rennes scored,Rennes received,Monaco scored,Monaco received,Nice scored,Nice received,Lyon scored,Lyon received,Valenciennes scored,Valenciennes received,Arles scored,Arles received,Marseille scored,Marseille received,Lens scored,Lens received,Bordeaux scored,Bordeaux received,St Etienne scored,St Etienne received,Brest scored,Brest received
26,2,2,1,0,2,0,0,2,0,2,2,2,0,1,3,3,2,1,0,2,1,0,1,0,2,0,1,2,3,3,2,0,0,1,0,1,2,0,0,2
27,1,2,1,1,1,0,0,2,2,0,1,4,2,0,0,0,2,1,1,1,0,1,1,1,1,1,2,2,0,2,2,1,4,1,2,2,0,0,1,2
28,0,0,0,1,0,0,2,1,1,3,1,0,0,0,0,0,3,1,0,0,2,0,2,2,2,2,1,1,0,2,1,0,0,1,0,0,1,1,1,2
29,2,1,2,2,1,1,1,1,1,2,1,1,2,2,1,1,0,1,0,2,1,0,1,1,3,0,1,1,0,0,2,2,0,3,0,0,2,2,2,0
30,1,0,0,1,1,2,3,2,2,3,1,2,1,0,2,1,1,1,1,2,2,3,3,2,0,1,1,0,0,1,2,1,1,1,1,1,2,1,1,1
31,2,2,1,1,0,0,1,1,1,1,2,3,1,1,1,1,1,1,0,1,1,0,2,4,3,2,1,1,0,0,4,2,1,1,2,0,0,2,2,2
32,3,1,2,0,0,1,1,0,4,0,0,0,1,1,3,2,5,0,0,0,1,1,0,4,0,2,1,3,0,5,1,1,2,3,0,0,1,1,0,0
33,1,1,0,0,0,1,4,0,1,1,0,1,1,0,0,0,1,0,0,2,1,1,0,0,3,2,2,0,0,1,2,3,1,1,0,4,1,0,0,0
34,2,2,0,0,2,2,3,0,1,1,3,1,4,0,1,3,2,1,1,1,0,3,3,2,0,4,0,0,2,3,3,0,1,0,0,1,1,2,0,3
35,0,1,0,1,3,0,0,1,2,0,0,2,1,1,2,2,1,0,2,1,1,1,0,3,1,1,1,1,1,0,2,2,1,1,1,0,1,2,1,1
36,2,2,2,0,2,0,2,1,0,0,0,1,0,1,0,2,2,2,0,2,1,0,2,0,0,0,2,2,1,0,2,2,0,1,0,2,1,2,1,0
37,1,1,2,0,4,0,3,1,2,2,0,2,2,1,1,2,3,2,2,3,0,2,1,2,2,0,2,1,1,3,2,2,0,4,2,0,1,1,0,2
