,Nurnberg scored,Nurnberg received,Leverkusen scored,Leverkusen received,Werder Bremen scored,Werder Bremen received,Bayern Munich scored,Bayern Munich received,M'gladbach scored,M'gladbach received,Mainz scored,Mainz received,Bielefeld scored,Bielefeld received,Ein Frankfurt scored,Ein Frankfurt received,Schalke 04 scored,Schalke 04 received,Hamburg scored,Hamburg received,Hertha scored,Hertha received,Wolfsburg scored,Wolfsburg received,Bochum scored,Bochum received,Hannover scored,Hannover received,Dortmund scored,Dortmund received,Cottbus scored,Cottbus received,Aachen scored,Aachen received,Stuttgart scored,Stuttgart received
0,3.0,0.0,3.0,0.0,4.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0
1,2.0,0.0,2.0,1.0,3.0,1.5,2.0,0.5,1.0,0.5,1.5,1.0,1.5,2.0,0.5,0.5,1.0,0.5,1.5,1.5,2.0,0.0,0.0,0.0,1.0,2.0,1.0,4.0,0.5,1.5,1.0,2.0,0.0,2.0,1.5,2.5
2,1.3333333333333333,0.0,1.6666666666666667,1.0,2.0,1.6666666666666667,1.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,1.0,1.0,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,3.6666666666666665,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,2.6666666666666665
3,0.6666666666666666,0.3333333333333333,1.0,2.0,1.3333333333333333,2.0,1.0,1.0,1.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.0,1.3333333333333333,2.3333333333333335,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,2.6666666666666665,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.6666666666666666,2.3333333333333335,1.0,2.3333333333333335,2.3333333333333335
4,0.6666666666666666,0.6666666666666666,1.0,1.6666666666666667,1.0,2.0,1.0,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.0,1.0,1.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,2.6666666666666665,1.3333333333333333,1.6666666666666667,2.0
5,1.0,1.0,1.6666666666666667,1.6666666666666667,2.0,1.3333333333333333,1.0,1.3333333333333333,1.0,2.3333333333333335,0.6666666666666666,1.3333333333333333,2.0,1.3333333333333333,2.0,1.3333333333333333,1.0,1.6666666666666667,1.0,1.3333333333333333,1.6666666666666667,1.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,1.0,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.6666666666666667,2.0,1.6666666666666667
6,1.0,1.0,1.3333333333333333,1.6666666666666667,3.3333333333333335,0.3333333333333333,2.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.0,3.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333,2.3333333333333335,2.0,1.3333333333333333,2.0,1.0
7,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.0,4.0,0.3333333333333333,1.6666666666666667,2.0,1.3333333333333333,2.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.6666666666666667,2.0,2.3333333333333335,1.0,1.3333333333333333,0.6666666666666666,3.0,1.3333333333333333,1.6666666666666667,2.0,1.6666666666666667,1.6666666666666667,2.3333333333333335,2.0,1.3333333333333333,2.0,1.0
8,1.3333333333333333,1.3333333333333333,1.0,1.6666666666666667,5.0,0.6666666666666666,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.6666666666666666,3.3333333333333335,2.3333333333333335,0.6666666666666666,1.0,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.0,1.0,1.3333333333333333,2.3333333333333335,1.0,1.3333333333333333,0.3333333333333333,2.6666666666666665,0.6666666666666666,1.0,1.6666666666666667,1.3333333333333333,2.0,1.3333333333333333,1.6666666666666667,2.6666666666666665,2.3333333333333335,0.3333333333333333
9,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,3.3333333333333335,1.0,1.6666666666666667,1.6666666666666667,0.3333333333333333,1.6666666666666667,0.6666666666666666,2.6666666666666665,2.3333333333333335,0.6666666666666666,1.0,1.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.0,1.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,3.6666666666666665,2.6666666666666665,1.0
