,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Nurnberg,Leverkusen,Werder Bremen,Bayern Munich,M'gladbach,Mainz,Bielefeld,Ein Frankfurt,Schalke 04,Hamburg,Hertha,Wolfsburg,Bochum,Hannover,Dortmund,Cottbus,Aachen,Stuttgart
1,Nurnberg,Werder Bremen,Bayern Munich,Hertha,Mainz,Schalke 04,Leverkusen,M'gladbach,Stuttgart,Hamburg,Ein Frankfurt,Wolfsburg,Bielefeld,Cottbus,Dortmund,Bochum,Aachen,Hannover
2,Nurnberg,Bayern Munich,Schalke 04,M'gladbach,Werder Bremen,Hertha,Mainz,Leverkusen,Dortmund,Cottbus,Hamburg,Ein Frankfurt,Wolfsburg,Aachen,Stuttgart,Bielefeld,Bochum,Hannover
3,Hertha,Nurnberg,Bayern Munich,Dortmund,Cottbus,Schalke 04,Ein Frankfurt,Aachen,Werder Bremen,M'gladbach,Stuttgart,Mainz,Leverkusen,Bielefeld,Hamburg,Wolfsburg,Hannover,Bochum
4,Bayern Munich,Schalke 04,Hertha,Nurnberg,M'gladbach,Cottbus,Ein Frankfurt,Werder Bremen,Dortmund,Stuttgart,Aachen,Mainz,Leverkusen,Hamburg,Bielefeld,Bochum,Hannover,Wolfsburg
5,Hertha,Nurnberg,Werder Bremen,Bayern Munich,Schalke 04,Aachen,M'gladbach,Leverkusen,Ein Frankfurt,Dortmund,Cottbus,Stuttgart,Bielefeld,Mainz,Wolfsburg,Hamburg,Hannover,Bochum
6,Werder Bremen,Bayern Munich,Schalke 04,Aachen,M'gladbach,Nurnberg,Dortmund,Stuttgart,Hertha,Ein Frankfurt,Bielefeld,Leverkusen,Cottbus,Mainz,Wolfsburg,Hannover,Hamburg,Bochum
7,Werder Bremen,Schalke 04,Hertha,Bayern Munich,Nurnberg,Aachen,Dortmund,Stuttgart,M'gladbach,Bielefeld,Cottbus,Ein Frankfurt,Hamburg,Leverkusen,Mainz,Wolfsburg,Hannover,Bochum
8,Werder Bremen,Bayern Munich,Schalke 04,Stuttgart,Bielefeld,Cottbus,Nurnberg,Hertha,Dortmund,Aachen,M'gladbach,Leverkusen,Ein Frankfurt,Wolfsburg,Hamburg,Hannover,Mainz,Bochum
9,Werder Bremen,Stuttgart,Bayern Munich,Schalke 04,Hertha,Bielefeld,Cottbus,Dortmund,Nurnberg,Ein Frankfurt,Wolfsburg,Leverkusen,Aachen,M'gladbach,Hamburg,Bochum,Mainz,Hannover
