,Charlton scored,Charlton received,West Ham scored,West Ham received,Arsenal scored,Arsenal received,Man United scored,Man United received,Tottenham scored,Tottenham received,Chelsea scored,Chelsea received,Aston Villa scored,Aston Villa received,Bolton scored,Bolton received,Birmingham scored,Birmingham received,Fulham scored,Fulham received,Liverpool scored,Liverpool received,Man City scored,Man City received,Middlesbrough scored,Middlesbrough received,West Brom scored,West Brom received,Wigan scored,Wigan received,Blackburn scored,Blackburn received,Sunderland scored,Sunderland received,Everton scored,Everton received,Newcastle scored,Newcastle received,Portsmouth scored,Portsmouth received
0,3,1,3,1,2,0,2,0,2,0,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,3,0,2,0,2,0,2
1,1,0,0,0,0,1,1,0,2,0,1,0,0,1,0,1,1,2,1,2,1,0,2,1,0,2,2,1,0,1,2,1,0,1,1,0,0,0,1,2
2,2,0,2,1,4,1,4,0,0,0,4,0,1,1,2,0,0,3,1,4,0,2,2,1,3,0,0,4,0,4,0,0,1,2,1,2,0,2,1,1
3,3,0,1,2,0,1,2,0,0,2,2,0,1,0,2,1,3,2,1,0,1,0,2,1,0,3,2,3,1,0,0,1,0,1,0,1,0,2,1,2
4,1,0,4,0,1,2,1,1,0,0,2,0,0,4,0,0,0,1,1,1,0,0,1,1,2,1,1,2,2,1,0,0,0,2,0,1,1,1,1,0
5,0,2,2,1,2,0,0,0,1,1,2,0,1,1,1,0,1,1,1,2,0,0,0,1,1,1,1,1,1,1,0,3,1,1,0,2,3,0,1,1
6,2,1,0,0,0,0,1,2,1,0,2,1,1,2,1,0,2,2,0,1,2,2,0,1,0,2,1,2,1,0,2,1,2,0,0,1,1,0,0,1
7,2,3,1,1,1,0,3,2,3,2,4,1,2,3,1,2,0,1,2,3,1,4,2,0,3,2,0,2,2,1,2,0,1,1,0,2,0,0,0,0
8,1,1,1,2,1,2,3,1,2,0,5,1,1,0,1,5,0,1,1,1,1,0,2,1,1,1,2,1,1,0,0,1,1,3,0,2,0,1,1,1
9,2,1,2,1,1,0,1,1,1,1,1,1,0,2,2,0,0,2,2,0,0,2,0,1,1,2,0,2,2,0,2,0,2,3,1,1,3,2,1,2
10,0,1,0,2,1,1,1,4,1,1,4,2,1,3,1,0,0,1,0,1,2,0,3,1,4,1,0,3,1,0,2,4,1,4,1,0,3,0,4,1
11,1,4,1,0,3,1,1,0,0,1,0,1,0,2,1,0,0,1,2,1,2,0,1,2,0,1,0,1,2,0,4,1,1,3,1,0,1,0,0,2
12,1,3,1,1,3,2,3,1,1,1,3,0,3,1,0,1,1,0,2,3,3,0,0,0,3,2,4,0,2,3,0,0,1,3,0,4,0,3,0,3
13,0,1,1,2,3,0,2,1,2,1,2,0,1,0,1,2,1,0,2,1,1,0,0,1,2,2,2,2,1,2,0,3,0,1,1,0,0,1,0,2
14,2,5,2,1,0,2,3,0,3,2,1,0,1,1,2,0,1,2,0,0,3,0,5,2,0,1,0,0,0,3,0,2,2,3,2,0,1,1,0,3
15,2,0,2,3,0,1,1,1,3,1,1,0,1,1,1,1,1,0,0,1,2,0,0,2,0,2,2,0,0,1,3,2,0,2,1,1,1,0,1,3
16,0,3,2,4,0,2,2,0,3,3,2,0,0,2,4,0,1,4,2,1,2,0,4,1,3,3,0,1,3,0,1,2,0,2,0,4,4,2,1,0
17,0,1,1,1,1,0,3,0,2,0,3,2,4,0,0,0,0,2,2,3,2,0,3,4,0,2,0,3,4,3,2,0,0,0,0,4,0,2,1,1
18,0,0,0,2,4,0,2,2,0,2,1,0,3,3,1,1,2,2,3,3,3,1,0,1,1,1,2,0,2,0,2,0,0,2,1,3,0,0,0,4
19,2,0,0,2,0,0,4,1,2,0,2,0,0,0,1,4,0,2,0,1,1,0,0,0,0,0,0,1,0,3,3,0,0,1,1,0,0,2,1,0
20,1,3,1,3,0,0,0,0,2,0,3,1,2,1,2,2,2,0,2,1,2,2,0,2,2,2,1,2,0,2,2,1,1,2,3,1,2,2,1,2
21,2,0,2,1,7,0,1,3,0,1,2,1,1,2,0,0,0,2,1,0,1,0,3,1,0,7,1,0,0,1,0,0,1,2,1,0,0,1,0,1
22,1,1,2,1,0,1,1,0,0,0,1,1,0,0,2,0,5,0,1,2,0,1,0,2,2,3,0,1,3,2,1,0,1,0,1,0,0,1,0,5
23,0,0,3,2,2,3,3,4,0,1,1,1,1,1,1,1,1,1,1,0,1,1,3,0,3,0,0,0,1,1,4,3,0,3,1,1,0,3,1,1
24,1,3,2,0,2,0,4,2,3,1,2,0,4,0,1,1,0,2,2,4,0,2,0,1,0,4,2,0,1,1,0,2,0,2,1,0,2,0,0,2
25,2,3,3,0,1,1,3,1,1,1,0,3,1,2,1,1,0,3,6,1,1,0,3,2,3,0,1,6,0,1,0,1,1,1,1,0,2,1,1,3
26,0,0,0,1,0,1,1,0,2,2,2,0,0,0,2,1,1,0,1,2,1,0,0,1,2,0,0,2,2,2,1,0,0,1,0,2,2,0,0,2
27,0,0,2,2,4,0,2,1,3,2,2,1,1,0,1,3,0,1,0,4,0,0,2,1,1,0,1,2,1,2,2,3,1,2,2,2,3,1,0,1
28,2,1,1,4,2,1,2,0,1,2,2,1,0,2,4,1,1,1,1,3,1,2,1,2,1,2,1,1,1,0,2,0,0,1,3,1,0,2,2,1
29,0,3,2,4,3,0,2,1,2,0,0,1,1,4,2,0,0,2,1,0,3,1,0,1,2,3,1,2,1,0,3,2,0,2,4,1,1,3,4,2
30,3,1,2,1,1,1,3,0,2,1,2,0,0,0,3,4,0,3,0,0,3,1,0,2,4,3,1,2,1,2,1,0,0,1,1,3,1,3,1,1
31,0,0,0,0,5,0,2,1,1,3,0,0,0,5,1,2,0,0,1,3,2,0,0,1,1,0,0,2,1,1,1,1,2,2,2,2,3,1,3,1
32,0,0,1,4,0,2,2,0,2,1,4,1,0,0,0,1,1,1,1,2,1,0,1,2,1,2,0,0,1,1,2,2,2,1,0,0,2,1,2,2
33,1,2,1,0,3,1,0,0,1,0,2,0,3,1,0,2,1,3,2,1,1,0,0,1,0,1,1,3,1,3,0,1,0,0,0,1,3,1,1,0
