,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1.0
3,Man United,Charlton,Chelsea,Man City,Bolton,West Ham,Tottenham,Liverpool,Arsenal,Aston Villa,Blackburn,Middlesbrough,Birmingham,Fulham,West Brom,Everton,Wigan,Portsmouth,Newcastle,Sunderland,
4,Chelsea,Charlton,Man United,Man City,West Ham,Bolton,Tottenham,Liverpool,Middlesbrough,Arsenal,Wigan,Blackburn,Fulham,Aston Villa,Portsmouth,Birmingham,West Brom,Everton,Newcastle,Sunderland,
5,Chelsea,Charlton,Man United,West Ham,Bolton,Man City,Arsenal,Tottenham,Liverpool,Middlesbrough,Wigan,Aston Villa,Portsmouth,Newcastle,Birmingham,Fulham,West Brom,Blackburn,Everton,Sunderland,
6,Chelsea,Charlton,Man United,West Ham,Bolton,Tottenham,Man City,Arsenal,Liverpool,Wigan,Newcastle,Middlesbrough,Blackburn,Birmingham,Aston Villa,Portsmouth,Fulham,West Brom,Sunderland,Everton,
7,Chelsea,Charlton,Man United,West Ham,Tottenham,Bolton,Man City,Arsenal,Wigan,Middlesbrough,Blackburn,Liverpool,Newcastle,Portsmouth,Birmingham,Aston Villa,Sunderland,Fulham,West Brom,Everton,
8,Chelsea,Man United,Charlton,Tottenham,Man City,Wigan,West Ham,Bolton,Arsenal,Liverpool,Middlesbrough,Blackburn,Newcastle,Aston Villa,West Brom,Portsmouth,Fulham,Birmingham,Sunderland,Everton,
9,Chelsea,Charlton,Man United,Tottenham,Wigan,West Ham,Man City,Bolton,Arsenal,Blackburn,Liverpool,Newcastle,Middlesbrough,Fulham,Aston Villa,West Brom,Portsmouth,Birmingham,Sunderland,Everton,
10,Chelsea,Charlton,Wigan,Man United,Tottenham,Man City,Bolton,West Ham,Arsenal,Liverpool,Newcastle,Middlesbrough,Blackburn,Portsmouth,Fulham,Aston Villa,West Brom,Everton,Birmingham,Sunderland,
11,Chelsea,Wigan,Man United,Bolton,Charlton,West Ham,Arsenal,Tottenham,Man City,Liverpool,Newcastle,Blackburn,Middlesbrough,Fulham,Portsmouth,Everton,Aston Villa,West Brom,Birmingham,Sunderland,
12,Chelsea,Man United,Wigan,Arsenal,Bolton,West Ham,Liverpool,Charlton,Tottenham,Man City,Middlesbrough,Blackburn,Newcastle,Fulham,Aston Villa,West Brom,Portsmouth,Everton,Birmingham,Sunderland,
13,Chelsea,Man United,Arsenal,Liverpool,Wigan,Tottenham,Bolton,West Ham,Charlton,Man City,Middlesbrough,Newcastle,Blackburn,Fulham,Aston Villa,Everton,Birmingham,West Brom,Portsmouth,Sunderland,
14,Chelsea,Man United,Liverpool,Tottenham,Arsenal,Bolton,West Ham,Wigan,Man City,Charlton,Middlesbrough,Newcastle,Blackburn,Fulham,Aston Villa,Everton,West Brom,Birmingham,Portsmouth,Sunderland,
15,Chelsea,Man United,Liverpool,Tottenham,Bolton,Arsenal,West Ham,Charlton,Wigan,Man City,Newcastle,Blackburn,Middlesbrough,Aston Villa,Everton,Fulham,West Brom,Birmingham,Portsmouth,Sunderland,
16,Chelsea,Man United,Liverpool,Tottenham,Bolton,Wigan,Man City,Arsenal,West Ham,Newcastle,Charlton,Blackburn,Middlesbrough,Fulham,Aston Villa,Everton,West Brom,Birmingham,Portsmouth,Sunderland,
17,Chelsea,Man United,Liverpool,Tottenham,Bolton,Wigan,Arsenal,Man City,West Ham,Newcastle,Charlton,Blackburn,Middlesbrough,Aston Villa,Fulham,Everton,West Brom,Birmingham,Portsmouth,Sunderland,
18,Chelsea,Man United,Liverpool,Tottenham,Wigan,Arsenal,Bolton,Man City,Blackburn,West Ham,Newcastle,Charlton,Middlesbrough,Aston Villa,Fulham,West Brom,Everton,Birmingham,Portsmouth,Sunderland,
19,Chelsea,Man United,Liverpool,Tottenham,Wigan,Arsenal,Bolton,Blackburn,Charlton,Man City,West Ham,Newcastle,Middlesbrough,Aston Villa,Fulham,Everton,West Brom,Portsmouth,Birmingham,Sunderland,
20,Chelsea,Man United,Liverpool,Tottenham,Arsenal,Wigan,Bolton,Blackburn,Charlton,Man City,Newcastle,West Ham,Aston Villa,Middlesbrough,Fulham,Everton,West Brom,Birmingham,Portsmouth,Sunderland,
21,Chelsea,Liverpool,Man United,Tottenham,Arsenal,Bolton,Blackburn,Wigan,Charlton,Man City,West Ham,Newcastle,Fulham,Everton,Aston Villa,Middlesbrough,West Brom,Birmingham,Portsmouth,Sunderland,
22,Chelsea,Man United,Liverpool,Tottenham,Arsenal,Bolton,Blackburn,Wigan,Charlton,West Ham,Man City,Everton,Newcastle,Fulham,Aston Villa,Middlesbrough,Birmingham,West Brom,Portsmouth,Sunderland,
23,Chelsea,Man United,Liverpool,Tottenham,Blackburn,Bolton,Wigan,Arsenal,West Ham,Man City,Charlton,Everton,Fulham,Aston Villa,Newcastle,Middlesbrough,Birmingham,West Brom,Portsmouth,Sunderland,
24,Chelsea,Man United,Liverpool,Tottenham,Arsenal,Blackburn,Bolton,Wigan,West Ham,Man City,Charlton,Everton,Aston Villa,Newcastle,Fulham,West Brom,Middlesbrough,Birmingham,Portsmouth,Sunderland,
25,Chelsea,Man United,Liverpool,Tottenham,Arsenal,West Ham,Bolton,Blackburn,Wigan,Man City,Everton,Charlton,Newcastle,Fulham,Aston Villa,Middlesbrough,West Brom,Birmingham,Portsmouth,Sunderland,
26,Chelsea,Man United,Liverpool,Tottenham,Bolton,Blackburn,Arsenal,West Ham,Wigan,Man City,Newcastle,Everton,Charlton,Fulham,Middlesbrough,Aston Villa,Birmingham,West Brom,Portsmouth,Sunderland,
27,Chelsea,Man United,Liverpool,Tottenham,Arsenal,Bolton,Blackburn,West Ham,Man City,Wigan,Newcastle,Everton,Charlton,Middlesbrough,Aston Villa,Fulham,Birmingham,West Brom,Portsmouth,Sunderland,
28,Chelsea,Man United,Liverpool,Tottenham,Arsenal,Bolton,Blackburn,Wigan,West Ham,Man City,Everton,Newcastle,Charlton,Middlesbrough,Aston Villa,Fulham,Birmingham,West Brom,Portsmouth,Sunderland,
29,Chelsea,Man United,Liverpool,Tottenham,Arsenal,Bolton,Blackburn,Wigan,Everton,West Ham,Man City,Newcastle,Charlton,Fulham,Middlesbrough,Aston Villa,Birmingham,West Brom,Portsmouth,Sunderland,
30,Chelsea,Man United,Liverpool,Tottenham,Blackburn,Arsenal,Bolton,Wigan,West Ham,Everton,Charlton,Man City,Newcastle,Middlesbrough,Fulham,Aston Villa,West Brom,Birmingham,Portsmouth,Sunderland,
31,Chelsea,Man United,Liverpool,Tottenham,Arsenal,Blackburn,Bolton,Wigan,West Ham,Everton,Charlton,Newcastle,Middlesbrough,Man City,Fulham,Aston Villa,Birmingham,Portsmouth,West Brom,Sunderland,
32,Chelsea,Man United,Liverpool,Tottenham,Arsenal,Blackburn,Bolton,Wigan,West Ham,Newcastle,Everton,Charlton,Middlesbrough,Man City,Fulham,Aston Villa,Birmingham,Portsmouth,West Brom,Sunderland,
33,Chelsea,Man United,Liverpool,Tottenham,Arsenal,Blackburn,Bolton,West Ham,Newcastle,Wigan,Everton,Charlton,Middlesbrough,Man City,Fulham,Aston Villa,Portsmouth,Birmingham,West Brom,Sunderland,
34,Chelsea,Man United,Liverpool,Tottenham,Arsenal,Blackburn,Newcastle,Wigan,Bolton,West Ham,Charlton,Everton,Middlesbrough,Man City,Aston Villa,Fulham,Birmingham,Portsmouth,West Brom,Sunderland,
35,Chelsea,Man United,Liverpool,Tottenham,Arsenal,Blackburn,Newcastle,Bolton,Wigan,West Ham,Charlton,Everton,Middlesbrough,Man City,Fulham,Aston Villa,Portsmouth,Birmingham,West Brom,Sunderland,
36,Chelsea,Man United,Liverpool,Tottenham,Arsenal,Blackburn,Newcastle,Bolton,West Ham,Wigan,Everton,Charlton,Middlesbrough,Fulham,Man City,Aston Villa,Portsmouth,Birmingham,West Brom,Sunderland,
37,Chelsea,Man United,Liverpool,Arsenal,Tottenham,Blackburn,Newcastle,Bolton,West Ham,Wigan,Everton,Fulham,Charlton,Middlesbrough,Man City,Aston Villa,Portsmouth,Birmingham,West Brom,Sunderland,
