,Anderlecht scored,Anderlecht received,Standard scored,Standard received,Waregem scored,Waregem received,Club Brugge scored,Club Brugge received,FC Brussels scored,FC Brussels received,Westerlo scored,Westerlo received,Charleroi scored,Charleroi received,St Truiden scored,St Truiden received,Genk scored,Genk received,Lokeren scored,Lokeren received,Roeselare scored,Roeselare received,Gent scored,Gent received,Lierse scored,Lierse received,Cercle Brugge scored,Cercle Brugge received,Mouscron scored,Mouscron received,Germinal scored,Germinal received,Beveren scored,Beveren received,Louvieroise scored,Louvieroise received
0,6.0,0.0,3.0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,6.0
1,4.0,0.0,2.5,1.0,2.0,1.5,1.5,0.5,1.5,0.5,1.5,0.0,1.0,0.0,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,1.0,2.0,1.0,1.5,0.0,2.0,0.0,2.0,0.0,1.5,0.0,1.5,0.5,3.5
2,3.6666666666666665,0.3333333333333333,2.3333333333333335,0.6666666666666666,1.3333333333333333,1.0,1.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.0,0.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,1.0,2.3333333333333335,0.0,1.6666666666666667,0.0,1.6666666666666667,0.3333333333333333,2.0,1.3333333333333333,1.3333333333333333,0.3333333333333333,2.3333333333333335
3,2.6666666666666665,1.3333333333333333,2.3333333333333335,1.0,1.6666666666666667,1.3333333333333333,1.0,0.6666666666666666,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.0,1.0,1.0,1.6666666666666667,0.6666666666666666,2.3333333333333335,0.3333333333333333,1.0,1.0,1.6666666666666667,1.3333333333333333,1.0,1.0,1.3333333333333333
4,3.0,1.6666666666666667,2.0,1.6666666666666667,2.0,1.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.3333333333333333,2.0,2.3333333333333335,1.0,0.6666666666666666,1.0
5,2.3333333333333335,1.6666666666666667,2.3333333333333335,1.6666666666666667,2.3333333333333335,2.0,1.3333333333333333,0.6666666666666666,1.0,2.0,1.6666666666666667,0.3333333333333333,1.0,1.0,1.0,1.3333333333333333,2.0,2.0,1.0,1.6666666666666667,1.6666666666666667,1.0,1.6666666666666667,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,2.3333333333333335,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,1.0,1.0,1.3333333333333333
6,3.0,1.0,2.0,1.0,2.3333333333333335,1.6666666666666667,1.0,1.0,0.6666666666666666,2.0,1.6666666666666667,0.0,0.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,2.0,1.6666666666666667,1.3333333333333333,1.0,0.6666666666666666,2.6666666666666665,2.0,0.6666666666666666,0.0,0.3333333333333333,1.0,1.0,1.0,3.0,0.6666666666666666,2.0,1.6666666666666667,1.0,1.0,1.3333333333333333
7,2.0,0.6666666666666666,2.3333333333333335,0.6666666666666666,2.0,1.6666666666666667,0.3333333333333333,1.0,1.0,1.3333333333333333,1.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,3.0,1.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,2.6666666666666665,1.6666666666666667,1.0,0.0,0.0,1.3333333333333333,2.0,1.3333333333333333,2.3333333333333335,1.0,2.0,1.0,1.0,1.3333333333333333,2.0
8,2.6666666666666665,0.3333333333333333,2.0,1.0,2.3333333333333335,1.0,1.0,2.0,1.6666666666666667,1.0,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.3333333333333333,2.6666666666666665,1.6666666666666667,1.0,1.3333333333333333,1.0,2.6666666666666665,1.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.0,1.0,2.0,1.3333333333333333,2.3333333333333335,1.3333333333333333,2.0,1.0,2.6666666666666665
9,1.3333333333333333,0.0,1.6666666666666667,1.0,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,2.0,1.0,2.0,2.6666666666666665,0.3333333333333333,1.6666666666666667,1.6666666666666667,1.3333333333333333,2.0,1.3333333333333333,2.0,1.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,2.0,1.0,1.6666666666666667,2.6666666666666665,0.6666666666666666,2.0,0.6666666666666666,3.0
