,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Anderlecht,Standard,Waregem,Club Brugge,FC Brussels,Westerlo,Charleroi,St Truiden,Genk,Lokeren,Roeselare,Gent,Lierse,Cercle Brugge,Mouscron,Germinal,Beveren,Louvieroise
1,Anderlecht,Standard,Westerlo,Club Brugge,FC Brussels,Lokeren,Charleroi,Waregem,Roeselare,St Truiden,Lierse,Genk,Gent,Louvieroise,Germinal,Beveren,Cercle Brugge,Mouscron
2,Anderlecht,Standard,Club Brugge,Westerlo,Lokeren,Charleroi,Waregem,FC Brussels,Gent,Beveren,Genk,Roeselare,St Truiden,Lierse,Louvieroise,Germinal,Cercle Brugge,Mouscron
3,Standard,Anderlecht,Club Brugge,Charleroi,Waregem,Westerlo,Lokeren,Roeselare,St Truiden,FC Brussels,Genk,Gent,Lierse,Beveren,Germinal,Mouscron,Louvieroise,Cercle Brugge
4,Anderlecht,Standard,Club Brugge,Westerlo,Waregem,Lokeren,Charleroi,Roeselare,Gent,Beveren,St Truiden,FC Brussels,Genk,Lierse,Germinal,Mouscron,Louvieroise,Cercle Brugge
5,Standard,Anderlecht,Club Brugge,Westerlo,Lokeren,Charleroi,Waregem,Gent,Roeselare,Genk,Beveren,FC Brussels,St Truiden,Lierse,Germinal,Louvieroise,Mouscron,Cercle Brugge
6,Standard,Anderlecht,Westerlo,Club Brugge,Waregem,Gent,Lokeren,Charleroi,Genk,Beveren,St Truiden,Roeselare,FC Brussels,Lierse,Cercle Brugge,Louvieroise,Germinal,Mouscron
7,Standard,Anderlecht,Westerlo,Lokeren,Waregem,Gent,Club Brugge,Genk,Charleroi,Beveren,St Truiden,Roeselare,FC Brussels,Lierse,Mouscron,Germinal,Louvieroise,Cercle Brugge
8,Standard,Anderlecht,Westerlo,Waregem,Lokeren,Gent,Club Brugge,Genk,Charleroi,FC Brussels,Beveren,St Truiden,Roeselare,Lierse,Cercle Brugge,Germinal,Mouscron,Louvieroise
9,Standard,Anderlecht,Westerlo,Waregem,Lokeren,Club Brugge,Gent,Genk,Charleroi,Roeselare,FC Brussels,Beveren,St Truiden,Cercle Brugge,Mouscron,Lierse,Germinal,Louvieroise
10,Standard,Anderlecht,Westerlo,Waregem,Lokeren,Gent,Club Brugge,Genk,FC Brussels,St Truiden,Roeselare,Charleroi,Cercle Brugge,Beveren,Mouscron,Lierse,Louvieroise,Germinal
11,Standard,Anderlecht,Club Brugge,Westerlo,Lokeren,Waregem,Gent,Genk,FC Brussels,Roeselare,Charleroi,Cercle Brugge,St Truiden,Beveren,Mouscron,Louvieroise,Lierse,Germinal
12,Standard,Anderlecht,Lokeren,Waregem,Club Brugge,Westerlo,Genk,Gent,FC Brussels,Cercle Brugge,Roeselare,Charleroi,St Truiden,Mouscron,Beveren,Louvieroise,Germinal,Lierse
13,Standard,Anderlecht,Waregem,Club Brugge,Westerlo,Lokeren,Genk,FC Brussels,Gent,Roeselare,Charleroi,Cercle Brugge,Beveren,St Truiden,Mouscron,Louvieroise,Germinal,Lierse
14,Standard,Anderlecht,Waregem,Club Brugge,Westerlo,Genk,Lokeren,FC Brussels,Gent,Roeselare,Charleroi,Cercle Brugge,Beveren,Mouscron,Germinal,Louvieroise,St Truiden,Lierse
15,Standard,Anderlecht,Club Brugge,Waregem,Genk,Westerlo,Lokeren,FC Brussels,Roeselare,Gent,Mouscron,Charleroi,Cercle Brugge,Louvieroise,Beveren,Germinal,St Truiden,Lierse
16,Anderlecht,Standard,Club Brugge,Westerlo,Genk,Waregem,Lokeren,FC Brussels,Roeselare,Gent,Cercle Brugge,Beveren,Mouscron,Charleroi,Germinal,Louvieroise,St Truiden,Lierse
17,Standard,Anderlecht,Club Brugge,Westerlo,Genk,Waregem,Lokeren,FC Brussels,Gent,Roeselare,Cercle Brugge,Charleroi,Mouscron,Beveren,Germinal,Louvieroise,St Truiden,Lierse
18,Club Brugge,Standard,Anderlecht,Waregem,Westerlo,Genk,Lokeren,FC Brussels,Gent,Roeselare,Charleroi,Cercle Brugge,Germinal,Mouscron,Beveren,Louvieroise,St Truiden,Lierse
19,Club Brugge,Standard,Anderlecht,Genk,Waregem,Westerlo,Gent,Lokeren,FC Brussels,Charleroi,Roeselare,Germinal,Cercle Brugge,Mouscron,Beveren,Louvieroise,St Truiden,Lierse
20,Club Brugge,Anderlecht,Standard,Waregem,Genk,Gent,Westerlo,Lokeren,Charleroi,FC Brussels,Roeselare,Germinal,Mouscron,Cercle Brugge,Beveren,Louvieroise,St Truiden,Lierse
21,Anderlecht,Club Brugge,Standard,Genk,Waregem,Gent,Westerlo,FC Brussels,Lokeren,Charleroi,Roeselare,Germinal,Cercle Brugge,Mouscron,Beveren,Louvieroise,St Truiden,Lierse
22,Anderlecht,Standard,Club Brugge,Waregem,Genk,Westerlo,Gent,FC Brussels,Lokeren,Charleroi,Roeselare,Germinal,Cercle Brugge,Mouscron,St Truiden,Beveren,Louvieroise,Lierse
23,Anderlecht,Standard,Club Brugge,Waregem,Genk,Gent,Westerlo,Lokeren,FC Brussels,Germinal,Charleroi,Roeselare,Cercle Brugge,Mouscron,St Truiden,Lierse,Beveren,Louvieroise
24,Anderlecht,Standard,Club Brugge,Waregem,Genk,Westerlo,Lokeren,Gent,Charleroi,FC Brussels,Roeselare,Germinal,Cercle Brugge,Mouscron,St Truiden,Louvieroise,Lierse,Beveren
25,Anderlecht,Standard,Club Brugge,Waregem,Genk,Gent,Lokeren,Westerlo,FC Brussels,Charleroi,Roeselare,Germinal,Mouscron,St Truiden,Cercle Brugge,Beveren,Louvieroise,Lierse
26,Anderlecht,Standard,Club Brugge,Waregem,Genk,Gent,Lokeren,Westerlo,FC Brussels,Charleroi,Germinal,Roeselare,Mouscron,St Truiden,Cercle Brugge,Lierse,Beveren,Louvieroise
27,Anderlecht,Standard,Club Brugge,Waregem,Gent,Genk,Lokeren,Westerlo,Charleroi,FC Brussels,Germinal,Roeselare,Mouscron,St Truiden,Lierse,Cercle Brugge,Louvieroise,Beveren
28,Anderlecht,Standard,Club Brugge,Gent,Waregem,Genk,Lokeren,Westerlo,Charleroi,Germinal,Roeselare,FC Brussels,St Truiden,Mouscron,Cercle Brugge,Lierse,Beveren,Louvieroise
29,Standard,Anderlecht,Club Brugge,Gent,Genk,Waregem,Lokeren,Germinal,Charleroi,Westerlo,Roeselare,FC Brussels,Mouscron,St Truiden,Cercle Brugge,Beveren,Lierse,Louvieroise
30,Standard,Anderlecht,Club Brugge,Gent,Genk,Waregem,Germinal,Lokeren,Charleroi,Roeselare,Westerlo,FC Brussels,Mouscron,St Truiden,Cercle Brugge,Beveren,Lierse,Louvieroise
31,Anderlecht,Standard,Club Brugge,Gent,Genk,Waregem,Lokeren,Germinal,Charleroi,Roeselare,FC Brussels,Westerlo,Mouscron,St Truiden,Cercle Brugge,Beveren,Lierse,Louvieroise
32,Anderlecht,Standard,Club Brugge,Gent,Genk,Waregem,Lokeren,Germinal,Charleroi,FC Brussels,Westerlo,Roeselare,Mouscron,St Truiden,Cercle Brugge,Beveren,Lierse,Louvieroise
33,Anderlecht,Standard,Club Brugge,Gent,Genk,Germinal,Waregem,Lokeren,FC Brussels,Westerlo,Charleroi,Roeselare,Mouscron,Cercle Brugge,St Truiden,Beveren,Lierse,Louvieroise
