,Anderlecht scored,Anderlecht received,Standard scored,Standard received,Waregem scored,Waregem received,Club Brugge scored,Club Brugge received,FC Brussels scored,FC Brussels received,Westerlo scored,Westerlo received,Charleroi scored,Charleroi received,St Truiden scored,St Truiden received,Genk scored,Genk received,Lokeren scored,Lokeren received,Roeselare scored,Roeselare received,Gent scored,Gent received,Lierse scored,Lierse received,Cercle Brugge scored,Cercle Brugge received,Mouscron scored,Mouscron received,Germinal scored,Germinal received,Beveren scored,Beveren received,Louvieroise scored,Louvieroise received
0,6,0,3,1,3,1,2,0,2,0,2,0,2,0,1,0,1,1,1,1,0,1,1,3,1,3,0,2,0,2,0,2,0,2,0,6
1,2,0,2,1,1,2,1,1,1,1,1,0,0,0,0,1,0,0,2,0,1,0,1,1,1,0,0,2,0,2,0,1,0,1,1,1
2,3,1,2,0,0,0,1,0,0,1,1,1,1,0,0,2,1,1,1,0,0,1,1,0,1,4,0,1,0,1,1,3,4,1,0,0
3,3,3,3,2,4,2,1,1,2,2,0,1,2,2,1,0,3,3,0,4,4,0,1,2,1,1,2,4,1,0,2,1,0,1,2,3
4,3,1,1,3,2,1,2,1,0,3,3,0,1,1,1,2,0,2,1,0,1,1,2,0,0,1,0,0,1,3,1,2,3,1,0,0
5,1,1,3,0,1,3,1,0,1,1,2,0,0,0,1,2,3,1,2,1,0,2,2,1,0,0,0,3,1,2,1,1,0,1,1,1
6,5,1,2,0,4,1,0,2,1,2,0,0,0,1,1,0,3,2,1,2,1,5,2,1,0,0,3,0,1,4,0,3,2,1,2,3
7,0,0,2,2,1,1,0,1,1,1,1,0,1,1,0,1,3,1,1,0,1,1,1,1,0,0,1,3,2,1,2,2,1,1,1,2
8,3,0,2,1,2,1,3,3,3,0,4,1,3,3,0,3,2,2,1,2,1,2,1,1,1,1,1,0,0,1,2,2,1,4,0,3
9,1,0,1,0,2,0,2,1,1,2,1,2,2,4,1,1,0,1,4,2,4,1,1,1,0,2,2,1,4,1,1,4,0,1,1,4
10,2,2,1,0,1,5,2,2,1,0,1,1,0,1,5,1,1,0,1,1,2,2,3,0,0,1,2,2,0,1,0,1,0,3,1,0
11,2,2,1,2,1,2,2,1,1,0,1,2,2,1,1,3,0,1,2,2,5,1,1,2,0,4,4,0,2,1,1,5,2,1,3,1
12,3,1,1,0,2,1,1,2,1,1,0,1,1,3,1,2,4,1,2,1,1,4,1,2,0,4,2,1,1,1,4,0,0,2,2,0
13,1,2,1,3,3,2,4,0,3,1,2,1,2,0,1,2,2,1,2,3,5,0,0,2,1,2,1,5,0,5,2,1,5,1,0,4
14,0,2,2,0,3,0,1,0,1,0,1,0,0,3,0,2,2,0,1,1,0,1,0,1,0,5,0,1,5,0,3,1,1,3,1,1
15,3,0,0,0,2,2,2,0,1,1,2,2,0,2,3,6,2,0,2,1,0,0,0,3,1,1,1,2,6,3,0,2,0,2,2,0
16,2,1,1,2,1,2,2,2,0,0,3,0,0,2,0,0,2,2,1,2,2,0,2,1,0,2,2,0,1,3,2,1,3,1,0,3
17,0,0,2,0,1,2,1,0,3,1,2,2,1,0,1,1,2,2,2,2,1,1,2,1,0,2,2,2,0,1,0,1,1,3,0,0
18,2,2,1,2,2,1,3,0,0,3,1,3,2,1,1,1,1,2,1,1,1,1,3,0,1,1,2,2,1,1,3,1,1,1,0,3
19,0,2,0,0,2,2,1,1,1,1,0,2,1,0,0,0,2,0,1,1,1,1,2,1,2,0,1,2,0,1,2,0,0,2,2,2
20,4,1,1,1,3,1,3,1,0,1,0,5,1,0,1,1,1,4,2,2,2,2,2,1,1,3,1,3,5,0,1,2,1,1,1,1
21,1,0,2,0,0,2,2,2,1,0,0,1,0,2,2,2,2,1,0,2,2,0,1,2,2,0,1,0,0,1,2,0,0,2,0,1
22,2,0,7,1,1,0,1,0,0,2,3,2,0,1,2,1,0,1,1,2,2,3,0,0,1,0,1,7,0,0,1,1,0,1,1,1
23,2,0,1,1,1,0,1,1,0,1,1,2,1,1,1,1,5,0,3,1,0,2,1,0,2,1,0,5,0,1,5,0,1,3,0,5
24,3,0,3,1,0,0,0,2,0,0,2,1,4,0,1,2,1,1,2,0,2,1,1,2,0,3,1,1,0,0,1,3,0,4,0,0
25,0,3,0,0,3,0,2,1,0,0,1,4,1,2,3,0,1,0,0,0,0,3,3,1,1,3,0,6,6,0,0,1,4,1,0,0
26,4,0,1,0,0,1,0,0,1,0,0,0,3,1,0,1,0,1,1,3,0,0,1,0,1,0,0,1,0,1,1,0,0,4,0,0
27,2,0,0,0,0,2,0,2,0,1,2,3,0,0,2,0,0,1,3,2,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0
28,1,1,2,1,2,2,1,4,0,1,1,1,1,1,2,0,1,0,1,1,2,2,4,1,0,3,3,0,1,2,2,2,2,2,0,2
29,1,1,2,0,1,2,2,1,0,1,0,2,1,1,1,1,2,1,1,2,1,2,2,1,0,2,1,1,1,0,2,0,1,0,0,1
30,5,0,1,0,1,1,1,0,0,1,0,5,2,2,0,4,1,0,1,1,1,0,2,2,0,1,1,1,0,1,4,0,1,1,0,1
31,2,0,0,2,0,2,2,0,1,0,0,1,2,0,2,2,2,2,3,2,0,1,1,0,2,0,0,2,0,2,0,0,0,0,2,3
32,0,0,0,0,1,2,1,1,2,1,2,1,2,2,0,3,2,0,0,2,0,0,0,0,1,2,2,0,3,0,1,1,0,2,2,2
33,3,0,0,2,0,3,3,0,1,0,2,1,0,1,0,1,0,3,1,2,0,1,2,0,1,0,1,0,0,1,2,1,1,0,1,2
