,Sp Braga scored,Sp Braga received,Academica scored,Academica received,Nacional scored,Nacional received,Porto scored,Porto received,Pacos Ferreira scored,Pacos Ferreira received,Setubal scored,Setubal received,Beira Mar scored,Beira Mar received,Olhanense scored,Olhanense received,Leiria scored,Leiria received,Guimaraes scored,Guimaraes received,Benfica scored,Benfica received,Maritimo scored,Maritimo received,Naval scored,Naval received,Rio Ave scored,Rio Ave received,Sp Lisbon scored,Sp Lisbon received,Portimonense scored,Portimonense received
0,3,1,2,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,0,1,0,1,1,3
1,0,0,1,1,2,1,3,0,0,0,0,0,0,3,1,1,0,0,0,0,1,2,0,1,1,0,0,0,1,0,0,1
2,1,0,1,2,1,3,2,0,2,2,0,3,2,1,1,0,0,1,3,1,3,0,0,1,1,3,0,2,3,1,2,2
3,2,3,3,0,1,2,3,2,1,1,0,0,0,0,0,0,2,1,2,1,1,2,1,1,0,3,1,3,0,0,3,1
4,2,2,2,2,0,2,2,0,2,2,0,0,1,1,2,0,0,1,1,0,2,0,1,1,0,0,2,2,0,2,0,2
5,3,1,3,1,1,1,2,0,0,1,1,0,0,1,0,2,1,0,1,3,1,0,0,1,1,3,0,1,1,1,1,0
6,0,1,1,2,3,1,1,1,2,1,1,3,1,1,3,1,2,1,1,1,1,0,0,0,1,2,0,0,1,1,1,3
7,3,1,2,1,1,2,5,1,1,1,2,1,1,1,1,3,1,5,1,2,1,0,1,0,0,1,0,1,1,0,0,1
8,0,2,0,1,1,0,1,0,0,2,0,1,3,1,1,1,1,2,2,0,2,0,1,1,1,3,2,0,2,1,0,2
9,2,3,2,2,1,0,5,0,0,1,3,3,3,2,1,1,1,1,3,2,0,5,1,1,1,1,3,3,2,3,2,2
10,1,2,1,2,0,0,2,0,1,3,0,1,1,1,1,1,1,0,2,1,4,0,0,0,0,4,3,1,2,1,0,2
11,2,0,1,0,0,2,1,1,1,0,0,1,1,3,0,1,2,1,0,2,3,1,2,0,0,1,1,0,1,1,1,2
12,1,3,1,5,2,1,1,0,1,1,0,1,1,1,0,2,3,1,1,1,2,0,5,1,1,2,1,1,3,1,1,3
13,5,0,0,5,0,0,3,0,0,3,0,3,3,2,0,0,3,0,2,3,5,2,1,1,0,3,2,5,3,0,1,1
14,1,2,0,0,0,0,4,1,0,0,4,3,0,0,1,0,0,3,1,2,3,0,1,4,2,1,0,1,2,1,3,4
15,3,0,0,1,1,0,3,1,3,2,2,4,3,0,0,1,0,3,1,0,1,0,4,2,1,3,0,1,2,3,0,3
16,2,2,1,2,2,4,1,0,1,1,2,2,0,1,2,1,1,1,3,2,4,2,0,3,1,1,2,3,3,0,1,1
17,2,1,3,3,0,0,1,0,1,0,0,2,3,3,2,0,0,2,0,0,2,0,1,2,3,3,0,1,3,3,0,1
18,0,2,1,3,0,1,2,0,1,0,0,0,0,0,2,2,1,0,0,3,3,0,0,1,3,1,2,0,2,2,0,2
19,1,2,0,1,0,3,3,0,2,1,1,1,0,1,1,1,0,1,1,0,2,0,1,0,1,1,1,0,0,2,1,1
20,0,0,2,0,1,0,3,0,2,0,0,2,0,1,0,3,0,1,0,2,2,1,1,2,0,0,1,0,0,1,1,0
21,2,1,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,1,0,0,1,0,1,0,1,1
22,2,0,1,1,1,1,2,0,1,3,1,1,3,1,0,2,0,2,1,1,1,1,3,0,0,3,0,0,0,0,1,1
23,1,0,1,3,1,2,3,1,1,5,2,1,2,2,0,4,0,0,1,2,5,1,4,0,2,2,0,1,0,0,2,1
24,2,1,1,0,1,0,2,1,0,1,0,2,1,2,1,3,1,3,1,1,1,2,3,1,3,1,2,0,1,1,0,1
25,3,1,0,2,1,1,3,2,1,6,4,1,1,0,0,1,1,4,1,3,1,2,1,1,2,1,6,1,2,0,2,3
26,1,1,1,1,1,1,3,2,0,0,1,1,1,2,0,0,0,1,2,0,2,1,0,2,0,1,1,0,2,3,1,0
27,0,0,0,1,2,1,4,0,2,1,0,4,1,1,1,1,0,0,1,2,1,1,1,0,1,2,1,1,2,1,1,2
28,0,0,0,0,0,1,3,3,3,3,1,0,0,1,1,0,1,0,1,0,2,1,0,1,0,1,1,2,0,1,1,0
29,0,1,1,5,2,0,2,0,5,1,3,1,0,2,2,2,3,3,3,0,3,3,0,2,0,3,2,2,1,0,1,3
