,Vitesse scored,Vitesse received,Utrecht scored,Utrecht received,VVV Venlo scored,VVV Venlo received,Zwolle scored,Zwolle received,PSV Eindhoven scored,PSV Eindhoven received,Feyenoord scored,Feyenoord received,Heracles scored,Heracles received,Excelsior scored,Excelsior received,Groningen scored,Groningen received,Heerenveen scored,Heerenveen received,AZ Alkmaar scored,AZ Alkmaar received,Ajax scored,Ajax received,Twente scored,Twente received,Willem II scored,Willem II received,Roda scored,Roda received,NAC Breda scored,NAC Breda received,Den Haag scored,Den Haag received,Sparta Rotterdam scored,Sparta Rotterdam received
0,4,1,3,0,3,0,4,2,3,2,2,1,2,1,2,1,3,3,3,3,2,3,1,2,1,2,1,2,2,4,1,4,0,3,0,3
1,3,1,2,0,2,1,1,1,4,1,1,0,1,1,0,1,1,3,1,1,2,0,3,1,1,2,0,2,1,3,1,4,0,2,1,1
2,1,2,1,2,0,2,2,0,2,0,5,0,2,2,2,2,2,1,2,1,2,1,2,0,0,2,0,5,0,2,2,2,1,2,2,2
3,3,0,2,0,1,1,0,3,0,2,4,2,2,4,0,3,1,1,2,0,2,1,3,0,0,1,1,2,0,2,1,2,2,1,1,0
4,1,1,0,4,1,1,2,1,1,0,0,1,1,2,1,2,1,2,2,1,2,0,1,1,4,0,3,1,1,3,2,1,1,1,0,2
5,2,1,1,7,1,1,1,1,7,1,0,2,2,1,2,0,1,0,2,1,0,2,1,2,0,1,1,2,1,2,2,0,1,0,0,1
6,1,1,1,1,2,0,3,2,4,0,4,0,1,2,0,2,2,3,0,4,0,4,4,0,2,1,0,4,2,1,0,1,1,0,1,2
7,1,1,3,1,2,5,0,0,5,2,0,0,1,1,2,1,1,1,1,3,1,1,4,0,1,3,3,1,1,0,0,1,1,2,0,4
8,4,0,0,3,0,2,2,0,3,0,1,4,0,3,1,1,0,1,0,4,3,0,4,1,3,0,1,0,0,3,0,2,2,0,1,1
9,2,4,2,2,0,3,2,0,4,2,1,1,3,0,3,1,1,2,1,2,2,1,3,1,1,3,1,3,1,1,2,2,0,2,2,1
10,0,0,2,1,0,0,0,0,4,3,2,2,2,1,1,0,1,2,0,0,3,2,1,2,3,4,2,3,0,1,0,0,2,2,0,0
11,2,4,3,1,1,1,0,1,1,0,1,1,1,4,1,3,4,2,4,0,1,0,8,0,0,4,2,2,0,1,0,8,4,1,2,2
12,2,0,3,1,3,3,2,1,2,1,2,0,2,1,1,2,0,2,1,2,2,0,5,1,0,2,3,3,1,5,1,2,0,2,1,3
13,0,1,1,1,0,2,1,1,1,0,1,0,1,3,1,3,3,0,1,2,2,0,3,3,3,3,3,1,2,1,3,1,0,3,0,1
14,1,0,1,1,2,2,2,1,0,3,1,1,0,5,1,2,2,2,2,2,5,0,3,0,2,3,1,1,2,2,1,1,3,2,0,1
15,2,2,1,0,0,1,1,1,3,3,1,1,3,2,1,3,3,3,1,1,1,1,3,1,2,1,2,2,2,3,1,2,3,2,2,3
16,1,1,1,1,1,0,3,2,3,0,7,0,1,1,2,0,0,2,1,0,1,2,2,1,1,1,2,3,0,1,0,1,0,3,0,7
17,1,2,1,3,3,1,0,4,2,1,5,1,1,3,0,0,4,0,1,3,3,1,3,1,0,0,1,3,1,5,3,1,4,0,0,4
18,1,1,1,1,1,1,1,0,2,1,0,2,1,2,3,2,1,1,1,1,1,1,2,0,1,1,1,1,1,1,0,1,1,1,2,3
19,2,1,0,0,1,0,1,2,2,0,3,1,3,3,1,2,3,3,2,1,2,0,0,0,0,2,0,2,2,1,0,1,1,3,1,2
20,2,0,2,2,1,0,0,4,4,0,0,1,1,1,2,2,0,2,1,0,2,2,3,1,0,1,0,1,2,2,1,3,1,1,1,0
21,0,1,1,0,0,3,3,2,1,0,3,0,1,6,0,1,0,3,2,3,4,0,4,2,0,4,3,0,2,4,6,1,1,0,0,1
22,3,1,2,1,0,0,1,2,2,1,1,3,1,0,0,0,0,0,1,1,0,0,2,1,1,2,0,1,1,1,0,0,0,0,1,2
23,1,2,4,1,1,1,0,1,2,2,1,0,0,1,2,1,1,1,2,2,3,1,1,0,1,1,1,2,1,4,1,3,2,1,1,1
24,2,2,3,1,2,2,1,2,3,1,1,3,2,1,1,0,1,1,0,1,2,1,0,0,1,3,1,0,0,1,1,1,0,0,1,2
25,3,2,0,3,1,1,1,1,3,0,1,2,3,0,1,2,1,1,2,0,2,1,2,3,1,1,0,2,0,3,2,1,1,2,2,1
26,1,5,5,1,2,3,0,2,0,5,2,1,2,1,3,2,2,0,1,4,1,2,4,1,1,2,5,0,0,2,2,0,0,2,2,0
27,0,0,2,2,0,3,3,4,3,0,4,3,0,0,1,2,2,3,2,2,3,2,5,2,2,2,2,2,1,0,0,1,2,1,2,5
28,0,3,2,3,0,0,2,0,5,1,5,0,1,2,0,5,1,2,2,1,3,0,2,1,0,0,3,2,3,0,1,5,0,3,0,2
29,0,1,3,3,2,3,2,3,3,2,3,1,0,1,2,1,1,1,1,1,2,3,1,0,1,3,1,2,3,2,1,0,3,3,3,2
30,7,0,1,3,0,2,1,1,3,0,3,1,0,3,1,1,2,1,2,0,3,0,0,3,1,2,2,1,1,2,1,2,2,1,0,7
31,3,4,1,1,1,4,0,2,2,2,5,1,2,2,2,2,1,1,2,0,4,3,4,1,2,0,1,5,2,2,1,2,0,2,2,1
32,5,0,2,2,1,4,0,1,3,3,3,1,2,2,0,4,4,0,0,3,0,3,3,0,0,5,1,0,4,1,3,0,3,3,1,3
33,2,2,1,0,0,1,0,6,0,0,3,2,5,2,1,2,0,0,2,3,6,0,2,1,1,1,2,2,2,3,1,1,3,2,2,5
