,Vitesse scored,Vitesse received,Utrecht scored,Utrecht received,Zwolle scored,Zwolle received,PSV Eindhoven scored,PSV Eindhoven received,Feyenoord scored,Feyenoord received,Heracles scored,Heracles received,Excelsior scored,Excelsior received,Groningen scored,Groningen received,Heerenveen scored,Heerenveen received,AZ Alkmaar scored,AZ Alkmaar received,Ajax scored,Ajax received,Twente scored,Twente received,Willem II scored,Willem II received,Roda scored,Roda received,Den Haag scored,Den Haag received,Sparta Rotterdam scored,Sparta Rotterdam received,VVV Venlo scored,VVV Venlo received,NAC Breda scored,NAC Breda received
3,2.3333333333333335,1.0,1.6666666666666667,0.6666666666666666,1.0,1.3333333333333333,2.0,1.0,3.3333333333333335,0.6666666666666666,1.6666666666666667,2.3333333333333335,0.6666666666666666,2.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.0,0.6666666666666666,2.6666666666666665,0.3333333333333333,0.3333333333333333,1.6666666666666667,0.3333333333333333,3.0,0.3333333333333333,2.3333333333333335,1.0,1.6666666666666667,1.3333333333333333,1.0,1.0,1.3333333333333333,1.3333333333333333,2.6666666666666665
4,1.6666666666666667,1.0,1.0,2.0,1.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,3.0,1.0,1.6666666666666667,2.6666666666666665,1.0,2.3333333333333335,1.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,2.0,0.6666666666666666,2.0,0.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,2.6666666666666665,0.3333333333333333,2.3333333333333335,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.6666666666666667
5,2.0,0.6666666666666666,1.0,3.6666666666666665,1.0,1.6666666666666667,2.6666666666666665,1.0,1.3333333333333333,1.6666666666666667,1.6666666666666667,2.3333333333333335,1.0,1.6666666666666667,1.0,1.0,2.0,0.6666666666666666,1.3333333333333333,1.0,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.6666666666666666,2.3333333333333335,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.0,1.0,1.6666666666666667,1.0
6,1.3333333333333333,1.0,0.6666666666666666,4.0,2.0,1.3333333333333333,4.0,0.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,2.0,0.6666666666666666,2.0,2.0,1.0,2.0,0.6666666666666666,1.3333333333333333,2.3333333333333335,1.3333333333333333,2.0,1.0,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666
7,1.3333333333333333,1.0,1.6666666666666667,3.0,1.3333333333333333,1.0,5.333333333333333,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,1.3333333333333333,1.0,2.6666666666666665,0.3333333333333333,2.3333333333333335,3.0,0.6666666666666666,1.0,1.6666666666666667,1.3333333333333333,2.3333333333333335,1.3333333333333333,1.0,1.0,0.6666666666666666,0.3333333333333333,2.3333333333333335,1.6666666666666667,2.0,0.6666666666666666,0.6666666666666666
8,2.0,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.6666666666666667,0.6666666666666666,4.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.6666666666666666,2.0,1.0,1.3333333333333333,1.0,1.6666666666666667,0.3333333333333333,3.6666666666666665,1.3333333333333333,1.6666666666666667,4.0,0.3333333333333333,2.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.3333333333333335,1.3333333333333333,2.3333333333333335,0.0,1.3333333333333333
9,2.3333333333333335,1.6666666666666667,1.6666666666666667,2.0,1.3333333333333333,0.0,4.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.0,1.0,0.6666666666666666,1.3333333333333333,0.6666666666666666,3.0,2.0,0.6666666666666666,3.6666666666666665,0.6666666666666666,1.6666666666666667,2.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.0,1.3333333333333333,1.0,2.0,0.6666666666666666,3.3333333333333335,0.6666666666666666,1.6666666666666667
10,2.0,1.3333333333333333,1.3333333333333333,2.0,1.3333333333333333,0.0,3.6666666666666665,1.6666666666666667,1.3333333333333333,2.3333333333333335,1.6666666666666667,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.6666666666666667,0.3333333333333333,2.0,2.6666666666666665,1.0,2.6666666666666665,1.3333333333333333,2.3333333333333335,2.3333333333333335,1.3333333333333333,2.0,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,0.0,1.6666666666666667,0.6666666666666666,1.3333333333333333
11,1.3333333333333333,2.6666666666666665,2.3333333333333335,1.3333333333333333,0.6666666666666666,0.3333333333333333,3.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.0,1.6666666666666667,1.6666666666666667,1.3333333333333333,2.0,2.0,1.6666666666666667,0.6666666666666666,2.0,1.0,4.0,1.0,1.3333333333333333,3.6666666666666665,1.6666666666666667,2.6666666666666665,0.3333333333333333,1.0,2.0,1.6666666666666667,1.3333333333333333,1.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,3.3333333333333335
12,1.3333333333333333,1.3333333333333333,2.6666666666666665,1.0,0.6666666666666666,0.6666666666666666,2.3333333333333335,1.3333333333333333,1.6666666666666667,1.0,1.6666666666666667,2.0,1.0,1.6666666666666667,1.6666666666666667,2.0,1.6666666666666667,0.6666666666666666,2.0,0.6666666666666666,4.666666666666667,1.0,1.0,3.3333333333333335,2.3333333333333335,2.6666666666666665,0.3333333333333333,2.3333333333333335,2.0,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.3333333333333333,3.3333333333333335
