,Wolfsburg scored,Wolfsburg received,Ein Frankfurt scored,Ein Frankfurt received,Schalke 04 scored,Schalke 04 received,Dortmund scored,Dortmund received,Hertha scored,Hertha received,M'gladbach scored,M'gladbach received,Bochum scored,Bochum received,Mainz scored,Mainz received,Leverkusen scored,Leverkusen received,Hoffenheim scored,Hoffenheim received,Bayern Munich scored,Bayern Munich received,Hamburg scored,Hamburg received,Freiburg scored,Freiburg received,Werder Bremen scored,Werder Bremen received,Nurnberg scored,Nurnberg received,FC Koln scored,FC Koln received,Hannover scored,Hannover received,Stuttgart scored,Stuttgart received
0,2,0,3,2,2,1,1,0,1,0,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,2,3,1,2,0,1,0,1,0,2
1,3,1,1,1,3,0,1,4,1,2,2,1,0,3,1,1,1,0,0,1,1,1,4,1,2,4,1,1,1,1,1,3,1,1,4,2
2,2,4,0,0,0,0,1,1,0,1,0,3,1,0,2,1,5,0,0,0,1,2,4,2,0,5,3,0,0,2,0,0,2,0,1,1
3,0,3,1,1,0,1,1,1,2,3,2,0,1,2,0,2,2,1,1,0,3,0,3,1,1,0,3,2,0,0,1,3,0,1,0,0
4,2,3,2,0,2,1,1,5,1,2,0,1,0,3,2,1,3,2,3,0,5,1,3,1,0,2,0,0,1,0,1,2,0,0,1,3
5,2,1,1,1,1,2,1,1,0,4,2,4,2,3,3,2,0,0,4,2,2,1,1,1,4,0,0,0,1,2,2,0,1,1,0,2
6,4,2,0,3,1,0,0,1,1,5,0,3,1,0,0,3,1,0,5,1,0,1,1,0,3,0,3,0,0,1,0,1,2,4,3,0
7,1,1,0,2,2,0,1,0,1,3,0,1,1,1,2,1,4,0,1,2,0,0,3,1,2,5,2,0,0,4,0,0,5,2,0,2
8,2,1,2,1,2,1,2,0,0,3,1,2,0,2,0,1,0,0,0,2,2,1,0,0,1,2,2,0,3,0,1,0,1,2,1,2
9,0,0,1,2,3,3,1,1,0,0,0,0,1,4,3,0,1,1,3,0,2,1,3,3,0,3,4,1,0,3,0,0,1,0,0,1
10,3,3,2,1,2,2,2,0,0,2,3,2,1,2,3,3,2,2,1,0,0,0,2,3,0,1,2,2,2,2,0,1,1,0,0,0
11,2,1,0,4,1,1,1,1,0,1,0,0,1,2,1,0,4,0,1,2,1,1,2,2,2,1,1,1,0,1,1,0,2,2,0,0
12,2,3,1,2,2,0,0,0,1,1,2,1,1,0,0,0,1,1,4,0,1,1,0,1,0,6,6,0,3,2,0,4,0,2,1,1
13,2,2,3,1,0,1,2,1,1,3,1,0,0,0,1,1,4,0,1,2,3,0,1,1,1,0,2,2,0,1,0,0,0,3,0,4
14,2,2,2,0,2,0,4,0,0,2,1,2,1,1,0,2,0,0,0,0,2,1,0,0,2,2,0,0,0,4,0,0,0,0,1,1
15,1,3,1,1,2,0,3,1,2,2,5,3,1,5,1,1,2,2,1,1,5,1,4,0,0,0,0,2,0,4,0,0,3,5,1,1
16,2,2,2,2,1,0,1,0,2,5,2,3,3,2,0,1,3,2,1,3,5,2,2,1,0,1,1,2,0,3,3,0,2,3,3,1
17,1,3,1,0,1,0,3,2,3,0,1,2,2,1,2,4,4,2,0,2,2,0,2,0,0,2,0,1,0,1,2,3,0,3,3,1
18,2,3,1,1,2,2,1,0,0,0,0,0,2,2,1,0,3,0,0,3,3,2,0,1,0,1,2,3,1,1,3,2,0,1,1,0
19,1,1,1,2,2,0,1,4,0,0,4,3,0,0,0,3,3,1,0,2,3,0,1,1,1,3,3,4,3,1,2,1,1,3,4,1
20,1,3,3,2,0,0,2,3,1,2,0,1,1,1,1,0,1,1,2,1,3,1,3,3,0,0,2,1,1,2,3,3,1,2,2,1
21,1,2,2,1,2,0,1,3,1,1,2,1,2,1,1,1,2,1,1,2,3,1,3,1,1,2,5,1,1,2,0,2,1,5,1,3
22,2,1,0,0,1,2,4,1,3,0,2,2,0,0,0,0,2,2,2,2,1,1,0,0,0,3,2,2,1,1,1,5,1,4,5,1
23,1,0,1,2,2,1,1,2,0,2,1,1,0,0,1,2,0,0,2,0,1,0,0,1,1,1,2,1,0,0,0,0,0,1,2,1
24,4,1,1,4,4,1,3,0,0,1,0,3,1,4,1,0,2,3,0,1,1,1,1,0,1,2,2,2,3,2,1,1,2,1,2,2
25,4,0,1,2,2,1,4,1,1,2,0,4,1,4,1,0,4,2,0,1,2,1,2,4,1,2,1,0,2,1,0,1,2,1,1,2
26,1,5,2,1,2,2,3,0,5,1,1,1,2,3,0,1,0,3,0,0,1,2,2,2,1,0,3,2,0,0,1,1,0,2,2,0
27,2,0,2,1,2,0,0,0,0,0,1,0,1,2,0,2,0,2,1,1,1,2,0,1,1,1,4,2,2,4,4,1,1,4,2,1
28,4,0,3,2,1,2,2,1,3,0,1,2,1,1,0,2,2,3,0,4,2,1,0,0,1,1,1,2,2,0,0,3,0,0,2,1
29,2,0,0,2,2,4,0,1,0,1,2,0,1,2,1,0,1,1,0,2,1,1,2,1,0,4,4,0,0,2,2,0,4,2,1,0
30,2,4,2,2,3,1,1,1,2,2,1,3,0,2,1,0,1,2,1,1,7,0,0,1,2,1,4,2,1,2,2,0,0,7,2,1
31,0,1,3,3,1,0,3,2,0,1,1,1,0,2,3,3,3,0,5,1,1,1,1,5,1,0,1,0,2,3,0,1,0,3,2,0
