,Wolfsburg scored,Wolfsburg received,Ein Frankfurt scored,Ein Frankfurt received,Schalke 04 scored,Schalke 04 received,Dortmund scored,Dortmund received,Hertha scored,Hertha received,M'gladbach scored,M'gladbach received,Bochum scored,Bochum received,Mainz scored,Mainz received,Leverkusen scored,Leverkusen received,Hoffenheim scored,Hoffenheim received,Bayern Munich scored,Bayern Munich received,Hamburg scored,Hamburg received,Freiburg scored,Freiburg received,Werder Bremen scored,Werder Bremen received,Nurnberg scored,Nurnberg received,FC Koln scored,FC Koln received,Hannover scored,Hannover received,Stuttgart scored,Stuttgart received
10,21,19,13,14,18,11,12,14,7,25,13,20,11,23,18,17,21,8,19,9,17,9,25,14,14,23,22,9,9,17,6,11,14,12,10,15
11,23,20,13,18,19,12,13,15,7,26,13,20,12,25,19,17,25,8,20,11,18,10,27,16,16,24,23,10,9,18,7,11,16,14,10,15
12,25,23,14,20,21,12,13,15,8,27,15,21,13,25,19,17,26,9,24,11,19,11,27,17,16,30,29,10,12,20,7,15,16,16,11,16
13,27,25,17,21,21,13,15,16,9,30,16,21,13,25,20,18,30,9,25,13,22,11,28,18,17,30,31,12,12,21,7,15,16,19,11,20
14,29,27,19,21,23,13,19,16,9,32,17,23,14,26,20,20,30,9,25,13,24,12,28,18,19,32,31,12,12,25,7,15,16,19,12,21
15,30,30,20,22,25,13,22,17,11,34,22,26,15,31,21,21,32,11,26,14,29,13,32,18,19,32,31,14,12,29,7,15,19,24,13,22
16,32,32,22,24,26,13,23,17,13,39,24,29,18,33,21,22,35,13,27,17,34,15,34,19,19,33,32,16,12,32,10,15,21,27,16,23
17,33,35,23,24,27,13,26,19,16,39,25,31,20,34,23,26,39,15,27,19,36,15,36,19,19,35,32,17,12,33,12,18,21,30,19,24
18,35,38,24,25,29,15,27,19,16,39,25,31,22,36,24,26,42,15,27,22,39,17,36,20,19,36,34,20,13,34,15,20,21,31,20,24
19,36,39,25,27,31,15,28,23,16,39,29,34,22,36,24,29,45,16,27,24,42,17,37,21,20,39,37,24,16,35,17,21,22,34,24,25
20,37,42,28,29,31,15,30,26,17,41,29,35,23,37,25,29,46,17,29,25,45,18,40,24,20,39,39,25,17,37,20,24,23,36,26,26
21,38,44,30,30,33,15,31,29,18,42,31,36,25,38,26,30,48,18,30,27,48,19,43,25,21,41,44,26,18,39,20,26,24,41,27,29
22,40,45,30,30,34,17,35,30,21,42,33,38,25,38,26,30,50,20,32,29,49,20,43,25,21,44,46,28,19,40,21,31,25,45,32,30
23,41,45,31,32,36,18,36,32,21,44,34,39,25,38,27,32,50,20,34,29,50,20,43,26,22,45,48,29,19,40,21,31,25,46,34,31
24,45,46,32,36,40,19,39,32,21,45,34,42,26,42,28,32,52,23,34,30,51,21,44,26,23,47,50,31,22,42,22,32,27,47,36,33
25,49,46,33,38,42,20,43,33,22,47,34,46,27,46,29,32,56,25,34,31,53,22,46,30,24,49,51,31,24,43,22,33,29,48,37,35
26,50,51,35,39,44,22,46,33,27,48,35,47,29,49,29,33,56,28,34,31,54,24,48,32,25,49,54,33,24,43,23,34,29,50,39,35
27,52,51,37,40,46,22,46,33,27,48,36,47,30,51,29,35,56,30,35,32,55,26,48,33,26,50,58,35,26,47,27,35,30,54,41,36
28,56,51,40,42,47,24,48,34,30,48,37,49,31,52,29,37,58,33,35,36,57,27,48,33,27,51,59,37,28,47,27,38,30,54,43,37
29,58,51,40,44,49,28,48,35,30,49,39,49,32,54,30,37,59,34,35,38,58,28,50,34,27,55,63,37,28,49,29,38,34,56,44,37
30,60,55,42,46,52,29,49,36,32,51,40,52,32,56,31,37,60,36,36,39,65,28,50,35,29,56,67,39,29,51,31,38,34,63,46,38
31,60,56,45,49,53,29,52,38,32,52,41,53,32,58,34,40,63,36,41,40,66,29,51,40,30,56,68,39,31,54,31,39,34,66,48,38
32,61,57,46,51,53,31,53,39,33,53,42,59,33,61,36,42,64,37,43,41,69,30,55,40,32,58,70,39,31,58,33,41,40,67,50,40
33,64,58,47,54,53,31,54,42,34,56,43,60,33,64,36,42,65,38,44,42,72,31,56,41,35,59,71,40,32,58,33,42,43,67,51,41
