,Lyon scored,Lyon received,Metz scored,Metz received,Bordeaux scored,Bordeaux received,Caen scored,Caen received,Nantes scored,Nantes received,Montpellier scored,Montpellier received,Nice scored,Nice received,Paris SG scored,Paris SG received,Monaco scored,Monaco received,Guingamp scored,Guingamp received,Marseille scored,Marseille received,Toulouse scored,Toulouse received,St Etienne scored,St Etienne received,Lorient scored,Lorient received,Lille scored,Lille received,Angers scored,Angers received,Dijon scored,Dijon received,Rennes scored,Rennes received,Nancy scored,Nancy received,Bastia scored,Bastia received
14,6,0,0,4,1,1,2,4,0,6,0,1,1,0,2,0,1,1,0,1,0,0,1,0,0,0,2,1,4,2,0,2,1,1,1,2,4,0,1,1
15,3,0,0,3,0,1,3,3,0,2,3,0,3,0,0,3,5,0,2,0,3,0,0,3,0,2,2,2,1,0,2,2,3,3,2,0,0,3,0,5
16,1,0,0,2,0,4,0,1,1,0,1,2,2,2,2,2,4,0,0,1,2,1,3,2,1,0,2,3,2,1,0,2,1,2,0,1,2,0,2,0
17,3,1,0,3,0,4,3,0,2,0,4,0,2,1,1,2,1,3,2,1,2,0,1,1,1,2,2,1,0,2,0,2,1,2,1,2,1,1,2,1
18,2,0,2,2,0,0,1,2,1,0,0,1,0,0,5,0,2,1,2,2,2,1,0,2,0,0,0,5,1,1,0,2,2,0,1,1,0,0,1,2
19,2,3,0,0,1,1,3,2,1,0,1,1,0,0,1,0,4,1,1,3,1,4,0,1,1,1,3,1,1,1,1,1,1,1,0,1,1,0,0,1
20,3,1,2,0,1,0,1,0,0,2,0,2,1,1,2,0,4,0,1,1,1,3,0,1,2,1,0,4,0,0,1,2,0,0,1,1,0,1,1,1
21,1,2,1,2,2,0,1,1,1,1,1,5,3,1,1,1,1,1,1,3,5,1,0,3,3,0,2,3,2,1,2,1,3,2,1,1,0,2,1,1
22,0,2,1,0,1,1,1,0,0,2,2,1,0,3,3,1,3,0,0,1,0,1,4,0,2,0,1,0,0,1,0,4,1,3,1,1,2,0,1,2
23,4,0,2,1,4,0,0,4,2,2,1,2,1,0,2,1,2,1,0,2,2,0,1,1,0,1,1,1,1,2,0,0,1,2,0,0,0,4,2,2
24,1,2,0,5,0,3,0,2,3,2,3,0,2,2,3,0,5,0,2,1,2,3,4,1,4,0,0,4,1,2,2,1,2,0,2,2,0,3,1,4
25,4,2,1,1,3,0,0,1,1,1,2,1,1,0,0,0,1,1,0,3,2,0,0,0,1,2,0,1,1,0,1,0,2,4,0,2,0,1,1,1
26,5,0,0,5,3,2,1,0,3,1,1,2,2,1,5,1,2,1,1,2,1,5,0,0,0,1,0,1,2,3,3,0,1,3,1,0,0,0,0,3
27,1,1,1,1,1,1,2,3,0,4,1,1,1,0,1,0,4,0,1,1,4,1,1,1,0,0,1,4,1,1,3,2,0,1,1,1,0,1,0,0
28,4,0,2,2,1,2,2,2,3,2,2,3,2,2,2,1,2,1,5,0,3,0,0,4,2,2,1,2,2,1,0,3,1,1,1,1,1,2,0,5
29,1,2,1,0,5,1,0,3,1,1,1,5,1,1,2,1,3,0,0,3,0,0,0,0,1,0,3,2,0,0,3,0,0,1,0,0,2,3,0,1
30,1,1,2,3,1,2,0,1,2,1,0,1,2,1,3,2,2,0,1,0,1,1,1,0,0,2,1,0,1,0,1,2,1,1,1,1,0,1,0,1
31,1,4,0,3,3,0,0,2,1,1,2,0,2,1,4,0,1,0,0,4,0,0,0,0,1,1,4,1,1,2,0,1,1,2,0,3,3,0,2,1
32,0,0,2,2,1,0,2,2,0,1,2,0,3,1,2,0,2,1,2,1,4,0,1,2,0,4,0,2,0,2,0,2,1,2,2,0,1,3,0,0
33,1,2,1,5,2,0,0,2,2,0,0,2,1,1,2,0,2,1,0,3,0,0,1,1,1,1,5,1,3,0,2,3,3,2,1,1,0,0,0,2
34,2,1,2,1,0,0,1,5,1,0,0,3,3,1,1,3,3,1,0,2,5,1,1,3,2,0,0,1,3,0,1,2,0,0,0,1,1,2,1,0
35,3,2,2,0,2,2,1,0,2,3,0,1,1,2,5,0,3,0,4,0,2,1,0,1,2,2,1,1,0,2,1,1,0,4,1,0,0,3,0,5
36,3,1,1,1,1,1,0,1,4,1,1,3,0,2,5,0,4,0,1,4,1,1,1,1,0,5,0,2,0,4,2,0,2,0,1,0,0,2,2,0
37,3,3,0,1,1,1,1,1,0,3,0,2,3,3,1,1,3,2,1,0,1,0,0,0,1,3,1,1,3,0,2,0,0,0,2,3,3,1,0,1
