,Lyon scored,Lyon received,Metz scored,Metz received,Bordeaux scored,Bordeaux received,Caen scored,Caen received,Nantes scored,Nantes received,Montpellier scored,Montpellier received,Nice scored,Nice received,Paris SG scored,Paris SG received,Monaco scored,Monaco received,Guingamp scored,Guingamp received,Marseille scored,Marseille received,Toulouse scored,Toulouse received,St Etienne scored,St Etienne received,Lorient scored,Lorient received,Lille scored,Lille received,Angers scored,Angers received,Dijon scored,Dijon received,Rennes scored,Rennes received,Nancy scored,Nancy received,Bastia scored,Bastia received
0,3.0,0.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,3.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0
1,2.5,0.0,1.5,2.5,2.0,3.0,1.5,2.0,0.5,0.5,1.0,1.5,1.0,0.0,2.0,0.0,1.5,1.0,2.0,1.5,0.5,1.0,2.0,0.5,2.5,2.0,1.0,3.0,1.5,1.5,0.0,1.0,0.0,1.0,1.0,0.5,0.0,2.5,1.5,0.5
2,2.3333333333333335,1.3333333333333333,1.6666666666666667,1.6666666666666667,1.6666666666666667,2.0,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,1.0,0.3333333333333333,1.6666666666666667,1.0,2.0,1.0,2.0,1.0,1.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.6666666666666667,1.3333333333333333,0.6666666666666666,2.6666666666666665,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,0.0,2.3333333333333335,1.0,1.0
3,1.6666666666666667,2.3333333333333335,1.6666666666666667,1.0,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.3333333333333333,0.0,1.6666666666666667,1.0,1.6666666666666667,1.6666666666666667,1.0,1.6666666666666667,1.3333333333333333,2.6666666666666665,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,0.0,2.3333333333333335,1.0,1.6666666666666667,1.0,1.3333333333333333,1.6666666666666667,2.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.6666666666666667,1.0
4,1.0,2.3333333333333335,1.6666666666666667,0.0,1.3333333333333333,0.6666666666666666,0.6666666666666666,2.6666666666666665,0.3333333333333333,1.6666666666666667,1.0,1.0,1.6666666666666667,1.3333333333333333,2.6666666666666665,1.3333333333333333,3.3333333333333335,0.6666666666666666,1.3333333333333333,1.0,1.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,1.0,1.6666666666666667,1.6666666666666667,1.0,1.3333333333333333,1.0,1.0,0.6666666666666666,1.3333333333333333
5,2.0,1.3333333333333333,1.0,1.0,2.0,0.6666666666666666,0.3333333333333333,3.3333333333333335,0.3333333333333333,1.3333333333333333,1.0,2.3333333333333335,2.6666666666666665,1.0,3.3333333333333335,0.3333333333333333,2.3333333333333335,1.6666666666666667,1.0,1.0,1.3333333333333333,2.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,2.3333333333333335,2.0,0.6666666666666666,0.3333333333333333,2.0,1.6666666666666667,1.6666666666666667,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666
6,1.6666666666666667,0.6666666666666666,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,0.6666666666666666,1.0,0.6666666666666666,2.3333333333333335,2.0,0.3333333333333333,3.0,0.6666666666666666,1.6666666666666667,1.6666666666666667,0.6666666666666666,1.0,1.3333333333333333,1.3333333333333333,2.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,2.0,1.3333333333333333,1.0,1.0,1.0,1.0,2.6666666666666665,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333
7,2.3333333333333335,0.6666666666666666,0.3333333333333333,3.3333333333333335,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,3.0,2.3333333333333335,0.3333333333333333,1.6666666666666667,0.6666666666666666,3.0,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,2.0,2.0,1.3333333333333333,1.6666666666666667,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333
8,0.6666666666666666,1.0,0.3333333333333333,2.6666666666666665,0.3333333333333333,1.0,1.0,1.0,1.3333333333333333,1.0,2.0,2.0,1.6666666666666667,0.3333333333333333,1.3333333333333333,1.0,3.3333333333333335,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,1.3333333333333333,2.3333333333333335,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.6666666666666666,1.0
9,1.0,1.6666666666666667,0.6666666666666666,4.0,0.6666666666666666,1.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,1.0,2.6666666666666665,3.6666666666666665,2.6666666666666665,1.0,1.3333333333333333,0.3333333333333333,4.666666666666667,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.6666666666666667,1.0,0.6666666666666666,1.0,0.6666666666666666,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.6666666666666666,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.6666666666666667
