,Newcastle scored,Newcastle received,Man City scored,Man City received,Chelsea scored,Chelsea received,Arsenal scored,Arsenal received,Blackburn scored,Blackburn received,Everton scored,Everton received,Liverpool scored,Liverpool received,Sunderland scored,Sunderland received,Derby scored,Derby received,Portsmouth scored,Portsmouth received,Man United scored,Man United received,Reading scored,Reading received,Birmingham scored,Birmingham received,Aston Villa scored,Aston Villa received,Fulham scored,Fulham received,Middlesbrough scored,Middlesbrough received,Wigan scored,Wigan received,Tottenham scored,Tottenham received,Bolton scored,Bolton received,West Ham scored,West Ham received
24,28,43,32,28,38,17,52,18,32,31,40,23,44,17,24,45,13,52,35,26,49,12,30,52,24,37,44,33,25,43,22,38,24,40,45,41,26,34,29,26
25,29,47,34,29,38,17,54,18,32,33,41,23,44,17,26,45,13,55,36,26,50,14,30,53,25,38,48,34,25,44,23,38,24,42,48,41,26,35,30,27
26,30,52,34,31,42,21,56,20,36,34,43,23,47,19,26,46,13,57,37,26,55,15,31,55,27,40,50,35,25,45,25,41,26,42,52,45,27,39,31,27
27,30,53,34,31,46,21,57,21,37,34,46,24,50,20,26,46,13,57,38,29,58,15,32,55,31,41,51,36,25,48,25,42,26,42,53,49,28,42,31,31
28,30,56,34,33,52,22,57,21,38,35,47,24,53,20,26,47,14,63,42,31,60,15,34,55,33,45,52,37,26,49,26,43,26,42,57,49,28,44,31,35
29,31,57,36,34,53,22,58,22,39,37,47,25,55,21,26,48,14,64,44,31,61,15,35,57,34,46,52,39,27,49,27,44,27,42,58,51,28,45,33,36
30,33,57,36,34,55,23,59,24,42,38,48,26,55,24,27,48,14,65,44,33,64,15,37,58,35,48,52,40,27,51,28,44,28,45,60,51,28,45,34,37
31,37,58,37,37,56,23,62,26,42,38,48,27,56,24,29,49,16,67,46,33,68,15,37,58,38,49,52,44,29,53,28,45,28,47,61,55,30,48,35,39
32,40,58,37,39,58,23,63,27,43,39,49,27,57,25,32,50,16,68,47,33,70,17,37,61,38,51,56,44,30,56,30,47,30,47,62,56,30,52,35,40
33,40,58,39,40,59,24,64,29,44,42,50,28,60,26,33,52,16,74,47,33,72,18,37,63,39,52,62,44,32,56,31,48,31,48,63,57,31,52,35,41
34,42,58,42,41,60,24,66,29,45,43,50,29,62,26,33,54,17,76,48,36,73,19,37,65,40,57,67,45,32,58,31,49,32,49,64,58,32,52,37,42
35,44,60,44,44,62,25,72,31,46,43,52,31,64,28,36,56,19,82,48,37,74,21,37,65,42,59,69,47,35,60,33,52,32,49,65,59,33,53,39,44
36,44,62,44,45,64,25,73,31,49,44,52,32,65,28,36,58,20,85,48,39,78,22,37,66,42,61,69,49,37,60,35,52,34,49,66,59,35,53,40,48
37,45,65,45,53,65,26,74,31,50,48,55,33,67,28,36,59,20,89,48,40,80,22,41,66,46,62,71,51,38,60,43,53,34,51,66,61,36,54,42,50
