,Newcastle scored,Newcastle received,Man City scored,Man City received,Chelsea scored,Chelsea received,Arsenal scored,Arsenal received,Blackburn scored,Blackburn received,Everton scored,Everton received,Liverpool scored,Liverpool received,Sunderland scored,Sunderland received,Derby scored,Derby received,Portsmouth scored,Portsmouth received,Man United scored,Man United received,Reading scored,Reading received,Birmingham scored,Birmingham received,Aston Villa scored,Aston Villa received,Fulham scored,Fulham received,Middlesbrough scored,Middlesbrough received,Wigan scored,Wigan received,Tottenham scored,Tottenham received,Bolton scored,Bolton received,West Ham scored,West Ham received
0,3,1,2,0,3,2,2,1,2,1,2,1,2,1,1,0,2,2,2,2,0,0,0,0,2,3,1,2,1,2,1,2,1,2,0,1,1,3,0,2
1,1,1,1,0,2,1,1,1,0,4,3,1,4,0,2,2,0,1,1,1,1,1,1,2,2,2,4,0,2,1,0,1,1,0,1,3,1,2,0,4
2,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,3,0,4,3,1,0,1,1,0,0,1,0,0,1,2,2,1,3,0,4,0,1,3,1,0
3,2,2,0,1,1,0,1,0,1,1,1,1,2,0,0,2,1,2,0,1,1,0,0,3,2,1,2,1,1,2,2,2,1,1,0,1,3,0,1,1
4,1,0,0,1,0,2,3,1,1,0,2,1,6,0,0,1,0,6,1,3,1,0,0,3,0,2,2,0,3,3,2,0,0,1,3,3,1,2,3,0
5,0,1,1,0,0,0,3,1,0,0,0,1,0,0,2,1,1,0,0,0,1,0,1,2,1,0,0,1,1,1,0,3,1,1,1,3,0,1,3,0
6,3,1,3,3,0,2,5,0,0,1,0,2,0,0,2,2,0,5,1,0,2,0,2,1,0,0,2,0,3,3,2,2,1,2,1,1,1,1,1,3
7,1,3,3,1,0,0,1,0,2,1,2,0,1,0,1,2,1,1,7,4,1,0,4,7,0,1,4,4,0,0,0,2,0,1,4,4,1,1,0,1
8,3,2,3,1,1,0,3,2,2,1,2,3,2,2,2,3,0,1,2,0,4,0,1,0,1,2,1,0,0,2,1,3,0,4,2,2,0,1,0,1
9,3,1,1,0,2,0,2,0,4,2,1,2,2,1,1,3,0,0,2,0,4,1,2,4,0,1,1,4,0,0,0,2,0,2,1,3,0,2,3,1
10,1,2,0,6,6,0,1,1,2,1,2,0,1,1,1,1,0,2,0,0,4,1,2,1,3,2,1,1,1,1,1,4,2,3,1,2,1,1,0,0
11,1,4,1,0,2,0,2,2,0,0,3,1,0,0,0,1,0,2,4,1,2,2,1,3,1,3,2,0,3,1,1,1,0,2,1,1,1,1,1,1
12,1,1,0,0,1,1,3,1,0,2,1,1,2,0,1,1,0,5,0,0,2,0,1,3,1,2,2,1,0,2,0,0,0,4,4,0,0,0,5,0
13,0,3,2,1,2,0,2,0,2,2,7,1,3,0,1,7,0,2,2,0,0,1,1,2,0,2,3,0,2,2,0,3,0,2,1,1,1,0,1,1
14,1,3,1,1,1,0,2,1,3,1,0,0,4,0,1,0,0,1,0,0,2,0,1,1,3,2,1,2,0,2,1,1,1,1,2,3,0,4,0,1
15,2,1,1,2,2,0,1,2,0,1,3,0,1,3,0,2,1,4,3,1,4,1,3,1,1,2,1,3,0,3,2,1,1,4,2,1,4,1,1,0
16,1,0,4,2,0,1,1,0,3,5,2,0,0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,5,3,1,0,2,4,0,2
17,2,2,1,1,1,0,2,1,0,1,1,2,4,1,1,2,2,2,1,4,2,1,2,1,0,3,1,1,1,1,1,2,1,1,1,2,3,0,2,1
18,0,1,2,2,4,4,0,0,2,2,2,0,2,1,0,4,1,2,0,0,4,0,1,1,3,0,4,4,1,5,0,3,1,0,5,1,0,2,1,1
19,1,2,0,0,2,1,4,1,2,1,1,4,0,0,3,1,1,2,0,1,1,2,4,6,1,1,2,1,1,1,1,0,1,2,6,4,1,3,2,1
20,0,2,2,0,2,1,2,0,1,0,2,0,1,1,0,1,0,1,2,0,1,0,0,2,0,1,2,1,1,2,0,2,1,1,1,2,1,0,0,2
21,0,6,0,1,2,0,1,1,2,1,1,0,1,1,2,0,0,1,0,2,6,0,1,3,1,1,3,1,1,2,1,1,1,0,0,2,1,2,2,1
22,0,0,1,1,1,0,3,0,1,1,2,1,2,2,0,2,1,3,3,1,2,0,0,2,0,1,2,2,0,3,1,1,1,2,2,0,0,0,1,1
23,0,3,1,1,1,0,3,0,1,1,0,0,0,1,2,0,1,1,0,2,2,0,0,1,0,2,1,1,0,0,1,0,0,1,0,0,0,0,1,0
24,1,1,1,3,1,1,3,1,0,0,0,0,3,0,0,3,1,1,1,1,1,1,0,2,1,1,1,2,2,1,1,1,1,0,1,1,2,0,0,1
25,1,4,2,1,0,0,2,0,0,2,1,0,0,0,2,0,0,3,1,0,1,2,0,1,1,1,4,1,0,1,1,0,0,2,3,0,0,1,1,1
26,1,5,0,2,4,4,2,2,4,1,2,0,3,2,0,1,0,2,1,0,5,1,1,2,2,2,2,1,0,1,2,3,2,0,4,4,1,4,1,0
27,0,1,0,0,4,0,1,1,1,0,3,1,3,1,0,0,0,0,1,3,3,0,1,0,4,1,1,1,0,3,0,1,0,0,1,4,1,3,0,4
28,0,3,0,2,6,1,0,0,1,1,1,0,3,0,0,1,1,6,4,2,2,0,2,0,2,4,1,1,1,1,1,1,0,0,4,0,0,2,0,4
29,1,1,2,1,1,0,1,1,1,2,0,1,2,1,0,1,0,1,2,0,1,0,1,2,1,1,0,2,1,0,1,1,1,0,1,2,0,1,2,1
30,2,0,0,0,2,1,1,2,3,1,1,1,0,3,1,0,0,1,0,2,3,0,2,1,1,2,0,1,0,2,1,0,1,3,2,0,0,0,1,1
31,4,1,1,3,1,0,3,2,0,0,0,1,1,0,2,1,2,2,2,0,4,0,0,0,3,1,0,4,2,2,0,1,0,2,1,4,2,3,1,2
32,3,0,0,2,2,0,1,1,1,1,1,0,1,1,3,1,0,1,1,0,2,2,0,3,0,2,4,0,1,3,2,2,2,0,1,1,0,4,0,1
33,0,0,2,1,1,1,1,2,1,3,1,1,3,1,1,2,0,6,0,0,2,1,0,2,1,1,6,0,2,0,1,1,1,1,1,1,1,0,0,1
34,2,0,3,1,1,0,2,0,1,1,0,1,2,0,0,2,1,2,1,3,1,1,0,2,1,5,5,1,0,2,0,1,1,1,1,1,1,0,2,1
35,2,2,2,3,2,1,6,2,1,0,2,2,2,2,3,2,2,6,0,1,1,2,0,0,2,2,2,2,3,2,2,3,0,0,1,1,1,1,2,2
36,0,2,0,1,2,0,1,0,3,1,0,1,1,0,0,2,1,3,0,2,4,1,0,1,0,2,0,2,2,0,2,0,2,0,1,0,2,0,1,4
37,1,3,1,8,1,1,1,0,1,4,3,1,2,0,0,1,0,4,0,1,2,0,4,0,4,1,2,2,1,0,8,1,0,2,0,2,1,1,2,2
