,Bayern Munich scored,Bayern Munich received,Fortuna Dusseldorf scored,Fortuna Dusseldorf received,M'gladbach scored,M'gladbach received,Dortmund scored,Dortmund received,Ein Frankfurt scored,Ein Frankfurt received,Nurnberg scored,Nurnberg received,Wolfsburg scored,Wolfsburg received,Schalke 04 scored,Schalke 04 received,Hannover scored,Hannover received,Mainz scored,Mainz received,Freiburg scored,Freiburg received,Hoffenheim scored,Hoffenheim received,Leverkusen scored,Leverkusen received,Werder Bremen scored,Werder Bremen received,Hamburg scored,Hamburg received,Stuttgart scored,Stuttgart received,Augsburg scored,Augsburg received,Greuther Furth scored,Greuther Furth received
0,3,0,2,0,2,1,2,1,2,1,1,0,1,0,2,2,2,2,1,1,1,1,1,2,1,2,1,2,0,1,0,1,0,2,0,3
1,6,1,0,0,0,0,1,1,4,0,1,1,0,4,3,1,4,0,0,1,0,2,0,4,2,0,2,0,0,2,1,6,1,3,1,0
2,3,1,0,0,2,3,3,0,3,2,3,2,0,0,2,0,3,2,1,3,5,3,3,5,0,3,2,3,2,3,0,0,0,0,0,2
3,2,0,0,0,1,1,2,3,2,1,1,2,1,1,0,2,1,3,2,0,0,0,3,1,1,1,2,2,3,2,2,2,0,2,1,1
4,3,0,2,0,2,2,3,3,3,3,1,4,0,3,3,0,4,1,0,3,1,2,3,0,3,1,2,1,2,2,0,3,1,3,0,2
5,2,0,2,2,0,5,5,0,2,1,0,2,0,2,2,2,0,1,2,0,1,2,0,0,2,0,0,2,1,0,2,0,0,0,0,2
6,2,0,0,1,2,0,1,1,0,2,0,3,0,3,3,0,1,1,1,0,3,0,0,2,2,2,1,3,1,0,2,2,3,1,0,1
7,5,0,0,5,0,4,1,2,3,1,0,0,0,2,2,1,1,3,2,2,2,0,3,3,2,2,4,0,0,1,1,0,0,0,3,3
8,1,2,1,4,3,2,2,0,1,2,0,1,4,1,1,0,2,3,3,0,0,2,0,3,2,1,1,1,2,0,2,1,0,2,1,1
9,3,0,2,3,1,1,0,0,1,1,1,0,0,1,2,3,2,0,1,2,1,1,3,2,3,2,2,1,0,3,0,0,0,2,1,1
10,2,0,1,1,4,2,3,1,0,2,1,2,3,1,2,1,4,2,2,1,0,0,1,1,1,3,1,2,0,0,2,4,1,3,2,4
11,1,1,1,2,1,2,3,1,4,2,1,1,3,1,0,2,1,2,0,1,2,1,1,3,2,0,2,1,1,0,2,1,2,4,1,3
12,5,0,2,0,1,1,2,1,1,1,0,0,1,1,1,1,0,5,1,2,3,0,1,2,2,1,1,1,0,2,0,3,1,1,0,0
13,2,0,1,1,2,0,1,1,1,3,4,2,0,2,1,3,2,0,3,1,0,2,2,4,4,1,1,4,3,1,2,1,1,2,0,2
14,1,1,4,0,1,1,1,1,0,4,0,1,1,1,1,1,1,2,2,1,1,1,1,4,1,0,4,1,1,1,1,0,1,1,0,1
15,2,0,0,2,2,0,2,3,4,1,2,0,3,2,1,3,3,2,0,2,1,0,0,2,2,3,1,4,2,0,3,1,0,2,0,1
16,1,1,2,1,1,1,3,1,2,0,1,1,0,2,1,3,1,2,3,1,3,1,1,3,3,0,1,1,0,3,1,3,1,1,1,1
17,2,0,2,3,0,0,5,0,1,3,1,1,2,0,5,4,4,5,0,0,0,0,0,0,3,1,0,5,1,1,0,2,3,2,0,2
18,2,0,1,2,2,1,3,0,2,1,0,3,1,2,0,0,2,1,3,0,0,0,1,2,0,0,2,3,3,2,0,2,0,0,0,3
19,3,0,3,1,1,2,3,2,2,0,2,1,1,1,1,2,0,2,0,3,1,2,2,1,2,3,2,0,0,2,1,3,1,1,2,1
20,4,0,0,1,3,3,1,4,0,0,0,0,1,0,0,4,1,0,1,1,1,0,0,1,3,3,4,1,4,1,1,4,1,1,0,1
21,2,0,1,0,0,1,3,0,0,3,2,2,0,2,2,2,2,2,2,2,3,2,0,1,2,1,2,3,1,0,1,0,1,2,0,1
22,6,1,1,2,1,1,1,1,0,0,1,1,1,1,2,1,5,1,1,1,0,0,1,2,0,0,1,6,1,5,1,1,2,1,0,0
23,1,0,1,1,1,0,3,1,0,1,1,1,1,4,4,1,1,3,1,1,1,1,0,1,2,1,0,1,1,1,1,2,1,0,1,1
24,3,2,2,3,1,1,1,2,0,0,2,1,5,2,2,1,0,0,1,0,2,5,3,0,0,1,1,1,1,0,0,1,1,2,0,3
25,2,1,1,1,1,0,5,1,1,2,3,0,1,1,0,3,0,1,0,0,1,5,0,0,1,2,2,2,0,1,2,1,1,0,2,2
