,Bayern Munich scored,Bayern Munich received,Fortuna Dusseldorf scored,Fortuna Dusseldorf received,M'gladbach scored,M'gladbach received,Dortmund scored,Dortmund received,Ein Frankfurt scored,Ein Frankfurt received,Nurnberg scored,Nurnberg received,Wolfsburg scored,Wolfsburg received,Schalke 04 scored,Schalke 04 received,Hannover scored,Hannover received,Mainz scored,Mainz received,Freiburg scored,Freiburg received,Hoffenheim scored,Hoffenheim received,Leverkusen scored,Leverkusen received,Werder Bremen scored,Werder Bremen received,Hamburg scored,Hamburg received,Stuttgart scored,Stuttgart received,Augsburg scored,Augsburg received,Greuther Furth scored,Greuther Furth received
18,48,7,23,27,27,27,43,20,36,31,18,26,20,29,32,29,38,37,27,21,24,18,24,43,36,23,30,37,22,24,21,32,15,31,11,33
19,51,7,26,28,28,29,46,22,38,31,20,27,21,30,33,31,38,39,27,24,25,20,26,44,38,26,32,37,22,26,22,35,16,32,13,34
20,55,7,26,29,31,32,47,26,38,31,20,27,22,30,33,35,39,39,28,25,26,20,26,45,41,29,36,38,26,27,23,39,17,33,13,35
21,57,7,27,29,31,33,50,26,38,34,22,29,22,32,35,37,41,41,30,27,29,22,26,46,43,30,38,41,27,27,24,39,18,35,13,36
22,63,8,28,31,32,34,51,27,38,34,23,30,23,33,37,38,46,42,31,28,29,22,27,48,43,30,39,47,28,32,25,40,20,36,13,36
23,64,8,29,32,33,34,54,28,38,35,24,31,24,37,41,39,47,45,32,29,30,23,27,49,45,31,39,48,29,33,26,42,21,36,14,37
24,67,10,31,35,34,35,55,30,38,35,26,32,29,39,43,40,47,45,33,29,32,28,30,49,45,32,40,49,30,33,26,43,22,38,14,40
25,69,11,32,36,35,35,60,31,39,37,29,32,30,40,43,43,47,46,33,29,33,33,30,49,46,34,42,51,30,34,28,44,23,38,16,42
26,78,13,33,40,35,37,62,32,42,39,31,34,32,42,46,43,49,46,34,30,35,33,30,52,50,35,43,52,32,43,29,46,23,40,18,45
27,79,13,33,43,36,37,66,34,42,40,33,35,33,43,48,43,49,46,35,32,36,33,33,52,51,36,43,54,32,44,29,46,25,44,18,46
28,83,13,35,45,36,39,72,35,42,42,33,39,35,45,50,45,50,49,36,34,39,34,35,54,53,38,45,56,34,45,31,46,27,44,19,52
29,89,14,36,47,37,39,74,35,43,42,33,40,38,45,50,46,51,55,36,36,40,36,35,59,58,38,45,59,36,46,33,47,27,45,20,52
30,90,14,37,49,38,42,76,36,43,42,34,42,41,46,54,47,54,57,36,36,40,37,37,60,59,38,45,60,37,50,33,50,30,45,22,55
31,91,15,38,52,38,43,77,37,46,43,34,44,42,47,55,47,56,59,38,38,42,37,39,62,61,38,47,62,38,51,33,52,30,47,24,55
32,94,15,39,54,42,45,80,40,47,44,36,45,45,50,56,49,57,62,40,42,44,38,40,66,64,39,48,63,42,52,35,53,30,50,25,57
33,98,18,39,57,45,49,81,42,49,46,39,47,47,52,58,50,60,62,42,44,45,40,42,67,65,39,50,66,42,53,37,55,33,51,26,60
