,Feyenoord scored,Feyenoord received,Vitesse scored,Vitesse received,Den Haag scored,Den Haag received,Ajax scored,Ajax received,PSV Eindhoven scored,PSV Eindhoven received,Excelsior scored,Excelsior received,AZ Alkmaar scored,AZ Alkmaar received,Heerenveen scored,Heerenveen received,Heracles scored,Heracles received,Nijmegen scored,Nijmegen received,Zwolle scored,Zwolle received,Roda scored,Roda received,Twente scored,Twente received,Utrecht scored,Utrecht received,Sparta Rotterdam scored,Sparta Rotterdam received,Willem II scored,Willem II received,Go Ahead Eagles scored,Go Ahead Eagles received,Groningen scored,Groningen received
0,5,0,4,1,3,0,3,1,2,1,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,1,2,1,3,1,4,0,3,0,5
1,2,0,1,2,2,1,2,2,1,0,2,0,0,1,2,2,3,1,2,2,0,3,2,2,0,2,2,2,3,0,1,3,2,2,0,2
2,1,0,1,0,2,1,1,2,4,0,1,2,2,1,1,2,0,1,2,1,0,4,0,1,4,3,1,2,1,0,2,1,0,1,3,4
3,4,1,1,1,1,1,3,0,0,0,1,4,2,0,1,0,1,1,0,2,0,1,0,0,3,1,1,1,1,3,0,0,0,3,0,0
4,3,1,0,1,1,3,1,0,4,0,3,1,2,0,3,1,1,3,0,4,1,1,0,2,1,3,1,1,1,1,0,2,2,0,1,1
5,1,0,2,0,1,4,2,0,0,1,1,1,2,0,3,0,0,2,0,2,0,2,0,3,4,1,1,5,2,0,1,1,0,2,5,1
6,5,0,1,2,0,3,5,1,3,1,1,3,2,2,3,0,0,0,0,0,1,5,0,5,2,1,2,0,0,2,0,0,2,2,0,0
7,2,0,2,1,1,2,3,2,1,1,0,3,1,1,1,1,1,1,1,0,2,1,0,1,1,1,2,3,1,1,0,2,3,0,1,2
8,2,1,2,2,0,2,2,0,1,1,0,1,2,2,3,0,1,1,1,2,2,2,1,0,2,2,3,0,2,2,2,2,0,3,0,3
9,1,1,1,1,1,1,1,1,1,0,0,2,0,2,3,1,1,3,1,1,2,0,1,1,2,0,1,0,0,1,0,1,0,2,2,0
10,2,2,0,2,0,1,1,0,2,0,0,1,1,0,2,2,2,2,1,1,3,1,0,0,0,0,1,1,2,2,2,1,1,3,1,2
