,Feyenoord scored,Feyenoord received,Vitesse scored,Vitesse received,Den Haag scored,Den Haag received,Ajax scored,Ajax received,PSV Eindhoven scored,PSV Eindhoven received,Excelsior scored,Excelsior received,AZ Alkmaar scored,AZ Alkmaar received,Heerenveen scored,Heerenveen received,Heracles scored,Heracles received,Nijmegen scored,Nijmegen received,Zwolle scored,Zwolle received,Roda scored,Roda received,Twente scored,Twente received,Utrecht scored,Utrecht received,Sparta Rotterdam scored,Sparta Rotterdam received,Willem II scored,Willem II received,Go Ahead Eagles scored,Go Ahead Eagles received,Groningen scored,Groningen received
10,28,6,15,13,12,19,24,9,19,5,11,19,16,11,24,11,11,16,9,16,12,21,5,16,20,16,16,17,14,15,9,17,10,21,13,20
11,28,7,16,15,13,19,26,11,20,6,12,21,18,13,25,14,13,17,10,17,12,21,5,16,21,17,18,18,17,16,9,18,11,21,14,21
12,31,7,17,16,14,21,31,11,20,6,15,23,19,14,26,15,15,18,10,22,12,24,6,17,22,18,19,19,19,19,9,18,12,23,16,22
13,34,10,19,18,15,24,32,11,23,7,17,25,24,15,26,16,16,23,13,24,12,28,8,19,24,21,22,22,21,21,10,18,12,24,20,22
14,40,11,22,19,15,26,34,11,23,7,20,28,27,18,29,17,18,23,13,26,13,31,8,19,24,21,24,22,22,27,10,18,13,27,20,24
15,44,11,23,19,15,29,34,12,24,7,21,30,27,22,31,18,18,25,16,26,13,31,8,21,25,21,26,22,22,28,10,18,13,28,22,24
16,47,12,24,22,16,29,35,13,25,8,23,32,29,23,32,20,21,25,18,28,13,34,8,21,26,23,26,22,22,29,12,19,14,29,23,25
17,49,12,27,23,16,31,38,14,27,8,23,34,32,24,34,20,22,29,19,28,14,37,8,23,27,26,28,23,23,31,12,20,15,32,27,26
18,50,12,28,24,17,33,39,14,31,11,24,35,33,25,37,24,22,30,21,28,16,38,8,25,28,26,28,24,24,32,12,21,16,33,28,27
19,54,12,30,25,17,36,42,14,33,12,24,39,34,27,37,24,23,32,21,32,17,40,12,25,30,27,29,24,26,35,15,23,16,34,28,27
20,56,12,32,25,17,38,44,14,37,14,25,40,36,31,37,25,26,33,22,34,20,42,12,27,30,29,30,24,28,38,16,26,18,35,29,28
21,58,12,32,27,18,41,46,14,40,14,26,41,38,32,38,27,28,35,22,36,22,42,14,29,31,30,30,27,28,40,18,26,21,36,29,30
22,59,12,32,28,18,42,47,14,43,15,26,45,39,33,38,28,32,35,23,39,23,45,15,29,32,30,33,28,30,42,19,27,21,37,31,32
23,61,13,35,29,19,43,51,15,44,17,26,47,40,34,41,28,33,39,23,40,24,46,15,32,33,31,36,30,31,42,21,27,22,40,33,35
24,61,14,36,32,20,44,52,16,48,17,27,48,41,35,43,30,34,42,26,41,27,47,15,36,35,32,37,31,32,42,22,29,24,42,34,36
25,66,16,41,32,21,44,55,16,51,18,31,49,43,40,44,34,36,43,26,42,27,49,18,37,35,35,38,33,32,47,24,29,25,45,35,39
26,68,17,41,33,21,48,56,17,52,18,32,50,47,40,45,36,37,46,26,45,30,50,18,40,38,35,41,33,35,48,25,30,26,48,36,40
27,69,19,43,34,25,49,58,18,54,18,33,51,47,40,46,40,41,47,27,47,31,51,19,44,39,37,43,33,35,50,25,32,28,49,36,40
28,77,19,44,34,27,50,62,19,56,20,34,54,48,44,49,40,41,48,27,49,32,53,21,45,41,39,46,34,35,53,26,34,28,57,38,40
29,79,21,48,36,31,53,67,20,61,20,37,56,49,45,51,44,45,49,28,54,34,55,22,46,41,42,49,34,37,56,26,39,29,61,41,44
30,81,21,48,37,32,54,72,21,62,21,38,56,51,46,52,49,46,51,28,57,35,60,25,47,44,42,49,36,38,59,28,39,29,63,46,45
31,83,21,48,39,33,54,72,22,63,21,39,56,53,47,53,49,48,52,28,58,36,62,25,48,45,44,50,36,38,60,28,40,31,66,49,47
32,83,24,48,40,33,58,76,22,64,22,42,56,54,49,54,51,52,52,30,59,38,63,26,48,45,45,51,36,39,60,28,41,31,70,50,48
33,86,25,51,40,37,59,79,23,68,23,43,60,56,52,54,53,53,55,32,59,39,67,26,51,48,50,54,38,42,61,29,44,32,73,55,51
