,Caen scored,Caen received,St Etienne scored,St Etienne received,Lyon scored,Lyon received,Nice scored,Nice received,Lorient scored,Lorient received,Nantes scored,Nantes received,Bordeaux scored,Bordeaux received,Marseille scored,Marseille received,Bastia scored,Bastia received,Paris SG scored,Paris SG received,Reims scored,Reims received,Metz scored,Metz received,Lille scored,Lille received,Toulouse scored,Toulouse received,Monaco scored,Monaco received,Montpellier scored,Montpellier received,Lens scored,Lens received,Guingamp scored,Guingamp received,Rennes scored,Rennes received,Evian Thonon Gaillard scored,Evian Thonon Gaillard received
0,3,0,2,0,2,0,3,2,2,1,1,0,1,0,3,3,3,3,2,2,2,2,0,0,0,0,2,3,1,2,0,1,0,1,0,2,0,2,0,3
1,0,1,3,1,1,2,0,0,0,0,1,1,4,1,0,2,0,2,2,0,1,3,1,1,1,0,2,1,1,4,2,0,0,1,1,0,6,2,2,6
2,2,0,0,0,0,1,1,3,0,2,0,1,3,1,1,0,1,0,0,0,0,2,0,2,2,0,0,1,1,0,2,0,1,0,0,1,0,0,0,0
3,0,1,0,5,1,2,0,4,4,0,1,0,1,1,4,0,1,1,5,0,2,4,2,1,1,1,1,0,1,1,0,1,4,2,0,4,1,0,0,1
4,0,1,1,0,2,1,1,0,0,1,0,2,1,2,3,1,1,1,1,1,2,0,0,1,2,0,0,2,1,2,1,0,1,1,2,1,1,1,1,3
5,3,3,1,0,1,1,1,2,0,1,2,1,2,1,3,0,1,3,1,1,1,0,3,1,0,0,3,3,1,0,0,0,0,1,0,1,0,3,1,2
6,0,2,1,1,4,0,1,0,0,4,0,0,1,1,5,0,0,0,2,0,0,5,1,0,0,1,3,0,1,0,0,1,1,2,0,1,0,3,2,1
7,0,0,1,2,1,1,1,0,0,2,1,1,2,1,2,1,0,1,1,1,0,3,3,0,1,0,1,1,0,1,2,1,0,0,1,2,1,2,2,0
8,1,2,0,1,3,0,1,1,2,0,1,0,0,1,2,1,0,2,1,1,1,0,0,3,0,3,1,0,1,1,1,1,0,2,0,1,2,0,3,0
9,1,1,1,0,5,1,0,1,0,1,1,1,1,1,2,0,1,0,3,1,1,1,0,0,1,2,0,2,2,0,1,5,1,3,2,1,0,0,0,2
10,2,1,1,0,1,0,7,2,1,2,2,0,0,3,0,1,1,3,3,0,1,0,0,1,0,2,0,2,3,1,0,1,2,0,2,7,2,0,0,2
11,2,3,1,1,3,1,1,3,1,2,1,1,2,1,2,1,0,1,2,1,1,1,3,2,1,1,1,2,1,1,2,0,1,2,1,0,1,1,0,2
12,1,2,1,1,3,1,0,1,0,1,2,1,2,1,0,2,2,0,2,0,2,0,0,3,0,2,3,0,1,1,0,2,1,2,1,3,1,0,1,0
13,2,2,0,0,0,0,0,0,1,0,0,0,1,3,3,1,0,0,3,2,0,0,2,3,1,0,0,2,2,2,2,0,0,1,0,1,1,0,0,1
14,1,1,3,0,0,3,0,1,3,2,0,2,1,0,2,0,1,2,1,0,2,1,0,2,0,1,2,3,0,2,1,1,2,0,0,2,2,0,2,0
15,1,5,2,0,2,1,1,2,1,1,1,2,0,0,1,1,1,2,1,1,1,2,0,0,1,1,2,1,2,0,0,2,0,2,5,1,2,1,2,1
16,2,3,1,0,3,2,3,2,2,3,1,2,3,2,3,1,0,1,2,1,2,3,1,3,1,1,0,2,2,0,4,0,1,1,3,2,0,4,2,3
17,0,3,0,0,3,0,0,0,3,1,2,1,1,2,0,1,2,0,0,1,3,2,1,3,3,0,0,3,1,0,3,3,3,3,1,0,0,2,2,3
18,1,1,3,0,5,0,0,2,1,2,2,1,0,5,2,1,1,1,0,0,3,1,0,1,1,2,1,1,1,0,0,0,2,0,1,1,1,3,0,3
19,0,1,2,1,3,0,3,1,1,3,0,0,0,0,1,2,4,2,2,4,1,2,0,0,1,0,0,3,0,0,2,1,0,2,2,0,1,1,1,1
20,4,1,0,0,2,0,2,1,1,0,0,1,1,2,2,1,1,1,4,2,1,4,2,3,0,1,1,1,1,0,3,2,0,2,1,2,0,0,2,4
21,4,1,0,1,2,0,2,1,2,3,0,4,0,0,1,2,0,0,1,0,0,0,0,2,0,1,0,1,1,0,4,0,0,0,3,2,1,4,1,0
22,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1
23,2,0,3,3,1,1,0,0,3,1,0,0,1,0,1,1,2,0,1,1,1,3,0,2,2,1,0,2,0,1,1,2,3,3,1,0,1,1,0,1
24,2,2,0,1,1,1,0,0,1,1,0,2,1,0,2,2,2,0,2,2,2,2,0,2,0,0,2,1,0,0,0,0,0,2,2,0,1,2,2,0
25,4,1,2,2,1,0,0,1,0,1,0,1,1,1,2,2,2,1,3,1,0,0,0,0,1,2,1,3,1,0,2,0,1,4,0,2,1,1,1,0
26,3,2,1,1,1,2,1,2,2,0,1,0,1,1,2,3,0,2,0,0,1,1,1,2,2,1,1,1,0,0,2,1,0,1,0,1,1,0,2,1
27,1,2,2,0,5,1,1,2,0,2,1,3,2,1,6,1,2,1,4,1,3,1,0,1,1,0,1,6,3,1,1,5,1,4,0,1,1,0,1,3
28,1,2,3,2,0,0,1,2,2,1,2,1,3,2,0,0,0,3,2,3,1,3,2,3,3,0,0,1,3,0,3,1,1,0,2,1,0,3,1,2
29,0,0,2,0,1,2,2,1,1,3,0,0,1,2,4,0,0,0,3,1,1,3,0,0,0,2,2,1,3,1,0,1,0,4,0,0,0,0,1,0
30,2,1,1,1,3,1,2,2,0,3,1,2,2,1,2,3,1,3,3,2,1,3,3,2,3,1,2,3,1,1,3,1,1,2,1,3,3,0,2,2
31,0,3,1,0,2,0,1,0,0,0,0,1,1,0,0,1,0,2,3,1,0,1,1,3,1,0,1,0,3,0,0,1,0,0,0,1,1,0,0,1
32,0,1,2,2,2,2,1,3,0,1,1,0,0,2,0,1,1,2,3,1,2,1,3,1,2,0,1,0,1,1,1,0,1,3,1,1,1,1,1,1
33,0,2,1,0,4,2,1,2,5,3,1,1,1,1,3,5,2,1,6,1,2,4,1,1,1,6,1,1,3,0,0,1,0,3,2,0,2,1,1,2
34,1,1,0,1,2,0,1,1,0,0,0,2,0,0,2,0,1,0,2,0,0,2,0,2,3,1,1,4,4,1,0,0,1,3,2,0,0,0,0,2
35,3,0,5,0,0,3,0,5,4,0,1,2,2,1,2,1,1,0,6,0,3,2,0,4,2,3,3,2,1,2,1,0,0,1,0,6,0,1,2,3
36,1,1,2,1,1,1,2,1,1,1,1,1,1,1,4,0,1,1,2,1,1,0,0,2,0,4,1,2,2,0,1,2,1,2,2,1,0,1,1,2
37,3,2,2,1,1,0,3,2,0,1,0,1,2,1,3,0,0,3,3,2,2,3,1,4,4,1,2,3,1,0,1,2,1,0,1,2,0,1,2,3
