,Liverpool scored,Liverpool received,Chelsea scored,Chelsea received,Bournemouth scored,Bournemouth received,Crystal Palace scored,Crystal Palace received,Man City scored,Man City received,Watford scored,Watford received,Man United scored,Man United received,Tottenham scored,Tottenham received,Everton scored,Everton received,Wolves scored,Wolves received,Burnley scored,Burnley received,Southampton scored,Southampton received,Leicester scored,Leicester received,Newcastle scored,Newcastle received,Arsenal scored,Arsenal received,Brighton scored,Brighton received,Cardiff scored,Cardiff received,Fulham scored,Fulham received,Huddersfield scored,Huddersfield received,West Ham scored,West Ham received
24,1,1,5,0,0,2,2,0,3,1,0,0,1,0,1,0,1,3,3,1,1,1,1,1,0,1,0,1,1,3,0,0,2,0,0,2,0,5,1,1
25,3,0,0,6,0,3,1,1,6,0,1,0,3,0,3,1,0,1,1,1,3,1,1,2,1,3,1,1,2,1,1,3,2,1,0,3,1,2,1,1
26,0,0,3,0,1,1,4,1,2,0,5,1,0,0,1,2,0,2,1,1,2,1,0,2,1,4,2,0,2,0,0,3,1,5,1,3,0,2,3,1
27,5,0,2,0,1,5,1,3,1,0,0,5,3,1,0,2,3,0,0,1,0,2,2,0,2,1,2,0,5,1,1,2,0,3,0,2,1,0,0,1
28,0,0,2,1,0,1,3,1,1,0,2,1,3,2,1,1,0,0,2,0,1,3,2,3,1,2,0,2,1,1,1,0,0,2,1,2,0,1,2,0
29,4,2,1,1,2,0,1,2,3,1,1,3,0,2,1,2,2,3,1,1,2,4,2,1,3,1,3,2,2,0,2,1,2,0,1,3,0,2,0,2
30,2,1,0,2,2,2,0,2,2,0,1,1,0,2,2,0,2,0,3,1,1,2,1,1,2,1,2,2,1,3,0,2,2,0,1,2,3,4,4,3
31,2,1,2,1,0,2,2,0,2,0,1,2,2,1,1,2,2,0,0,2,2,0,1,0,2,0,0,2,2,0,0,1,1,2,0,2,0,2,0,2
32,3,1,2,0,1,3,1,0,2,0,4,1,1,2,1,0,1,0,2,1,3,1,1,3,4,1,0,1,0,1,0,1,0,2,1,4,1,4,0,2
33,2,0,0,2,5,0,1,3,3,1,0,1,2,1,4,0,0,2,1,3,2,0,3,1,0,1,1,0,1,0,0,5,0,2,2,0,0,4,1,2
34,2,0,2,2,0,1,3,2,1,0,2,1,0,4,0,1,4,0,0,0,2,2,1,3,2,2,3,1,2,3,0,0,0,2,1,0,1,2,2,2
35,5,0,1,1,3,3,0,0,1,0,1,2,1,1,0,1,0,0,2,1,0,1,3,3,3,0,1,1,0,3,1,1,0,1,1,0,0,5,1,0
36,3,2,3,0,1,0,3,2,1,0,0,3,1,1,0,1,2,0,1,0,0,2,0,3,0,1,2,3,1,1,1,1,2,3,0,1,1,1,3,0
37,2,0,0,0,3,5,5,3,4,1,1,4,0,2,2,2,2,2,0,2,1,3,1,1,0,0,4,0,3,1,1,4,2,0,0,4,1,1,4,1
