,Bolton scored,Bolton received,Man City scored,Man City received,Tottenham scored,Tottenham received,Man United scored,Man United received,Wolves scored,Wolves received,Liverpool scored,Liverpool received,Norwich scored,Norwich received,Sunderland scored,Sunderland received,Wigan scored,Wigan received,Arsenal scored,Arsenal received,Aston Villa scored,Aston Villa received,Chelsea scored,Chelsea received,Fulham scored,Fulham received,Newcastle scored,Newcastle received,Stoke scored,Stoke received,Blackburn scored,Blackburn received,West Brom scored,West Brom received,Everton scored,Everton received,QPR scored,QPR received,Swansea scored,Swansea received
0,4,0,4,0,2,0,2,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,2,0,4,0,4
1,2,3,3,2,0,3,3,0,2,0,2,0,1,1,0,1,0,0,0,2,3,1,2,1,0,2,1,0,1,1,1,3,1,2,0,1,1,0,0,0
2,1,3,5,1,1,5,8,2,0,0,3,1,1,3,0,0,2,0,2,8,0,0,3,1,1,2,2,1,1,0,0,1,0,1,1,0,0,2,0,0
3,0,5,3,0,2,0,5,0,0,2,0,1,0,1,1,2,0,3,1,0,2,2,2,1,1,1,0,0,1,0,1,1,1,0,2,2,0,0,0,1
4,1,2,2,2,4,0,3,1,0,3,0,4,2,1,4,0,1,3,3,4,1,1,1,3,2,2,1,1,0,4,4,3,0,3,3,1,3,0,3,0
5,0,3,2,0,2,1,1,1,1,2,2,1,2,1,1,2,1,2,3,0,1,1,4,1,0,0,3,1,1,1,1,3,0,0,0,2,1,1,1,4
6,1,5,4,0,2,1,2,0,1,2,2,0,0,2,2,2,0,2,1,2,2,0,5,1,6,0,2,1,0,2,0,4,2,2,0,2,0,6,2,0
7,3,1,4,1,2,2,1,1,0,2,1,1,3,1,1,2,1,3,2,1,1,4,3,1,0,2,2,2,2,0,1,1,2,0,1,3,1,1,1,3
8,0,2,6,1,2,1,1,6,2,2,1,1,1,1,2,0,0,1,3,1,1,2,0,1,1,3,1,0,1,3,1,2,2,1,3,1,1,0,2,2
9,1,3,3,1,3,1,1,0,1,3,2,0,3,3,2,2,0,2,5,3,2,2,3,5,2,0,3,1,1,3,3,3,0,2,0,1,1,3,3,1
10,5,0,3,2,3,1,1,0,3,1,0,0,2,3,0,1,1,3,3,0,3,2,1,0,1,3,2,1,0,5,0,1,0,3,1,2,2,3,0,0
11,1,2,3,1,2,0,1,0,1,2,2,1,1,2,0,0,3,3,2,1,0,2,1,2,0,0,1,3,2,3,3,3,2,1,2,1,3,2,0,1
12,0,2,1,1,3,1,1,1,0,3,1,1,2,1,1,2,2,1,1,1,0,0,3,0,1,1,1,1,3,1,1,3,1,3,2,0,1,2,0,0
13,0,3,5,1,3,0,1,0,2,1,0,1,1,5,1,2,0,4,4,0,0,1,3,0,1,0,0,3,1,0,4,2,1,1,0,1,1,1,2,4
14,1,2,1,2,1,2,4,1,1,4,1,0,4,2,2,1,2,1,1,0,2,1,2,1,0,2,2,4,2,1,1,2,1,2,0,1,0,1,2,0
15,0,2,1,0,1,0,2,0,1,2,2,0,1,1,0,1,1,1,0,1,0,2,1,1,2,0,0,0,2,1,1,2,2,1,1,1,0,2,0,0
16,2,1,3,0,1,1,5,0,2,2,0,0,2,2,3,2,0,0,2,1,1,2,1,1,0,5,2,3,0,3,1,2,3,2,1,0,2,3,0,1
17,0,2,0,0,2,0,5,0,1,1,1,1,0,2,1,1,0,5,1,1,0,0,1,1,1,1,2,0,0,0,1,1,0,0,1,1,1,1,1,1
18,1,1,0,1,1,1,2,3,1,1,3,1,1,1,1,0,2,2,1,0,3,1,1,3,1,1,1,3,2,2,3,2,0,1,1,0,0,1,1,1
19,2,1,3,0,1,0,0,3,1,2,0,3,2,1,4,1,1,4,1,2,0,2,2,1,2,1,3,0,2,1,1,2,0,1,1,2,1,2,2,0
