,Bolton scored,Bolton received,Man City scored,Man City received,Tottenham scored,Tottenham received,Man United scored,Man United received,Wolves scored,Wolves received,Liverpool scored,Liverpool received,Norwich scored,Norwich received,Sunderland scored,Sunderland received,Wigan scored,Wigan received,Arsenal scored,Arsenal received,Aston Villa scored,Aston Villa received,Chelsea scored,Chelsea received,Fulham scored,Fulham received,Newcastle scored,Newcastle received,Stoke scored,Stoke received,Blackburn scored,Blackburn received,West Brom scored,West Brom received,Everton scored,Everton received,QPR scored,QPR received,Swansea scored,Swansea received
0,4,0,4,0,2,0,2,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,2,0,4,0,4
1,6,3,7,2,2,3,5,1,4,1,3,1,2,2,1,2,1,1,0,2,3,1,2,1,0,2,1,0,1,1,2,5,2,4,0,3,1,4,0,4
2,7,6,12,3,3,8,13,3,4,1,6,2,3,5,1,2,3,1,2,10,3,1,5,2,1,4,3,1,2,1,2,6,2,5,1,3,1,6,0,4
3,7,11,15,3,5,8,18,3,4,3,6,3,3,6,2,4,3,4,3,10,5,3,7,3,2,5,3,1,3,1,3,7,3,5,3,5,1,6,0,5
4,8,13,17,5,9,8,21,4,4,6,6,7,5,7,6,4,4,7,6,14,6,4,8,6,4,7,4,2,3,5,7,10,3,8,6,6,4,6,3,5
5,8,16,19,5,11,9,22,5,5,8,8,8,7,8,7,6,5,9,9,14,7,5,12,7,4,7,7,3,4,6,8,13,3,8,6,8,5,7,4,9
6,9,21,23,5,13,10,24,5,6,10,10,8,7,10,9,8,5,11,10,16,9,5,17,8,10,7,9,4,4,8,8,17,5,10,6,10,5,13,6,9
7,12,22,27,6,15,12,25,6,6,12,11,9,10,11,10,10,6,14,12,17,10,9,20,9,10,9,11,6,6,8,9,18,7,10,7,13,6,14,7,12
8,12,24,33,7,17,13,26,12,8,14,12,10,11,12,12,10,6,15,15,18,11,11,20,10,11,12,12,6,7,11,10,20,9,11,10,14,7,14,9,14
9,13,27,36,8,20,14,27,12,9,17,14,10,14,15,14,12,6,17,20,21,13,13,23,15,13,12,15,7,8,14,13,23,9,13,10,15,8,17,12,15
10,18,27,39,10,23,15,28,12,12,18,14,10,16,18,14,13,7,20,23,21,16,15,24,15,14,15,17,8,8,19,13,24,9,16,11,17,10,20,12,15
11,19,29,42,11,25,15,29,12,13,20,16,11,17,20,14,13,10,23,25,22,16,17,25,17,14,15,18,11,10,22,16,27,11,17,13,18,13,22,12,16
12,19,31,43,12,28,16,30,13,13,23,17,12,19,21,15,15,12,24,26,23,16,17,28,17,15,16,19,12,13,23,17,30,12,20,15,18,14,24,12,16
13,19,34,48,13,31,16,31,13,15,24,17,13,20,26,16,17,12,28,30,23,16,18,31,17,16,16,19,15,14,23,21,32,13,21,15,19,15,25,14,20
14,20,36,49,15,32,18,35,14,16,28,18,13,24,28,18,18,14,29,31,23,18,19,33,18,16,18,21,19,16,24,22,34,14,23,15,20,15,26,16,20
15,20,38,50,15,33,18,37,14,17,30,20,13,25,29,18,19,15,30,31,24,18,21,34,19,18,18,21,19,18,25,23,36,16,24,16,21,15,28,16,20
16,22,39,53,15,34,19,42,14,19,32,20,13,27,31,21,21,15,30,33,25,19,23,35,20,18,23,23,22,18,28,24,38,19,26,17,21,17,31,16,21
17,22,41,53,15,36,19,47,14,20,33,21,14,27,33,22,22,15,35,34,26,19,23,36,21,19,24,25,22,18,28,25,39,19,26,18,22,18,32,17,22
18,23,42,53,16,37,20,49,17,21,34,24,15,28,34,23,22,17,37,35,26,22,24,37,24,20,25,26,25,20,30,28,41,19,27,19,22,18,33,18,23
19,25,43,56,16,38,20,49,20,22,36,24,18,30,35,27,23,18,41,36,28,22,26,39,25,22,26,29,25,22,31,29,43,19,28,20,24,19,35,20,23
20,25,46,57,16,39,21,52,20,23,37,24,18,32,36,27,24,18,42,38,31,23,27,40,25,23,29,30,25,22,31,32,44,20,30,21,25,19,36,23,25
21,28,47,60,18,41,24,54,21,25,40,25,21,32,36,29,24,19,45,39,33,26,29,40,25,28,31,32,30,23,33,33,45,22,31,22,26,22,37,23,27
22,28,47,60,19,44,25,56,21,25,43,28,21,32,39,32,24,20,48,39,33,28,31,41,26,29,32,34,30,23,35,33,47,23,32,23,26,24,39,24,28
23,28,49,63,19,44,25,59,24,27,44,28,21,34,39,33,24,21,49,46,34,29,33,44,29,29,35,36,31,23,36,34,54,24,34,24,27,25,41,26,29
24,29,51,64,19,49,25,61,25,28,49,29,23,37,41,34,26,23,50,48,35,29,34,44,31,31,36,36,36,24,38,37,56,29,35,26,27,27,44,28,32
25,29,54,67,19,51,30,63,26,30,51,32,23,38,43,34,30,23,50,53,37,29,34,47,31,32,36,38,38,26,38,37,59,33,35,26,30,27,45,28,34
26,29,56,69,19,52,33,66,27,30,56,33,25,38,44,35,31,23,52,55,38,30,35,47,32,37,36,39,39,27,38,38,60,34,35,27,31,28,46,30,34
27,31,57,69,20,52,34,68,27,30,58,33,26,39,45,36,31,24,53,57,39,31,35,48,32,37,37,40,41,27,39,40,60,34,37,28,31,29,48,31,34
28,33,58,71,21,53,35,73,27,30,63,35,29,39,46,36,33,25,54,58,39,32,37,49,34,37,40,41,41,28,40,42,60,35,38,28,32,32,50,34,34
29,35,59,72,22,53,35,74,27,31,65,36,31,41,47,39,34,27,55,61,39,32,40,49,34,37,41,44,42,29,41,43,62,36,41,30,32,33,53,34,36
30,38,61,75,25,56,36,76,27,33,68,36,33,42,49,42,37,29,55,62,41,34,44,53,36,39,42,46,42,29,43,43,64,36,43,32,32,35,54,35,39
31,38,64,75,26,56,36,78,27,34,70,37,34,44,51,42,37,30,57,63,41,35,45,55,37,42,42,48,42,31,44,43,67,39,43,34,34,35,56,35,41
32,38,66,79,26,57,38,78,28,34,73,40,36,46,52,42,41,31,57,66,41,36,46,56,38,43,43,50,42,32,45,45,70,39,47,38,34,38,56,35,44
33,39,70,85,27,61,39,82,28,34,73,40,37,47,58,42,41,33,58,67,43,36,50,56,40,44,43,52,42,33,46,45,73,40,47,39,35,38,57,38,44
34,40,71,87,27,61,40,86,32,34,75,40,38,47,60,42,41,34,60,67,43,36,50,56,40,46,44,55,42,33,49,47,73,41,47,43,39,39,57,39,45
35,42,73,88,27,63,40,86,33,38,79,43,38,47,63,44,43,38,60,68,44,36,50,62,41,46,48,55,46,34,50,47,75,41,47,47,39,40,63,43,49
36,44,75,90,27,64,41,88,33,38,79,47,39,50,66,45,45,39,60,71,47,37,51,63,45,48,49,55,48,34,51,47,76,43,49,47,39,41,63,43,51
37,46,77,93,29,66,41,89,33,40,82,47,40,52,66,45,46,42,62,74,49,37,53,65,46,48,51,56,51,36,53,48,78,45,52,50,40,43,66,44,51
