,0,1,2,3,4,5,6,7,8,9,10,11
0,Motherwell,Celtic,Dundee United,Hearts,Kilmarnock,Aberdeen,Dunfermline,St Johnstone,St Mirren,Hibernian,Inverness C,Rangers
1,Celtic,Motherwell,Dundee United,St Mirren,Hibernian,Kilmarnock,Dunfermline,Hearts,Aberdeen,St Johnstone,Inverness C,Rangers
2,Celtic,Motherwell,Hibernian,Dundee United,St Mirren,Dunfermline,Kilmarnock,Hearts,Aberdeen,St Johnstone,Inverness C,Rangers
3,Celtic,Motherwell,Hibernian,Kilmarnock,Dunfermline,St Mirren,Dundee United,Hearts,St Johnstone,Aberdeen,Inverness C,Rangers
4,Celtic,Motherwell,Dunfermline,St Mirren,Kilmarnock,Hibernian,Hearts,Dundee United,St Johnstone,Aberdeen,Rangers,Inverness C
5,Celtic,Motherwell,Hearts,Dunfermline,St Mirren,Rangers,Kilmarnock,Dundee United,Hibernian,St Johnstone,Inverness C,Aberdeen
6,Celtic,Motherwell,Rangers,Hearts,Kilmarnock,St Mirren,Dunfermline,Hibernian,St Johnstone,Dundee United,Inverness C,Aberdeen
7,Celtic,Motherwell,Rangers,Hearts,Kilmarnock,St Johnstone,Dunfermline,Dundee United,St Mirren,Hibernian,Aberdeen,Inverness C
8,Celtic,Motherwell,Rangers,Hearts,St Johnstone,St Mirren,Kilmarnock,Dundee United,Dunfermline,Hibernian,Aberdeen,Inverness C
9,Celtic,Motherwell,Rangers,Hearts,St Johnstone,St Mirren,Kilmarnock,Dundee United,Aberdeen,Hibernian,Dunfermline,Inverness C
10,Celtic,Motherwell,Rangers,Hearts,St Johnstone,St Mirren,Aberdeen,Kilmarnock,Dundee United,Hibernian,Dunfermline,Inverness C
11,Celtic,Motherwell,Rangers,St Johnstone,Hearts,St Mirren,Aberdeen,Kilmarnock,Hibernian,Dundee United,Dunfermline,Inverness C
12,Celtic,Motherwell,Rangers,St Johnstone,Hearts,St Mirren,Kilmarnock,Dundee United,Hibernian,Aberdeen,Dunfermline,Inverness C
13,Celtic,Rangers,Motherwell,Hearts,St Johnstone,St Mirren,Aberdeen,Kilmarnock,Dundee United,Hibernian,Dunfermline,Inverness C
14,Celtic,Rangers,Motherwell,St Johnstone,St Mirren,Hearts,Dundee United,Kilmarnock,Aberdeen,Hibernian,Dunfermline,Inverness C
15,Celtic,Motherwell,Rangers,St Johnstone,Hearts,St Mirren,Kilmarnock,Dundee United,Aberdeen,Hibernian,Dunfermline,Inverness C
16,Celtic,Motherwell,Rangers,St Johnstone,Hearts,Kilmarnock,St Mirren,Dundee United,Aberdeen,Inverness C,Hibernian,Dunfermline
17,Celtic,Motherwell,Rangers,St Johnstone,Kilmarnock,Hearts,Dundee United,St Mirren,Aberdeen,Inverness C,Dunfermline,Hibernian
18,Celtic,Rangers,Motherwell,St Johnstone,Hearts,Kilmarnock,Dundee United,St Mirren,Aberdeen,Inverness C,Dunfermline,Hibernian
19,Celtic,Rangers,Motherwell,St Johnstone,Hearts,Dundee United,St Mirren,Kilmarnock,Aberdeen,Inverness C,Dunfermline,Hibernian
20,Celtic,Motherwell,Rangers,St Johnstone,Hearts,Dundee United,St Mirren,Kilmarnock,Aberdeen,Inverness C,Hibernian,Dunfermline
21,Celtic,Rangers,Motherwell,St Johnstone,Hearts,Kilmarnock,Dundee United,St Mirren,Aberdeen,Inverness C,Hibernian,Dunfermline
22,Celtic,Rangers,Motherwell,Hearts,St Johnstone,Kilmarnock,Dundee United,St Mirren,Aberdeen,Inverness C,Hibernian,Dunfermline
23,Celtic,Rangers,Motherwell,St Johnstone,Hearts,Kilmarnock,Dundee United,Aberdeen,St Mirren,Inverness C,Hibernian,Dunfermline
24,Celtic,Rangers,Motherwell,St Johnstone,Hearts,Dundee United,Aberdeen,Kilmarnock,St Mirren,Inverness C,Hibernian,Dunfermline
25,Celtic,Rangers,Motherwell,St Johnstone,Hearts,Dundee United,Aberdeen,Kilmarnock,St Mirren,Inverness C,Hibernian,Dunfermline
26,Celtic,Rangers,Motherwell,St Johnstone,Hearts,Dundee United,Kilmarnock,Aberdeen,St Mirren,Inverness C,Hibernian,Dunfermline
27,Celtic,Rangers,Motherwell,St Johnstone,Dundee United,Hearts,Aberdeen,Kilmarnock,St Mirren,Inverness C,Hibernian,Dunfermline
28,Celtic,Rangers,Motherwell,St Johnstone,Dundee United,Hearts,Aberdeen,Kilmarnock,St Mirren,Inverness C,Hibernian,Dunfermline
29,Celtic,Rangers,Motherwell,St Johnstone,Dundee United,Hearts,Kilmarnock,Aberdeen,St Mirren,Inverness C,Hibernian,Dunfermline
30,Celtic,Rangers,Motherwell,St Johnstone,Dundee United,Hearts,Kilmarnock,Aberdeen,St Mirren,Inverness C,Hibernian,Dunfermline
31,Celtic,Rangers,Motherwell,Dundee United,St Johnstone,Hearts,Kilmarnock,St Mirren,Aberdeen,Inverness C,Hibernian,Dunfermline
32,Celtic,Rangers,Motherwell,St Johnstone,Dundee United,Hearts,Kilmarnock,Aberdeen,St Mirren,Inverness C,Hibernian,Dunfermline
