,Rangers scored,Rangers received,Hearts scored,Hearts received,Inverness C scored,Inverness C received,Celtic scored,Celtic received,Motherwell scored,Motherwell received,Aberdeen scored,Aberdeen received,Dundee United scored,Dundee United received,Dunfermline scored,Dunfermline received,Hibernian scored,Hibernian received,Kilmarnock scored,Kilmarnock received,Falkirk scored,Falkirk received,Livingston scored,Livingston received
0,3,0,4,2,2,0,4,4,4,4,1,1,1,1,1,1,1,1,2,4,0,2,0,3
1,1,0,4,0,0,1,2,0,1,0,1,2,0,2,0,1,0,4,2,1,2,0,0,2
2,2,3,3,0,1,0,3,1,1,4,3,2,0,3,0,1,3,0,4,1,1,3,0,3
3,3,1,2,0,2,2,1,3,4,5,0,2,5,4,1,1,2,0,2,2,0,2,1,1
4,0,3,2,1,1,1,4,0,1,2,3,0,1,1,0,4,3,0,3,0,0,3,0,3
5,1,1,4,1,1,2,2,0,2,1,0,2,1,2,2,3,2,1,3,2,1,1,1,4
6,3,0,1,0,0,1,1,0,5,0,2,0,2,0,0,2,0,1,0,3,0,5,0,2
7,0,1,1,0,1,2,2,1,1,3,0,0,1,2,2,1,3,1,1,1,1,1,0,0
8,5,1,2,2,2,1,5,0,2,2,2,2,0,0,1,5,1,2,0,0,2,2,0,5
9,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,4,2,2,4,1,0,0,1
10,2,0,2,0,1,1,1,0,0,2,0,1,3,1,0,2,1,0,0,1,1,3,1,1
11,2,2,1,0,0,3,5,0,0,5,2,0,0,2,1,2,2,1,0,1,3,0,2,2
12,1,1,0,2,1,1,4,2,3,0,2,4,2,4,0,3,2,0,4,2,1,1,1,1
13,0,0,3,0,2,1,3,0,2,2,0,0,0,3,1,2,2,1,2,2,0,3,1,2
14,0,3,1,1,2,2,3,0,1,1,1,1,1,1,0,1,2,3,2,2,3,2,1,0
15,1,2,1,1,1,1,0,1,1,1,2,1,1,1,1,0,2,1,3,0,1,2,0,3
16,2,2,2,1,2,0,3,1,0,2,1,3,1,0,0,1,0,1,1,0,2,2,1,2
17,3,2,0,0,0,0,3,2,1,0,0,0,0,1,0,0,2,3,2,3,0,1,1,0
18,1,0,0,1,1,1,1,1,1,2,0,0,2,1,1,2,2,1,2,1,1,2,0,0
19,3,3,5,0,2,0,2,1,3,1,1,3,1,2,3,3,0,2,2,1,0,5,1,2
20,3,0,2,3,0,0,3,2,2,1,0,0,0,3,2,1,2,2,2,2,1,2,1,2
21,1,0,4,1,3,0,4,2,0,1,2,1,2,1,1,4,1,2,2,4,1,2,0,3
22,4,1,0,1,4,1,3,1,1,3,1,1,1,1,1,3,3,1,1,0,1,4,1,4
23,3,2,4,1,2,3,3,3,1,1,2,2,3,3,1,1,1,4,2,2,1,0,0,1
24,0,2,1,1,2,2,2,1,0,2,2,0,1,1,2,2,7,0,2,0,1,2,0,7
25,0,1,1,2,3,3,1,0,2,0,2,1,0,2,1,0,0,0,3,3,0,0,0,1
26,2,0,3,0,4,2,8,1,0,3,1,0,2,4,1,8,0,2,3,1,0,1,1,3
27,2,1,3,2,0,1,3,0,1,0,0,3,1,3,0,1,3,1,1,0,1,2,2,3
28,4,0,0,0,0,0,2,1,3,1,0,1,3,1,1,0,1,2,0,4,1,3,1,3
29,1,1,1,1,1,2,2,1,2,2,3,0,1,1,1,1,2,2,2,1,1,2,0,3
30,1,0,2,1,2,0,2,0,2,2,2,2,2,2,0,1,0,2,2,2,1,2,0,2
31,4,1,0,1,0,1,1,0,2,1,1,0,1,4,1,1,2,1,1,2,1,1,1,2
32,1,0,4,0,1,2,4,1,0,1,1,0,0,1,0,4,0,1,1,4,1,0,2,1
