,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Benfica,Porto,Arouca,Sp Braga,Sp Lisbon,Uniao Madeira,Pacos Ferreira,Belenenses,Rio Ave,Boavista,Setubal,Nacional,Tondela,Maritimo,Academica,Moreirense,Guimaraes,Estoril
1,Arouca,Setubal,Porto,Rio Ave,Boavista,Sp Lisbon,Pacos Ferreira,Benfica,Nacional,Sp Braga,Uniao Madeira,Estoril,Belenenses,Maritimo,Guimaraes,Tondela,Moreirense,Academica
2,Porto,Sp Lisbon,Arouca,Benfica,Sp Braga,Setubal,Rio Ave,Pacos Ferreira,Uniao Madeira,Boavista,Belenenses,Nacional,Tondela,Estoril,Maritimo,Guimaraes,Moreirense,Academica
3,Porto,Sp Lisbon,Benfica,Pacos Ferreira,Arouca,Sp Braga,Nacional,Estoril,Maritimo,Setubal,Rio Ave,Uniao Madeira,Guimaraes,Boavista,Tondela,Belenenses,Moreirense,Academica
4,Porto,Sp Lisbon,Benfica,Sp Braga,Estoril,Rio Ave,Arouca,Pacos Ferreira,Boavista,Setubal,Nacional,Uniao Madeira,Guimaraes,Belenenses,Maritimo,Tondela,Moreirense,Academica
5,Porto,Sp Lisbon,Benfica,Sp Braga,Estoril,Rio Ave,Arouca,Maritimo,Boavista,Pacos Ferreira,Setubal,Nacional,Belenenses,Uniao Madeira,Guimaraes,Tondela,Moreirense,Academica
6,Porto,Sp Lisbon,Rio Ave,Benfica,Sp Braga,Estoril,Pacos Ferreira,Setubal,Arouca,Maritimo,Boavista,Uniao Madeira,Nacional,Belenenses,Guimaraes,Tondela,Moreirense,Academica
7,Sp Lisbon,Porto,Rio Ave,Sp Braga,Pacos Ferreira,Benfica,Setubal,Estoril,Arouca,Belenenses,Boavista,Nacional,Maritimo,Uniao Madeira,Guimaraes,Tondela,Academica,Moreirense
8,Sp Lisbon,Porto,Rio Ave,Sp Braga,Benfica,Setubal,Pacos Ferreira,Estoril,Arouca,Maritimo,Guimaraes,Belenenses,Boavista,Nacional,Uniao Madeira,Tondela,Academica,Moreirense
9,Sp Lisbon,Porto,Sp Braga,Benfica,Rio Ave,Setubal,Maritimo,Estoril,Pacos Ferreira,Belenenses,Arouca,Nacional,Guimaraes,Boavista,Moreirense,Uniao Madeira,Academica,Tondela
10,Sp Lisbon,Porto,Benfica,Sp Braga,Rio Ave,Pacos Ferreira,Setubal,Nacional,Maritimo,Estoril,Arouca,Guimaraes,Belenenses,Moreirense,Boavista,Uniao Madeira,Academica,Tondela
11,Sp Lisbon,Porto,Benfica,Sp Braga,Setubal,Rio Ave,Pacos Ferreira,Arouca,Guimaraes,Nacional,Estoril,Maritimo,Belenenses,Uniao Madeira,Moreirense,Boavista,Academica,Tondela
12,Sp Lisbon,Porto,Benfica,Sp Braga,Rio Ave,Pacos Ferreira,Setubal,Maritimo,Arouca,Guimaraes,Estoril,Nacional,Belenenses,Moreirense,Uniao Madeira,Boavista,Academica,Tondela
13,Porto,Sp Lisbon,Benfica,Sp Braga,Setubal,Pacos Ferreira,Rio Ave,Arouca,Guimaraes,Maritimo,Estoril,Belenenses,Nacional,Moreirense,Uniao Madeira,Boavista,Academica,Tondela
