,Benfica scored,Benfica received,Porto scored,Porto received,Arouca scored,Arouca received,Sp Braga scored,Sp Braga received,Sp Lisbon scored,Sp Lisbon received,Uniao Madeira scored,Uniao Madeira received,Pacos Ferreira scored,Pacos Ferreira received,Belenenses scored,Belenenses received,Rio Ave scored,Rio Ave received,Boavista scored,Boavista received,Setubal scored,Setubal received,Nacional scored,Nacional received,Tondela scored,Tondela received,Maritimo scored,Maritimo received,Academica scored,Academica received,Moreirense scored,Moreirense received,Guimaraes scored,Guimaraes received,Estoril scored,Estoril received
0,4,0,3,0,2,0,2,1,2,1,2,1,1,0,3,3,3,3,2,2,2,2,1,2,1,2,1,2,0,1,0,2,0,3,0,4
1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,4,0,1,0,0,1,1,1,0,4,0,2,1,1,2,0
2,3,2,2,0,1,1,4,0,3,1,0,0,1,1,1,1,2,2,0,4,2,2,0,1,1,0,1,1,1,3,2,3,0,0,0,2
3,6,0,3,1,1,3,0,1,2,1,0,0,1,0,0,6,1,2,0,1,2,5,2,0,0,1,5,2,0,2,0,0,1,0,1,0
4,0,1,1,0,0,0,5,1,1,0,0,0,0,3,2,0,3,0,2,0,2,2,0,1,0,1,1,5,0,2,0,2,2,2,1,0
5,3,0,2,2,2,2,1,0,0,0,1,2,0,3,2,2,1,0,0,0,1,1,1,1,0,1,1,0,0,1,2,2,0,1,2,1
6,0,0,4,0,0,0,0,0,5,1,0,0,3,1,0,4,1,0,0,1,1,0,1,3,1,1,0,1,1,0,1,1,1,5,0,1
7,0,3,0,0,1,1,0,0,3,0,0,1,2,0,1,0,2,2,0,0,2,0,0,0,1,1,0,2,1,1,0,2,1,1,2,2
8,4,0,4,0,0,0,4,0,1,0,0,4,0,1,0,4,1,0,0,1,0,0,0,1,0,4,1,0,1,1,1,1,1,0,0,1
9,2,0,2,0,0,1,1,0,1,0,0,1,0,2,2,1,2,3,0,2,0,2,1,0,1,2,3,2,1,1,2,0,0,1,1,1
10,2,0,1,0,1,1,0,2,1,0,2,2,2,0,0,1,0,1,1,2,2,2,3,1,0,1,1,3,1,1,1,0,2,1,0,2
11,3,0,2,1,3,2,0,0,1,0,2,0,1,2,0,3,1,3,2,3,3,0,1,1,0,2,0,1,0,3,0,0,3,1,1,1
12,4,2,2,1,1,3,1,0,3,1,0,6,6,0,3,4,3,1,1,1,2,4,1,2,0,1,4,3,4,3,1,3,3,4,1,1
13,3,1,3,1,4,1,1,1,0,1,1,0,1,1,1,0,1,3,0,1,3,1,0,2,1,3,1,4,1,3,2,0,1,0,0,1
14,1,0,0,2,2,2,1,1,2,0,1,3,2,2,2,2,2,3,0,3,1,1,2,2,3,2,1,1,3,1,3,0,0,1,1,1
15,6,0,1,1,1,0,3,0,6,0,1,0,2,0,2,2,1,1,0,1,0,6,2,2,0,2,0,6,0,3,3,4,4,3,0,1
16,4,1,5,0,2,2,2,3,3,2,0,1,2,1,0,2,1,0,0,5,1,2,1,4,1,2,5,1,2,1,1,5,2,2,2,0
17,2,1,0,1,1,2,3,2,2,2,1,0,1,1,2,1,1,2,4,0,0,4,2,3,2,2,0,1,1,1,2,1,1,0,1,2
18,3,1,1,0,1,3,5,1,3,1,3,0,1,3,3,3,1,5,2,1,2,1,0,3,1,2,0,1,1,2,1,3,3,3,3,1
19,4,1,3,1,2,2,0,0,3,2,1,3,2,2,2,1,2,1,0,0,1,2,3,1,1,3,1,2,2,3,1,4,3,1,1,3
20,5,0,1,2,2,1,2,0,0,0,0,1,0,1,0,5,0,0,1,0,1,1,2,2,1,1,1,1,2,2,1,0,1,1,0,2
21,1,2,2,1,3,0,3,1,4,0,0,3,1,1,3,2,1,1,0,0,2,2,0,4,1,2,1,3,0,0,2,3,2,2,2,1
22,3,1,3,2,2,0,3,3,2,0,1,1,1,3,0,2,2,0,0,2,1,1,1,1,3,4,4,3,0,2,2,3,3,3,1,1
23,2,0,2,1,0,0,0,0,0,0,0,2,0,3,1,2,2,1,1,2,0,3,3,0,2,1,1,0,0,1,1,2,0,0,3,0
24,1,0,1,3,1,0,3,1,0,1,0,0,2,2,0,0,1,3,0,1,0,1,1,0,0,1,2,2,2,0,1,0,0,2,3,1
25,4,1,3,2,1,0,0,3,2,1,2,3,1,0,3,0,0,1,3,0,0,1,1,0,1,4,0,3,2,2,2,2,0,1,1,2
26,1,0,1,0,1,5,2,0,5,1,0,2,0,0,2,2,1,0,0,1,0,1,3,2,2,2,0,1,0,3,0,0,2,3,3,0
27,5,1,0,1,3,2,1,5,5,2,2,2,0,1,2,5,1,0,1,1,2,2,0,2,1,0,2,0,2,3,0,1,1,1,1,0
28,2,1,0,1,0,0,1,1,3,1,0,1,1,0,1,0,2,0,0,0,0,1,4,1,1,0,1,3,1,2,1,1,0,2,1,4
29,2,1,4,0,0,0,3,0,1,0,3,4,4,3,1,1,0,0,0,1,1,2,0,4,0,3,3,0,1,1,0,1,0,3,1,0
30,1,0,2,1,2,1,0,1,2,0,0,2,1,0,0,1,0,1,1,0,0,1,0,1,1,0,1,2,1,2,1,0,1,1,1,1
31,1,0,1,3,3,0,3,2,3,1,3,1,2,0,0,2,1,1,1,1,2,3,0,3,1,1,1,2,1,3,1,1,0,1,2,1
32,2,0,3,1,1,1,0,0,5,0,0,1,1,4,2,2,1,3,1,0,0,5,2,2,4,1,0,2,0,0,1,4,4,1,1,1
33,4,1,4,0,2,2,0,4,4,0,1,2,0,0,2,1,2,1,0,4,0,0,1,4,2,0,1,2,0,2,2,1,2,2,1,2
