,Benfica scored,Benfica received,Porto scored,Porto received,Arouca scored,Arouca received,Sp Braga scored,Sp Braga received,Sp Lisbon scored,Sp Lisbon received,Pacos Ferreira scored,Pacos Ferreira received,Belenenses scored,Belenenses received,Rio Ave scored,Rio Ave received,Boavista scored,Boavista received,Setubal scored,Setubal received,Nacional scored,Nacional received,Maritimo scored,Maritimo received,Academica scored,Academica received,Moreirense scored,Moreirense received,Guimaraes scored,Guimaraes received,Estoril scored,Estoril received,Uniao Madeira scored,Uniao Madeira received,Tondela scored,Tondela received
0,2.6666666666666665,0.3333333333333333,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.3333333333333333,2.3333333333333335,2.3333333333333335,2.0,0.6666666666666666,1.0,1.6666666666666667,1.3333333333333333,0.6666666666666666,0.0,1.6666666666666667,0.0,1.0,1.0,3.0,2.0,0.6666666666666666,2.6666666666666665,1.6666666666666667,1.6666666666666667,2.6666666666666665,2.0,1.0,2.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,,,,
1,1.3333333333333333,0.6666666666666666,1.3333333333333333,0.6666666666666666,1.0,1.3333333333333333,2.0,1.6666666666666667,2.0,0.6666666666666666,1.3333333333333333,2.0,1.3333333333333333,0.6666666666666666,0.3333333333333333,1.6666666666666667,0.3333333333333333,1.0,2.0,2.0,1.6666666666666667,0.0,2.0,1.6666666666666667,1.3333333333333333,3.6666666666666665,1.0,1.3333333333333333,1.6666666666666667,1.0,1.6666666666666667,0.3333333333333333,,,,
2,2.3333333333333335,1.3333333333333333,1.6666666666666667,0.3333333333333333,1.0,1.0,3.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.6666666666666666,1.6666666666666667,1.3333333333333333,0.6666666666666666,1.0,1.0,0.3333333333333333,2.0,2.0,2.3333333333333335,1.3333333333333333,0.3333333333333333,1.0,2.0,1.0,3.6666666666666665,1.3333333333333333,2.0,1.6666666666666667,1.0,1.3333333333333333,0.6666666666666666,,,,
3,3.0,1.0,2.0,0.6666666666666666,1.0,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666,2.6666666666666665,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.6666666666666667,2.6666666666666665,2.3333333333333335,1.0,0.3333333333333333,2.3333333333333335,1.3333333333333333,0.3333333333333333,3.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
4,3.0,1.0,2.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,3.0,0.6666666666666666,2.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.0,2.3333333333333335,2.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.0,3.0,0.6666666666666666,0.6666666666666666,2.3333333333333335,2.6666666666666665,0.3333333333333333,2.3333333333333335,0.6666666666666666,1.6666666666666667,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0,0.3333333333333333,0.6666666666666666
5,3.0,0.3333333333333333,2.0,1.0,1.0,1.6666666666666667,2.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,2.0,1.3333333333333333,2.6666666666666665,1.6666666666666667,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.6666666666666667,2.6666666666666665,1.0,0.6666666666666666,2.3333333333333335,2.3333333333333335,0.0,1.6666666666666667,0.6666666666666666,1.3333333333333333,1.0,1.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,1.0
6,1.0,0.3333333333333333,2.3333333333333335,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.0,0.3333333333333333,2.0,0.3333333333333333,1.0,2.3333333333333335,1.3333333333333333,2.0,1.6666666666666667,0.0,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.0,0.6666666666666666,1.6666666666666667,0.6666666666666666,2.0,0.3333333333333333,1.0,1.0,1.6666666666666667,1.0,2.6666666666666665,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0
7,1.0,1.0,2.0,0.6666666666666666,1.0,1.0,0.3333333333333333,0.0,2.6666666666666665,0.3333333333333333,1.6666666666666667,1.3333333333333333,1.0,2.0,1.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0,1.6666666666666667,0.6666666666666666,2.3333333333333335,1.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0
8,1.3333333333333333,1.0,2.6666666666666665,0.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,3.0,0.3333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333,2.6666666666666665,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,1.0,0.0,0.3333333333333333,1.3333333333333333,0.3333333333333333,1.0,1.0,0.6666666666666666,0.6666666666666666,1.3333333333333333,1.0,2.0,0.6666666666666666,1.3333333333333333,0.0,1.6666666666666667,0.6666666666666666,2.0
9,2.0,1.0,2.0,0.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,0.0,1.6666666666666667,0.0,0.6666666666666666,1.0,1.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,0.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.3333333333333333,0.0,2.0,0.6666666666666666,2.3333333333333335
