,Napoli scored,Napoli received,Inter scored,Inter received,Milan scored,Milan received,Roma scored,Roma received,Catania scored,Catania received,Parma scored,Parma received,Novara scored,Novara received,Palermo scored,Palermo received,Siena scored,Siena received,Fiorentina scored,Fiorentina received,Chievo scored,Chievo received,Juventus scored,Juventus received,Lazio scored,Lazio received,Udinese scored,Udinese received,Bologna scored,Bologna received,Cagliari scored,Cagliari received,Cesena scored,Cesena received,Lecce scored,Lecce received,Genoa scored,Genoa received,Atalanta scored,Atalanta received
0,6,1,4,1,2,0,2,0,3,3,3,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,4,1,4,1,6,4,1
1,3,1,3,4,2,2,1,2,0,0,1,4,2,2,4,3,0,0,2,0,2,2,4,1,2,2,2,0,0,2,2,1,1,3,0,2,2,2,2,2
2,3,1,0,0,1,3,0,0,1,0,2,1,1,2,0,1,0,1,0,2,1,2,1,0,1,2,2,0,0,2,2,1,0,1,2,0,2,1,1,0
3,0,1,1,3,1,1,1,1,0,3,0,3,3,1,3,2,1,1,3,0,1,0,1,1,2,1,1,1,1,1,2,3,1,2,1,2,3,0,2,1
4,0,0,3,1,1,0,1,0,1,1,0,1,1,2,0,0,3,0,0,0,2,1,1,1,0,0,0,0,1,3,0,0,0,1,0,3,1,2,2,1
5,3,0,0,3,0,2,3,1,3,3,3,1,3,3,2,0,0,2,1,2,0,0,2,0,2,1,2,0,0,2,2,0,0,0,0,2,1,3,1,3
6,1,2,1,2,3,0,1,2,2,1,2,1,0,2,0,3,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
7,0,0,1,0,4,3,1,0,2,2,1,2,0,3,0,1,2,0,2,2,0,1,2,2,2,0,3,0,0,2,0,0,0,2,3,4,2,2,2,1
8,2,0,1,1,4,1,1,2,1,1,1,4,1,1,2,0,1,1,1,2,0,1,2,1,1,1,0,2,1,0,1,1,1,1,0,2,2,1,1,1
9,1,2,1,2,3,2,2,3,2,1,2,0,1,1,0,1,4,1,1,0,1,4,2,1,3,0,1,0,3,1,0,3,0,2,1,1,0,1,1,3
10,3,3,1,0,4,0,2,0,0,4,0,1,0,2,3,1,1,2,0,1,1,0,3,3,1,0,2,1,1,3,0,1,0,1,1,0,0,1,1,0
11,0,0,2,1,0,0,2,1,1,2,2,0,0,1,0,3,2,2,0,0,2,1,3,0,0,0,0,2,0,1,1,2,1,0,1,2,1,0,2,2
12,1,1,1,0,4,0,0,2,1,0,1,2,2,1,2,0,0,1,0,2,0,4,1,0,0,1,2,0,1,1,1,1,2,0,0,1,0,2,1,1
13,4,2,0,1,2,0,0,3,0,1,0,0,0,3,0,0,0,1,3,0,0,0,2,0,3,0,1,0,1,0,1,0,0,2,2,4,0,2,0,0
14,1,1,2,0,2,2,1,1,1,1,0,0,1,1,0,1,0,2,0,2,1,2,1,1,3,2,2,1,2,2,0,0,1,0,2,3,2,0,1,1
15,1,3,1,0,2,0,3,1,2,0,3,3,0,2,0,2,0,2,2,2,2,0,2,0,2,2,2,2,1,2,0,2,0,1,3,3,2,1,2,2
16,3,1,5,0,2,0,2,0,0,2,0,5,0,3,1,3,4,0,3,0,0,2,1,0,0,4,4,1,2,0,3,0,1,4,0,1,0,3,0,2
17,1,1,1,0,0,1,1,1,1,1,3,1,1,3,0,1,1,3,0,1,1,0,1,1,2,0,2,3,1,1,1,1,3,1,1,0,3,2,0,2
18,1,1,2,1,3,0,5,1,1,2,0,0,0,3,5,3,1,1,0,0,2,2,2,0,1,2,2,1,0,0,0,0,1,5,2,2,3,5,0,2
19,2,3,0,1,3,0,1,1,1,1,1,1,0,2,2,0,1,2,2,1,0,3,2,1,3,0,1,2,1,1,0,3,0,1,1,0,3,2,1,0
20,0,0,4,4,0,2,2,4,1,0,0,0,1,2,4,4,0,1,0,2,2,1,0,0,2,0,2,1,2,0,4,2,0,0,1,2,0,1,1,0
21,0,0,0,4,0,0,4,0,0,0,2,1,0,0,2,1,0,0,3,2,1,2,0,0,2,3,2,3,0,0,0,0,0,0,0,0,3,2,1,2
22,2,0,0,1,2,1,0,1,4,0,2,2,1,0,1,2,1,0,2,2,0,2,1,1,3,2,1,2,1,1,2,1,2,3,0,0,0,4,0,0
23,3,0,0,3,3,1,1,0,1,3,0,1,0,0,5,1,1,4,0,3,1,0,3,1,1,5,0,0,3,0,0,0,1,3,4,1,0,1,0,0
24,1,0,0,1,1,1,1,4,3,1,2,2,1,3,1,4,4,1,0,1,1,0,1,1,1,0,3,1,1,3,1,2,0,1,2,1,2,2,4,1
25,2,1,2,2,4,0,1,2,2,2,1,2,0,1,0,4,3,0,2,0,1,1,1,1,2,1,0,0,1,0,0,3,0,2,2,2,2,2,0,0
26,6,3,2,0,2,0,1,0,1,0,1,1,1,0,0,1,2,0,0,1,0,2,0,0,1,3,0,1,3,1,3,6,0,2,0,2,0,0,1,1
27,2,2,0,0,2,0,1,0,1,0,0,2,2,0,1,1,0,2,0,5,2,2,5,0,0,1,2,2,2,2,3,0,0,3,1,1,0,1,0,0
28,2,2,0,2,2,1,1,2,2,2,2,2,0,0,1,1,1,1,2,2,1,1,2,0,1,0,1,1,0,2,0,1,2,2,0,0,2,2,2,0
29,0,3,5,4,1,1,5,2,1,1,3,1,2,5,3,1,1,0,1,2,2,1,3,0,1,3,0,1,1,3,2,0,0,0,0,0,4,5,0,2
30,1,3,2,2,1,2,2,4,2,3,1,3,1,1,0,2,2,1,2,1,3,2,2,0,3,1,3,1,0,0,2,2,0,0,4,2,1,1,1,2
31,1,3,2,1,1,0,3,1,1,2,2,0,0,2,0,0,1,2,0,0,0,1,2,1,1,2,1,3,1,0,0,1,1,1,2,1,1,1,3,1
32,2,0,3,1,1,0,1,2,0,3,2,1,2,1,1,2,1,1,2,1,0,1,1,0,1,2,1,3,1,1,3,0,0,1,0,2,0,1,1,0
33,2,0,0,0,1,1,0,4,2,0,3,0,0,2,2,2,4,1,0,0,0,0,4,0,1,1,0,0,1,1,0,3,2,2,1,1,1,4,0,2
34,2,2,2,1,4,1,2,2,1,1,2,1,0,4,1,1,1,4,0,2,0,0,4,0,0,2,2,0,3,2,0,0,1,2,1,2,2,3,2,0
35,2,0,1,3,2,0,0,0,0,1,3,1,2,2,0,2,1,1,2,2,0,0,1,1,1,1,1,0,1,0,1,2,0,1,1,1,2,1,0,2
36,0,2,4,2,2,4,2,2,2,2,2,0,3,0,4,4,0,2,1,0,4,4,2,0,2,0,2,0,2,0,0,2,0,3,0,1,0,2,0,2
37,2,1,1,3,2,1,3,2,0,2,1,0,1,2,0,2,1,2,0,0,1,0,3,1,3,1,2,0,0,1,0,0,2,3,0,1,2,0,1,3
