,Marseille scored,Marseille received,Paris SG scored,Paris SG received,Monaco scored,Monaco received,Lille scored,Lille received,Lyon scored,Lyon received,Strasbourg scored,Strasbourg received,Nimes scored,Nimes received,St Etienne scored,St Etienne received,Dijon scored,Dijon received,Reims scored,Reims received,Angers scored,Angers received,Guingamp scored,Guingamp received,Montpellier scored,Montpellier received,Nice scored,Nice received,Nantes scored,Nantes received,Rennes scored,Rennes received,Amiens scored,Amiens received,Bordeaux scored,Bordeaux received,Caen scored,Caen received,Toulouse scored,Toulouse received
0,4,0,3,0,3,1,3,1,2,0,2,0,4,3,2,1,2,1,1,0,3,4,1,2,1,2,0,1,1,3,1,3,0,2,0,2,0,3,0,4
1,5,3,6,1,3,1,3,1,2,1,3,1,7,4,3,2,4,1,2,0,3,5,2,5,3,3,1,2,1,5,2,3,1,4,1,4,1,4,2,5
2,7,5,9,2,4,3,6,1,4,1,3,3,7,5,3,2,8,1,3,4,4,8,2,8,3,3,1,6,2,6,4,5,5,5,3,5,2,5,3,5
3,10,7,13,4,6,6,6,2,4,2,5,6,9,9,3,2,8,3,3,5,5,8,3,10,4,3,2,6,5,8,6,5,5,5,3,7,4,5,5,6
4,14,7,17,4,7,7,9,4,6,4,6,7,12,12,3,6,9,6,3,5,8,9,3,14,5,4,4,7,5,8,7,7,7,8,6,10,6,7,6,7
5,16,11,20,5,8,8,11,5,10,6,9,8,13,13,5,7,9,6,3,5,8,9,4,17,6,4,4,8,6,10,8,10,8,11,9,11,7,9,6,7
6,19,13,24,6,8,9,11,6,13,6,11,11,13,13,8,9,9,9,4,9,9,9,4,17,8,6,6,9,7,12,9,12,10,12,10,11,9,11,8,10
7,19,16,27,6,8,11,14,6,14,7,14,11,13,16,10,9,9,12,4,9,9,10,5,17,11,6,6,12,8,13,10,13,10,13,10,11,10,11,9,11
8,21,16,32,6,9,13,17,7,14,12,16,13,13,16,11,12,9,13,4,9,11,12,6,18,12,7,7,13,8,16,12,14,11,13,13,11,10,13,10,12
9,22,16,37,6,10,15,19,8,16,12,18,14,13,18,12,13,10,15,5,10,12,13,6,18,14,7,7,14,12,16,13,15,11,18,13,13,10,13,10,16
10,22,18,39,6,12,17,20,8,18,13,19,15,14,19,13,14,12,17,7,10,13,15,7,19,17,7,8,14,14,17,13,17,12,20,13,14,10,14,10,19
11,22,21,41,7,12,18,21,10,19,14,20,16,18,19,17,17,12,21,8,10,16,19,7,24,20,7,9,14,19,17,15,18,12,21,14,15,11,16,11,20
12,24,21,45,7,12,22,21,10,23,16,20,16,18,20,19,17,12,23,8,12,17,19,9,28,20,8,10,14,20,18,16,19,13,21,14,15,11,16,11,21
13,27,22,46,7,13,22,21,12,24,16,20,17,19,20,19,18,12,23,10,13,18,20,10,30,22,10,12,14,21,19,18,21,14,24,14,15,11,17,11,22
14,27,22,48,9,14,24,23,14,26,18,24,18,22,20,22,18,14,25,10,13,19,21,10,30,24,11,12,14,21,22,19,25,14,27,16,17,12,18,13,24
